treat,replicate,fecundity (eggs/female),LP,LB,AP,AT,AO
12,13,0.0,0,1,0,0,1
12,14,3.1,0,1,0,0,1
12,15,5.0,0,1,0,0,1
12,16,3.8,0,1,0,0,1
12,17,5.0,0,1,0,0,1
12,18,4.0,0,1,0,0,1
12,19,3.0,0,1,0,0,1
12,20,3.7,0,1,0,0,1
12,21,5.4,0,1,0,0,1
12,22,3.8,0,1,0,0,1
12,23,2.7,0,1,0,0,1
12,24,1.0,0,1,0,0,1
12,25,1.3,0,1,0,0,1
12,26,0.7,0,1,0,0,1
12,27,7.5,0,1,0,0,1
12,28,7.7,0,1,0,0,1
12,29,4.7,0,1,0,0,1
12,30,6.1,0,1,0,0,1
12,31,5.8,0,1,0,0,1
12,32,4.0,0,1,0,0,1
12,33,5.4,0,1,0,0,1
12,34,8.2,0,1,0,0,1
12,35,3.9,0,1,0,0,1
12,36,2.1,0,1,0,0,1
12,37,0.1,0,1,0,0,1
12,38,0.3,0,1,0,0,1
12,39,0.0,0,1,0,0,1
12,40,2.9,0,1,0,0,1
12,41,5.4,0,1,0,0,1
12,42,4.5,0,1,0,0,1
12,43,2.7,0,1,0,0,1
12,44,5.5,0,1,0,0,1
12,45,5.9,0,1,0,0,1
12,46,4.2,0,1,0,0,1
12,47,4.6,0,1,0,0,1
12,48,2.4,0,1,0,0,1
12,49,5.1,0,1,0,0,1
12,50,2.8,0,1,0,0,1
12,51,1.9,0,1,0,0,1
12,52,1.8,0,1,0,0,1
12,53,3.8,0,1,0,0,1
12,54,5.2,0,1,0,0,1
12,55,4.2,0,1,0,0,1
12,56,3.8,0,1,0,0,1
12,57,8.4,0,1,0,0,1
12,58,6.4,0,1,0,0,1
12,59,6.8,0,1,0,0,1
12,60,5.2,0,1,0,0,1
12,61,4.3,0,1,0,0,1
12,62,2.3,0,1,0,0,1
12,63,1.3,0,1,0,0,1
12,64,0.7,0,1,0,0,1
12,65,0.1,0,1,0,0,1
13,1,7.5,0,0,1,1,0
13,2,7.2,0,0,1,1,0
13,3,4.9,0,0,1,1,0
13,4,6.2,0,0,1,1,0
13,5,4.6,0,0,1,1,0
13,6,2.4,0,0,1,1,0
13,7,2.6,0,0,1,1,0
13,8,2.5,0,0,1,1,0
13,9,1.1,0,0,1,1,0
13,10,1.1,0,0,1,1,0
13,11,0.1,0,0,1,1,0
13,12,0.0,0,0,1,1,0
13,13,0.0,0,0,1,1,0
13,14,9.0,0,0,1,1,0
13,15,5.9,0,0,1,1,0
13,16,3.6,0,0,1,1,0
13,17,5.2,0,0,1,1,0
13,18,4.6,0,0,1,1,0
13,19,2.2,0,0,1,1,0
13,20,2.6,0,0,1,1,0
13,21,2.0,0,0,1,1,0
13,22,1.5,0,0,1,1,0
13,23,0.5,0,0,1,1,0
13,24,0.1,0,0,1,1,0
13,25,0.0,0,0,1,1,0
13,26,0.0,0,0,1,1,0
13,27,5.6,0,0,1,1,0
13,28,6.2,0,0,1,1,0
13,29,4.4,0,0,1,1,0
13,30,4.4,0,0,1,1,0
13,31,4.2,0,0,1,1,0
13,32,1.8,0,0,1,1,0
13,33,3.0,0,0,1,1,0
13,34,3.0,0,0,1,1,0
13,35,2.5,0,0,1,1,0
13,36,1.0,0,0,1,1,0
13,37,0.4,0,0,1,1,0
13,38,0.2,0,0,1,1,0
13,39,0.0,0,0,1,1,0
13,40,1.4,0,0,1,1,0
13,41,6.2,0,0,1,1,0
13,42,4.0,0,0,1,1,0
13,43,5.1,0,0,1,1,0
13,44,5.2,0,0,1,1,0
13,45,5.4,0,0,1,1,0
13,46,6.5,0,0,1,1,0
13,47,4.5,0,0,1,1,0
