treatment,replicate,time to death (days),experiment
5,42,75,GF_gnoto
5,43,75,GF_gnoto
5,44,8,GF_gnoto
5,45,11,GF_gnoto
5,46,14,GF_gnoto
5,47,20,GF_gnoto
5,48,23,GF_gnoto
5,49,25,GF_gnoto
5,50,27,GF_gnoto
9,1,15,GF_gnoto
9,2,15,GF_gnoto
9,3,23,GF_gnoto
9,4,24,GF_gnoto
9,5,39,GF_gnoto
9,6,42,GF_gnoto
9,7,45,GF_gnoto
9,8,50,GF_gnoto
9,9,52,GF_gnoto
9,10,56,GF_gnoto
9,11,8,GF_gnoto
9,12,29,GF_gnoto
9,13,29,GF_gnoto
9,14,32,GF_gnoto
9,15,38,GF_gnoto
9,16,41,GF_gnoto
9,17,46,GF_gnoto
9,18,46,GF_gnoto
9,19,49,GF_gnoto
9,20,50,GF_gnoto
9,21,79,GF_gnoto
9,22,11,GF_gnoto
9,23,11,GF_gnoto
9,24,16,GF_gnoto
9,25,25,GF_gnoto
9,26,28,GF_gnoto
9,27,28,GF_gnoto
9,28,28,GF_gnoto
9,29,31,GF_gnoto
9,30,39,GF_gnoto
9,31,72,GF_gnoto
9,32,76,GF_gnoto
9,33,15,GF_gnoto
9,34,15,GF_gnoto
9,35,18,GF_gnoto
9,36,18,GF_gnoto
9,37,24,GF_gnoto
9,38,24,GF_gnoto
9,39,24,GF_gnoto
9,40,29,GF_gnoto
9,41,68,GF_gnoto
9,42,68,GF_gnoto
9,43,69,GF_gnoto
9,44,78,GF_gnoto
9,45,78,GF_gnoto
9,46,8,GF_gnoto
9,47,8,GF_gnoto
9,48,11,GF_gnoto
9,49,17,GF_gnoto
9,50,20,GF_gnoto
21,1,17,GF_gnoto
21,2,17,GF_gnoto
21,3,24,GF_gnoto
21,4,33,GF_gnoto
21,5,39,GF_gnoto
21,6,42,GF_gnoto
21,7,42,GF_gnoto
21,8,43,GF_gnoto
21,9,45,GF_gnoto
21,10,45,GF_gnoto
21,11,8,GF_gnoto
21,12,23,GF_gnoto
21,13,26,GF_gnoto
21,14,29,GF_gnoto
21,15,29,GF_gnoto
21,16,32,GF_gnoto
21,17,32,GF_gnoto
21,18,32,GF_gnoto
21,19,32,GF_gnoto
21,20,35,GF_gnoto
21,21,79,GF_gnoto
21,22,16,GF_gnoto
21,23,16,GF_gnoto
21,24,19,GF_gnoto
21,25,22,GF_gnoto
21,26,25,GF_gnoto
21,27,25,GF_gnoto
21,28,28,GF_gnoto
21,29,34,GF_gnoto
21,30,34,GF_gnoto
21,31,63,GF_gnoto
21,32,69,GF_gnoto
21,33,72,GF_gnoto
21,34,75,GF_gnoto
