treatment,replicate,development (days),LP,LB,AP,AT,AO
9,20,10,1,0,0,0,1
9,21,10,1,0,0,0,1
9,22,10,1,0,0,0,1
9,23,10,1,0,0,0,1
9,24,10,1,0,0,0,1
10,1,10,0,1,1,0,0
10,2,10,0,1,1,0,0
10,3,10,0,1,1,0,0
10,4,9,0,1,1,0,0
10,5,10,0,1,1,0,0
10,6,10,0,1,1,0,0
10,7,10,0,1,1,0,0
10,8,10,0,1,1,0,0
10,9,10,0,1,1,0,0
10,10,9,0,1,1,0,0
10,11,10,0,1,1,0,0
10,12,10,0,1,1,0,0
10,13,10,0,1,1,0,0
10,14,10,0,1,1,0,0
10,15,11,0,1,1,0,0
10,16,10,0,1,1,0,0
10,17,10,0,1,1,0,0
10,18,10,0,1,1,0,0
10,19,10,0,1,1,0,0
10,20,9,0,1,1,0,0
10,21,10,0,1,1,0,0
10,22,10,0,1,1,0,0
10,23,10,0,1,1,0,0
10,24,9,0,1,1,0,0
11,1,11,0,1,0,1,0
11,2,11,0,1,0,1,0
11,3,11,0,1,0,1,0
11,4,10,0,1,0,1,0
11,5,10,0,1,0,1,0
11,6,11,0,1,0,1,0
11,7,10,0,1,0,1,0
11,8,10,0,1,0,1,0
11,9,12,0,1,0,1,0
11,10,10,0,1,0,1,0
11,11,10,0,1,0,1,0
11,12,10,0,1,0,1,0
11,13,10,0,1,0,1,0
11,14,10,0,1,0,1,0
11,15,11,0,1,0,1,0
11,16,10,0,1,0,1,0
11,17,10,0,1,0,1,0
11,18,11,0,1,0,1,0
11,19,10,0,1,0,1,0
11,20,10,0,1,0,1,0
11,21,10,0,1,0,1,0
11,22,10,0,1,0,1,0
11,23,9,0,1,0,1,0
11,24,10,0,1,0,1,0
12,1,10,0,1,0,0,1
12,2,10,0,1,0,0,1
12,3,10,0,1,0,0,1
12,4,9,0,1,0,0,1
12,5,10,0,1,0,0,1
12,6,10,0,1,0,0,1
12,7,10,0,1,0,0,1
12,8,10,0,1,0,0,1
12,9,11,0,1,0,0,1
12,10,10,0,1,0,0,1
12,11,10,0,1,0,0,1
12,12,10,0,1,0,0,1
12,13,9,0,1,0,0,1
12,14,9,0,1,0,0,1
12,15,9,0,1,0,0,1
12,16,9,0,1,0,0,1
12,17,9,0,1,0,0,1
12,18,10,0,1,0,0,1
12,19,9,0,1,0,0,1
12,20,9,0,1,0,0,1
12,21,9,0,1,0,0,1
12,22,10,0,1,0,0,1
12,23,10,0,1,0,0,1
12,24,9,0,1,0,0,1
13,1,11,0,0,1,1,0
13,2,11,0,0,1,1,0
13,3,11,0,0,1,1,0
13,4,10,0,0,1,1,0
13,5,10,0,0,1,1,0
13,6,10,0,0,1,1,0
13,7,11,0,0,1,1,0
13,8,11,0,0,1,1,0
13,9,11,0,0,1,1,0
13,10,10,0,0,1,1,0
13,11,10,0,0,1,1,0
13,12,10,0,0,1,1,0
13,13,9,0,0,1,1,0
13,14,9,0,0,1,1,0
13,15,10,0,0,1,1,0
13,16,10,0,0,1,1,0
13,17,10,0,0,1,1,0
13,18,10,0,0,1,1,0
13,19,10,0,0,1,1,0
13,20,10,0,0,1,1,0
13,21,10,0,0,1,1,0
13,22,10,0,0,1,1,0
13,23,10,0,0,1,1,0
13,24,9,0,0,1,1,0
14,1,11,0,0,1,0,1
14,2,11,0,0,1,0,1
14,3,11,0,0,1,0,1
14,4,9,0,0,1,0,1
14,5,10,0,0,1,0,1
14,6,10,0,0,1,0,1
14,7,9,0,0,1,0,1
14,8,9,0,0,1,0,1
14,9,11,0,0,1,0,1
14,10,9,0,0,1,0,1
14,11,11,0,0,1,0,1
14,12,11,0,0,1,0,1
14,13,9,0,0,1,0,1
14,14,9,0,0,1,0,1
14,15,10,0,0,1,0,1
14,16,9,0,0,1,0,1
14,17,10,0,0,1,0,1
14,18,10,0,0,1,0,1
14,19,10,0,0,1,0,1
14,20,11,0,0,1,0,1
14,21,10,0,0,1,0,1
14,22,10,0,0,1,0,1
14,23,10,0,0,1,0,1
14,24,9,0,0,1,0,1
15,1,11,0,0,0,1,1
15,2,11,0,0,0,1,1
15,3,11,0,0,0,1,1
15,4,9,0,0,0,1,1
15,5,10,0,0,0,1,1
15,6,10,0,0,0,1,1
15,7,9,0,0,0,1,1
15,8,10,0,0,0,1,1
15,9,10,0,0,0,1,1
15,10,9,0,0,0,1,1
15,11,10,0,0,0,1,1
15,12,10,0,0,0,1,1
15,13,9,0,0,0,1,1
15,14,9,0,0,0,1,1
15,15,9,0,0,0,1,1
15,16,9,0,0,0,1,1
15,17,10,0,0,0,1,1
15,18,10,0,0,0,1,1
15,19,10,0,0,0,1,1
15,20,10,0,0,0,1,1
15,21,10,0,0,0,1,1
15,22,10,0,0,0,1,1
15,23,9,0,0,0,1,1
15,24,10,0,0,0,1,1
16,1,10,1,1,1,0,0
16,2,10,1,1,1,0,0
16,3,11,1,1,1,0,0
16,4,10,1,1,1,0,0
16,5,10,1,1,1,0,0
16,6,10,1,1,1,0,0
16,7,10,1,1,1,0,0
16,8,10,1,1,1,0,0
16,9,10,1,1,1,0,0
16,10,9,1,1,1,0,0
16,11,9,1,1,1,0,0
16,12,9,1,1,1,0,0
16,13,9,1,1,1,0,0
16,14,9,1,1,1,0,0
16,15,11,1,1,1,0,0
16,16,9,1,1,1,0,0
16,17,10,1,1,1,0,0
16,18,10,1,1,1,0,0
16,19,10,1,1,1,0,0
16,20,11,1,1,1,0,0
16,21,10,1,1,1,0,0
16,22,10,1,1,1,0,0
16,23,9,1,1,1,0,0
16,24,10,1,1,1,0,0
17,1,10,1,1,0,1,0
17,2,11,1,1,0,1,0
17,3,11,1,1,0,1,0
17,4,9,1,1,0,1,0
17,5,10,1,1,0,1,0
17,6,10,1,1,0,1,0
17,7,9,1,1,0,1,0
17,8,10,1,1,0,1,0
17,9,11,1,1,0,1,0
17,10,9,1,1,0,1,0
17,11,10,1,1,0,1,0
17,12,10,1,1,0,1,0
17,13,11,1,1,0,1,0
17,14,11,1,1,0,1,0
17,15,12,1,1,0,1,0
17,16,10,1,1,0,1,0
17,17,10,1,1,0,1,0
17,18,10,1,1,0,1,0
17,19,11,1,1,0,1,0
17,20,11,1,1,0,1,0
17,21,10,1,1,0,1,0
17,22,9,1,1,0,1,0
17,23,10,1,1,0,1,0
17,24,9,1,1,0,1,0
18,1,10,1,1,0,0,1
18,2,10,1,1,0,0,1
18,3,10,1,1,0,0,1
18,4,9,1,1,0,0,1
18,5,10,1,1,0,0,1
18,6,10,1,1,0,0,1
18,7,10,1,1,0,0,1
18,8,10,1,1,0,0,1
18,9,10,1,1,0,0,1
18,10,9,1,1,0,0,1
18,11,9,1,1,0,0,1
18,12,10,1,1,0,0,1
18,13,10,1,1,0,0,1
18,14,11,1,1,0,0,1
18,15,11,1,1,0,0,1
18,16,9,1,1,0,0,1
18,17,9,1,1,0,0,1
18,18,10,1,1,0,0,1
18,19,10,1,1,0,0,1
18,20,10,1,1,0,0,1
18,21,10,1,1,0,0,1
18,22,10,1,1,0,0,1
18,23,10,1,1,0,0,1
18,24,10,1,1,0,0,1
19,1,11,1,0,1,1,0
19,2,11,1,0,1,1,0
19,3,11,1,0,1,1,0
19,4,10,1,0,1,1,0
19,5,10,1,0,1,1,0
19,6,10,1,0,1,1,0
19,7,10,1,0,1,1,0
19,8,9,1,0,1,1,0
19,9,11,1,0,1,1,0
19,10,10,1,0,1,1,0
19,11,10,1,0,1,1,0
19,12,10,1,0,1,1,0
19,13,9,1,0,1,1,0
19,14,12,1,0,1,1,0
19,15,10,1,0,1,1,0
19,16,10,1,0,1,1,0
19,17,10,1,0,1,1,0
19,18,10,1,0,1,1,0
19,19,11,1,0,1,1,0
19,20,11,1,0,1,1,0
19,21,10,1,0,1,1,0
19,22,10,1,0,1,1,0
19,23,10,1,0,1,1,0
19,24,10,1,0,1,1,0
20,1,11,1,0,1,0,1
20,2,11,1,0,1,0,1
20,3,11,1,0,1,0,1
20,4,10,1,0,1,0,1
20,5,10,1,0,1,0,1
20,6,11,1,0,1,0,1
20,7,10,1,0,1,0,1
20,8,10,1,0,1,0,1
20,9,10,1,0,1,0,1
20,10,10,1,0,1,0,1
20,11,10,1,0,1,0,1
20,12,10,1,0,1,0,1
20,13,9,1,0,1,0,1
20,14,11,1,0,1,0,1
20,15,10,1,0,1,0,1
20,16,10,1,0,1,0,1
20,17,10,1,0,1,0,1
20,18,10,1,0,1,0,1
20,19,11,1,0,1,0,1
20,20,10,1,0,1,0,1
20,21,9,1,0,1,0,1
20,22,10,1,0,1,0,1
20,23,9,1,0,1,0,1
20,24,10,1,0,1,0,1
21,1,11,1,0,0,1,1
21,2,11,1,0,0,1,1
21,3,11,1,0,0,1,1
21,4,9,1,0,0,1,1
21,5,10,1,0,0,1,1
21,6,10,1,0,0,1,1
21,7,10,1,0,0,1,1
21,8,10,1,0,0,1,1
21,9,10,1,0,0,1,1
21,10,10,1,0,0,1,1
21,11,10,1,0,0,1,1
21,12,10,1,0,0,1,1
21,13,9,1,0,0,1,1
21,14,9,1,0,0,1,1
21,15,9,1,0,0,1,1
21,16,9,1,0,0,1,1
21,17,10,1,0,0,1,1
21,18,10,1,0,0,1,1
21,19,10,1,0,0,1,1
21,20,9,1,0,0,1,1
21,21,10,1,0,0,1,1
21,22,10,1,0,0,1,1
21,23,10,1,0,0,1,1
21,24,9,1,0,0,1,1
22,1,11,0,1,1,1,0
22,2,11,0,1,1,1,0
22,3,11,0,1,1,1,0
22,4,9,0,1,1,1,0
22,5,10,0,1,1,1,0
22,6,10,0,1,1,1,0
22,7,10,0,1,1,1,0
22,8,10,0,1,1,1,0
22,9,11,0,1,1,1,0
22,10,10,0,1,1,1,0
22,11,10,0,1,1,1,0
22,12,10,0,1,1,1,0
22,13,9,0,1,1,1,0
22,14,9,0,1,1,1,0
22,15,9,0,1,1,1,0
22,16,9,0,1,1,1,0
22,17,10,0,1,1,1,0
22,18,10,0,1,1,1,0
22,19,10,0,1,1,1,0
22,20,10,0,1,1,1,0
22,21,9,0,1,1,1,0
22,22,10,0,1,1,1,0
22,23,10,0,1,1,1,0
22,24,10,0,1,1,1,0
23,1,10,0,1,1,0,1
23,2,10,0,1,1,0,1
23,3,10,0,1,1,0,1
23,4,9,0,1,1,0,1
23,5,10,0,1,1,0,1
23,6,10,0,1,1,0,1
23,7,10,0,1,1,0,1
23,8,9,0,1,1,0,1
23,9,11,0,1,1,0,1
23,10,10,0,1,1,0,1
23,11,10,0,1,1,0,1
23,12,10,0,1,1,0,1
23,13,9,0,1,1,0,1
23,14,9,0,1,1,0,1
23,15,9,0,1,1,0,1
23,16,10,0,1,1,0,1
23,17,9,0,1,1,0,1
23,18,10,0,1,1,0,1
23,19,9,0,1,1,0,1
23,20,10,0,1,1,0,1
23,21,9,0,1,1,0,1
23,22,9,0,1,1,0,1
23,23,9,0,1,1,0,1
23,24,9,0,1,1,0,1
24,1,9,0,1,0,1,1
24,2,9,0,1,0,1,1
24,3,11,0,1,0,1,1
24,4,9,0,1,0,1,1
24,5,10,0,1,0,1,1
24,6,10,0,1,0,1,1
24,7,10,0,1,0,1,1
24,8,11,0,1,0,1,1
24,9,10,0,1,0,1,1
24,10,9,0,1,0,1,1
24,11,10,0,1,0,1,1
24,12,11,0,1,0,1,1
24,13,9,0,1,0,1,1
24,14,10,0,1,0,1,1
24,15,11,0,1,0,1,1
24,16,10,0,1,0,1,1
24,17,10,0,1,0,1,1
24,18,10,0,1,0,1,1
24,19,10,0,1,0,1,1
24,20,10,0,1,0,1,1
24,21,10,0,1,0,1,1
24,22,10,0,1,0,1,1
24,23,10,0,1,0,1,1
24,24,10,0,1,0,1,1
25,1,10,0,0,1,1,1
25,2,10,0,0,1,1,1
25,3,11,0,0,1,1,1
25,4,9,0,0,1,1,1
25,5,10,0,0,1,1,1
25,6,10,0,0,1,1,1
25,7,10,0,0,1,1,1
25,8,11,0,0,1,1,1
25,9,11,0,0,1,1,1
25,10,9,0,0,1,1,1
25,11,10,0,0,1,1,1
25,12,10,0,0,1,1,1
25,13,11,0,0,1,1,1
25,14,10,0,0,1,1,1
25,15,10,0,0,1,1,1
25,16,9,0,0,1,1,1
25,17,10,0,0,1,1,1
25,18,10,0,0,1,1,1
25,19,10,0,0,1,1,1
25,20,10,0,0,1,1,1
25,21,10,0,0,1,1,1
25,22,10,0,0,1,1,1
25,23,10,0,0,1,1,1
25,24,10,0,0,1,1,1
26,1,9,1,1,1,1,0
26,2,10,1,1,1,1,0
26,3,11,1,1,1,1,0
26,4,10,1,1,1,1,0
26,5,10,1,1,1,1,0
26,6,10,1,1,1,1,0
26,7,10,1,1,1,1,0
26,8,10,1,1,1,1,0
26,9,11,1,1,1,1,0
26,10,10,1,1,1,1,0
26,11,9,1,1,1,1,0
26,12,10,1,1,1,1,0
26,13,10,1,1,1,1,0
26,14,11,1,1,1,1,0
26,15,12,1,1,1,1,0
26,16,9,1,1,1,1,0
26,17,9,1,1,1,1,0
26,18,10,1,1,1,1,0
26,19,10,1,1,1,1,0
26,20,10,1,1,1,1,0
26,21,10,1,1,1,1,0
26,22,10,1,1,1,1,0
