sample_id,KB1,YL2,KB18,YL27,YL31,YL32,YL44,YL45,I46,I48,I49,YL58
E6_OMM_D10_M4_W2,3.21e+08,0,3880000,4.79e+08,1.51e+09,57900000,2.09e+08,2.44e+08,1.01e+08,1.18e+09,0,6.4e+08
E6_OMM_D10_M4_W3,3.33e+08,0,4740000,6.34e+08,2.14e+09,70700000,2.35e+08,2.94e+08,1.18e+08,1.46e+09,0,9.49e+08
E6_OMM_D10_M4_W4,3.83e+08,0,4340000,6.28e+08,1.91e+09,68400000,2.31e+08,3.11e+08,1.1e+08,1.56e+09,0,9.41e+08
E6_OMM_D10_M4_W5,2.51e+08,0,1020000,5.46e+08,1.91e+09,48300000,1.54e+08,2.46e+08,94100000,1.45e+09,0,5.62e+08
E6_OMM_D10_M8_W1,2.73e+08,0,3090000,6.1e+08,1.27e+09,74500000,2.18e+08,2.99e+08,2.33e+08,3.78e+09,0,7.51e+08
E6_OMM_D10_M8_W2,2.27e+08,0,2690000,5.04e+08,1.11e+09,56100000,1.53e+08,2.28e+08,1.85e+08,2.99e+09,0,6.55e+08
E6_OMM_D10_M8_W3,3.65e+08,0,4550000,8.7e+08,1.74e+09,1.11e+08,2.11e+08,4.11e+08,2.4e+08,4.88e+09,0,1.08e+09
E6_OMM_D10_M8_W4,2.4e+08,0,2820000,6.2e+08,1.18e+09,69500000,1.83e+08,2.82e+08,2e+08,3.33e+09,0,6e+08
E6_OMM_D10_M8_W5,1.85e+08,0,2160000,3.88e+08,7.5e+08,46600000,1.1e+08,1.58e+08,1.02e+08,2.05e+09,0,5.67e+08
E6_OMM_Inok_Inok_Inok,10700000,20900000,8040000,2.35e+08,61800000,9640000,1.81e+08,1.7e+07,91600000,3.72e+08,9340000,2.12e+08
E6_OMM_D10_M11_W1,2.83e+08,0,0,4.87e+08,7.44e+09,85800000,1.57e+08,2.5e+08,1.85e+08,4.95e+09,0,1.79e+09
E6_OMM_D10_M11_W2,1.97e+08,0,0,3.42e+08,5.01e+09,68300000,1.12e+08,1.82e+08,1.15e+08,3.38e+09,0,1.02e+09
E6_OMM_D10_M11_W3,56400000,0,0,1.68e+08,2.12e+09,36100000,6.3e+07,1.07e+08,48200000,1.72e+09,0,4.17e+08
E6_OMM_D10_M11_W4,1.66e+08,0,0,2.88e+08,4.51e+09,63400000,1.08e+08,1.9e+08,1.12e+08,3.75e+09,0,9.06e+08
E6_OMM_D10_M11_W5,3.6e+08,0,0,1.78e+08,2.29e+09,31800000,63500000,1.05e+08,69500000,1.71e+09,0,4.66e+08
E6_OMM-1_Inok_Inok_Inok,0,46100000,8410000,2.04e+08,83400000,11300000,1.94e+08,17700000,83600000,3.35e+08,9750000,2.28e+08
