sample_id,KB1,YL2,YL27,YL31,YL32,YL44,YL45,I46,I48,I49,YL58
OMM11-KB18_E1_APF_W3,73300000,0,0,7.45e+08,4e+07,4900000,1.54e+08,5530000,6.9e+09,0,8.8e+08
OMM11-YL27_E1_APF_W1,1.2e+08,0,0,1.19e+09,76200000,1e+07,3.02e+08,22300000,9.47e+09,0,1.27e+09
OMM11-YL27_E1_APF_W2,1.14e+08,0,0,7.9e+08,35200000,5270000,1.45e+08,25300000,5.77e+09,0,6.26e+08
OMM11-YL27_E1_APF_W3,6.2e+07,0,0,4.31e+08,16200000,2850000,183000,4e+06,3.17e+09,0,3.28e+08
OMM11-YL31_E1_APF_W1,2.7e+07,0,0,0,46800000,22600000,2.95e+08,22600000,7.73e+09,0,4.42e+08
OMM11-YL31_E1_APF_W2,59500000,0,0,0,60600000,25700000,3.12e+08,11400000,1.02e+10,0,5.02e+08
OMM11-YL31_E1_APF_W3,1.07e+08,0,0,0,60400000,31300000,3.22e+08,13800000,1.03e+10,0,8e+08
OMM11-YL32_E1_APF_W1,1.34e+08,0,0,9.15e+08,0,26700000,3.25e+08,27500000,1.05e+10,0,9.66e+08
OMM11-YL32_E1_APF_W2,78800000,0,0,9.3e+08,0,24200000,2.75e+08,1.8e+07,9.7e+09,0,1.07e+09
OMM11-YL32_E1_APF_W3,97500000,0,0,7.9e+08,0,20600000,2.02e+08,9830000,7.93e+09,0,1.23e+09
OMM11-YL45_E1_APF_W1,68800000,0,0,7.35e+08,19600000,11100000,0,27500000,5.43e+09,0,4.94e+08
OMM11-YL45_E1_APF_W2,24800000,0,0,6.85e+08,20200000,9770000,0,7630000,5.27e+09,0,3.48e+08
OMM11-YL45_E1_APF_W3,73500000,0,0,6.85e+08,15500000,10700000,0,30300000,5.3e+09,0,6.38e+08
OMM11-I46_E1_APF_W1,0,0,0,1.35e+09,42600000,26400000,4.78e+08,0,1.3e+10,0,1.41e+09
OMM11-I46_E1_APF_W2,0,0,0,1.37e+09,40400000,30800000,3.9e+08,0,1.3e+10,0,2.1e+09
