sample_id,KB1,YL2,YL27,YL31,YL32,YL44,YL45,I46,I48,I49,YL58
OMM11-YL27_E2_AF_W1,5.8e+07,0,0,2.43e+08,8240000,383000,0,41300000,1.32e+08,0,2.16e+08
OMM11-YL27_E2_AF_W2,1.2e+08,0,0,3.21e+08,13600000,933000,0,80500000,2.19e+08,0,4.16e+08
OMM11-YL27_E2_AF_W3,95500000,0,0,4.61e+08,11200000,550000,0,6.6e+07,2.33e+08,0,3.24e+08
OMM11-YL31_E2_AF_W1,2.09e+08,0,18600000,0,2e+07,643000,0,1.37e+08,3.19e+08,0,6.06e+08
OMM11-YL31_E2_AF_W2,1.79e+08,0,22200000,0,17900000,440000,0,95800000,3.16e+08,0,4.06e+08
OMM11-YL31_E2_AF_W3,1.48e+08,0,9900000,0,13200000,407000,0,69500000,2.61e+08,0,3.44e+08
OMM11-YL32_E2_AF_W1,1.15e+08,0,53300,4.28e+08,0,0,0,8.3e+07,1.94e+08,0,4.26e+08
OMM11-YL32_E2_AF_W2,1.85e+08,0,188000,3.87e+08,0,0,0,1.13e+08,3.83e+08,0,4.76e+08
OMM11-YL32_E2_AF_W3,1.42e+08,0,435000,1.08e+08,0,0,0,90300000,2.74e+08,0,3.44e+08
OMM11-YL44_E2_AF_W1,1.36e+08,0,363000,5.6e+08,14800000,0,0,1.12e+08,3.73e+08,0,5.8e+08
OMM11-YL44_E2_AF_W2,43500000,0,280000,1.97e+08,8800000,0,0,4e+07,1.95e+08,0,1.82e+08
OMM11-YL44_E2_AF_W3,2.35e+08,0,6680000,2.24e+08,16700000,0,0,1.18e+08,3.12e+08,0,5.92e+08
OMM11-YL45_E2_AF_W1,46800000,0,578000,1.74e+08,8260000,610000,0,35300000,1.51e+08,0,1.43e+08
OMM11-YL45_E2_AF_W2,4.58e+08,0,2850000,1.52e+09,42200000,42700,0,2.98e+08,8.27e+08,0,1.71e+09
OMM11-YL45_E2_AF_W3,1.75e+08,0,8050000,1.53e+08,16400000,393000,0,1.24e+08,1.65e+08,0,3.86e+08
OMM11-I46_E2_AF_W1,2.31e+08,0,2250000,4.82e+08,22400000,1130000,1.2e+08,0,4.47e+08,0,6.78e+08
OMM11-I46_E2_AF_W2,3.28e+08,0,1060000,3.58e+08,2.1e+07,637000,0,0,4.77e+08,0,1.03e+09
OMM11-I46_E2_AF_W3,2.6e+07,0,139000,42600000,3060000,149000,0,0,36700000,0,75800000
OMM11-I48_E2_AF_W1,1.62e+08,0,5850000,5.35e+08,1.3e+07,1040000,18800000,8.2e+07,0,0,5.58e+08
OMM11-I48_E2_AF_W2,1.73e+08,0,2680000,3.96e+08,12100000,1180000,0,94300000,0,0,5.78e+08
OMM11-I48_E2_AF_W3,3.25e+08,0,8100000,1.65e+08,14200000,1950000,0,1.15e+08,0,0,6.6e+08
OMM11-I49_E2_AF_W1,2.32e+08,0,131000,3.81e+08,16300000,397000,0,1.29e+08,3.13e+08,0,8.06e+08
OMM11-I49_E2_AF_W2,2.14e+08,0,184000,4.59e+08,14800000,332000,858000,1.24e+08,3.9e+08,0,7.3e+08
OMM11-I49_E2_AF_W3,1.68e+08,0,120000,3.87e+08,12400000,450000,0,79500000,3.24e+08,0,5.42e+08
OMM11-YL58_E2_AF_W1,1.12e+08,0,0,1.85e+08,11900000,390000,0,3.5e+07,1.86e+08,0,0
OMM11-YL58_E2_AF_W2,75500000,0,0,1.3e+08,8860000,267000,0,25800000,1.33e+08,0,0
OMM11-YL58_E2_AF_W3,1.15e+08,0,0,1.96e+08,11400000,273000,0,41500000,1.62e+08,0,0
OMM12_E2_AF_W1,55300000,0,295000,1.48e+08,6300000,293000,0,23900000,1.15e+08,0,1.31e+08
OMM12_E2_AF_W2,7.9e+07,0,733000,2.11e+08,8780000,443000,0,4.5e+07,1.52e+08,0,2.74e+08
OMM12_E2_AF_W3,15900000,0,4230000,1.25e+08,5440000,238000,0,19600000,7.9e+07,0,93800000
OMM11-KB1_E3_APF_W1,0,4.57e+08,0,5.95e+08,2400000,5370000,8500000,1.22e+08,4.4e+09,3220000,4.6e+08
OMM11-KB1_E3_APF_W3,0,7.2e+07,0,7.1e+08,1510000,54300000,0,2.9e+08,7.1e+09,485000,1.83e+09
OMM11-YL2_E3_APF_W1,5.8e+07,0,0,7.25e+08,19500000,20400000,33300000,3.1e+07,4.87e+09,0,6.82e+08
