sample_id,LP,LB,AP,AT,AO
hostfit_t04_0167,0,0,0,16354,0
hostfit_t04_0169,0,0,0,311000,0
hostfit_t04_0170,0,0,0,65417,0
hostfit_t04_0171,0,0,0,147000,0
hostfit_t04_0172,0,0,0,572000,0
hostfit_t04_0173,0,0,0,409000,0
hostfit_t04_0174,0,0,0,654000,0
hostfit_t04_0175,0,0,0,16354,0
hostfit_t04_0176,0,0,0,131000,0
hostfit_t04_0178,0,0,0,16354,0
hostfit_t04_0179,0,0,0,180000,0
hostfit_t04_0180,0,0,0,32708,0
hostfit_t04_0181,0,0,0,81771,0
hostfit_t04_0182,0,0,0,98125,0
hostfit_t04_0183,0,0,0,1140000,0
hostfit_t04_0184,0,0,0,393000,0
hostfit_t04_0185,0,0,0,147000,0
hostfit_t04_0186,0,0,0,654000,0
hostfit_t04_0187,0,0,0,981000,0
hostfit_t04_0188,0,0,0,376000,0
hostfit_t04_0189,0,0,0,32708,0
hostfit_t04_0191,0,0,0,981000,0
hostfit_t04_0192,0,0,0,164000,0
hostfit_t05_0193,0,0,0,0,510000
hostfit_t05_0194,0,0,0,0,706000
hostfit_t05_0195,0,0,0,0,392000
hostfit_t05_0196,0,0,0,0,188000
hostfit_t05_0197,0,0,0,0,361000
hostfit_t05_0198,0,0,0,0,392000
hostfit_t05_0199,0,0,0,0,259000
hostfit_t05_0200,0,0,0,0,549000
hostfit_t05_0201,0,0,0,0,157000
hostfit_t05_0202,0,0,0,0,235000
hostfit_t05_0203,0,0,0,0,235000
hostfit_t05_0204,0,0,0,0,627000
hostfit_t05_0205,0,0,0,0,86263
hostfit_t05_0206,0,0,0,0,165000
hostfit_t05_0207,0,0,0,0,471000
hostfit_t05_0208,0,0,0,0,235000
hostfit_t05_0209,0,0,0,0,235000
hostfit_t05_0210,0,0,0,0,196000
hostfit_t05_0211,0,0,0,0,62737
hostfit_t05_0212,0,0,0,0,118000
hostfit_t05_0213,0,0,0,0,47052
hostfit_t05_0214,0,0,0,0,290000
hostfit_t05_0215,0,0,0,0,314000
hostfit_t05_0216,0,0,0,0,39210
hostfit_t05_0217,0,0,0,0,157000
hostfit_t05_0218,0,0,0,0,62737
hostfit_t05_0219,0,0,0,0,70579
hostfit_t05_0220,0,0,0,0,94105
hostfit_t05_0221,0,0,0,0,31368
hostfit_t05_0222,0,0,0,0,149000
hostfit_t05_0223,0,0,0,0,196000
hostfit_t05_0224,0,0,0,0,78421
hostfit_t05_0225,0,0,0,0,62737
hostfit_t05_0226,0,0,0,0,70579
hostfit_t05_0227,0,0,0,0,196000
hostfit_t05_0228,0,0,0,0,196000
hostfit_t05_0229,0,0,0,0,235000
hostfit_t05_0230,0,0,0,0,471000
hostfit_t05_0231,0,0,0,0,314000
hostfit_t05_0232,0,0,0,0,706000
hostfit_t05_0233,0,0,0,0,706000
hostfit_t05_0234,0,0,0,0,471000
hostfit_t05_0235,0,0,0,0,125000
hostfit_t05_0236,0,0,0,0,471000
hostfit_t05_0237,0,0,0,0,141000
hostfit_t05_0238,0,0,0,0,706000
hostfit_t05_0239,0,0,0,0,118000
hostfit_t05_0240,0,0,0,0,706000
hostfit_t06_0241,107000,1e+05,0,0,0
hostfit_t06_0242,0,55663,0,0,0
hostfit_t06_0243,179000,167000,0,0,0
hostfit_t06_0244,179000,89061,0,0,0
hostfit_t06_0245,179000,89061,0,0,0
hostfit_t06_0246,80485,278000,0,0,0
hostfit_t06_0247,53657,223000,0,0,0
hostfit_t06_0248,35771,390000,0,0,0
hostfit_t06_0249,17886,445000,0,0,0
hostfit_t06_0250,179000,167000,0,0,0
hostfit_t06_0251,224000,167000,0,0,0
hostfit_t06_0252,89428,0,0,0,0
hostfit_t06_0253,447000,668000,0,0,0
hostfit_t06_0254,447000,490000,0,0,0
hostfit_t06_0255,286000,334000,0,0,0
hostfit_t06_0256,0,189000,0,0,0
hostfit_t06_0257,358000,557000,0,0,0
hostfit_t06_0258,89428,278000,0,0,0
hostfit_t06_0259,197000,668000,0,0,0
hostfit_t06_0260,313000,668000,0,0,0
hostfit_t06_0261,107000,668000,0,0,0
hostfit_t06_0262,35771,490000,0,0,0
hostfit_t06_0263,358000,668000,0,0,0
hostfit_t06_0264,134000,668000,0,0,0
hostfit_t06_0265,537000,66796,0,0,0
hostfit_t06_0266,313000,11133,0,0,0
hostfit_t06_0267,107000,89061,0,0,0
hostfit_t06_0268,537000,0,0,0,0
hostfit_t06_0269,537000,22265,0,0,0
hostfit_t06_0271,206000,11133,0,0,0
hostfit_t06_0272,80485,22265,0,0,0
hostfit_t06_0273,197000,122000,0,0,0
