dataset,experimental_study,taxon_1,taxon_2,direction,effect_strength,effect_sign,n_pair_replicates,n_monoculture_replicates,p_value,q_value,interaction_label,tested_status,truth_type,label_rule,direction_available,experimental_setting
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pf,Pp,Pp_to_Pf,0.047786644896964374,1,4,8,0.6495044480335639,0.6994663286515304,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pf,Pv,Pv_to_Pf,-0.05680699929715974,-1,4,8,0.06180245794303897,0.09888393270886235,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pf,Sm,Sm_to_Pf,0.004975341078998246,1,4,8,0.9258945777206955,0.9258945777206955,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pp,Ea,Ea_to_Pp,-0.07418364008158602,-1,2,8,0.3440793313646597,0.4188791860091509,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pp,Pa,Pa_to_Pp,-0.28824983122138015,-1,2,8,0.0002157246986495416,0.0007106225367279018,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pp,Pch,Pch_to_Pp,-0.4163803592615559,-1,4,8,0.00033201395753495907,0.0009785674537872476,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pp,Pci,Pci_to_Pp,-0.02539013221429224,-1,3,8,0.293595733554406,0.3823572343964357,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pp,Pf,Pf_to_Pp,-0.29864984813730916,-1,4,8,0.003834904836498286,0.008590186833756161,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pp,Pv,Pv_to_Pp,-0.015961739401295715,-1,4,8,0.36903309022207825,0.4305386052590913,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pp,Sm,Sm_to_Pp,-0.004108520735321008,-1,4,8,0.6308205688521651,0.6994663286515304,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pv,Ea,Ea_to_Pv,0.007252011819430438,1,2,8,0.9060419645401866,0.9225154548045537,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pv,Pa,Pa_to_Pv,-0.18526385892227742,-1,2,8,4.303259317490554e-07,2.6775835753274555e-06,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pv,Pch,Pch_to_Pv,-0.309779748260691,-1,4,8,0.004149527291677077,0.00893744339745832,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pv,Pci,Pci_to_Pv,0.003932738230478572,1,4,8,0.8286074959911809,0.8592966625093728,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pv,Pf,Pf_to_Pv,-0.026851710221657613,-1,4,8,0.1720119551620642,0.25349130234409456,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pv,Pp,Pp_to_Pv,-0.9926123202931906,-1,4,8,5.92295852157514e-11,8.292141930205196e-10,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Pv,Sm,Sm_to_Pv,-0.03543192336097943,-1,4,8,0.48703663901040123,0.5566133017261728,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Sm,Ea,Ea_to_Sm,-0.9939289296782926,-1,2,8,2.092948364223928e-12,5.860255419827e-11,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Sm,Pa,Pa_to_Sm,-0.48175786722959074,-1,2,8,0.05392447273149873,0.08881677861658616,0,neutral,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Sm,Pch,Pch_to_Sm,-0.37457807911574026,-1,3,8,9.32394630973191e-06,3.729578523892764e-05,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Sm,Pci,Pci_to_Sm,-0.2576257013181463,-1,4,8,8.475980990614946e-05,0.00029665933467152314,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Sm,Pf,Pf_to_Sm,-0.3312420925409205,-1,4,8,0.0011476901848738515,0.0032135325176467842,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Sm,Pp,Pp_to_Sm,-0.9847055384777874,-1,4,8,1.5755056918518237e-13,8.822831874370214e-12,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
friedman_microcosm_2017,Friedman_Higgins_Gore_2017,Sm,Pv,Pv_to_Sm,-0.5669508627092877,-1,4,8,0.0013658111782909868,0.003555586269261466,1,positive,directional_pairwise_coculture_effect,Welch test of endpoint abundance against monoculture; BH q <= 0.05,True,soil bacterial microcosm; five growth cycles
