"taxon_1","taxon_2","pln_score_percentile","glmnet_score_percentile","sparcc_score_percentile","direct_prevalence_min","direct_prevalence_max","direct_joint_prevalence","direct_presence_jaccard","presence_phi_abs","presence_log_odds_abs","spearman_all_abs","spearman_copresent_abs","log_ratio_variance","abundance_contrast_min","abundance_contrast_max"
"AC","BA",0.72,0.68,0.833846153846154,0.344506517690875,0.68342644320298,0.236499068901304,0.298823529411765,0.00476934671023074,0.019322742459329,0.0253014549754328,0.125440684296614,18.4816223847555,0.0505625282102224,0.0601151790105541
"AC","BC",0.507692307692308,0.710769230769231,0.68,0.359404096834264,0.68342644320298,0.25512104283054,0.32387706855792,0.0425420168422755,0.189707239511822,0.0601405090559982,0.0401226969527885,17.653337113843,0.0665394149476227,0.218326056936505
"AC","BF",0.172307692307692,0.646153846153846,0.547692307692308,0.435754189944134,0.68342644320298,0.301675977653631,0.369020501138952,0.0167794398576841,0.0717019541509169,0.0132639265271894,0.254088417790317,18.2414420447464,0.0115475729018151,0.0262686449737655
"AC","BH",0.612307692307692,0.744615384615385,0.624615384615385,0.191806331471136,0.68342644320298,0.119180633147114,0.157635467980296,0.0650059086922817,0.346010206987083,0.0966363869859808,0.349221611721612,16.823616242887,0.134535148310812,0.292180084454122
"AC","BO",0.172307692307692,0.544615384615385,0.0153846153846154,0.364990689013035,0.68342644320298,0.253258845437616,0.318501170960187,0.0170345226152297,0.0741168970197374,0.0087768997160983,0.11337087952063,18.2753922546075,0.00783820779718537,0.03176523089857
"AC","BP",0.172307692307692,0.621538461538462,0.203076923076923,0.37243947858473,0.68342644320298,0.247672253258845,0.306451612903226,0.0305181605285368,0.13591009521909,0.0176620055125407,0.228967409878546,17.8202865873538,0.0675294474254684,0.123869049450268
"AC","BT",0.172307692307692,0.643076923076923,0.113846153846154,0.454376163873371,0.68342644320298,0.299813780260708,0.357777777777778,0.046282071496638,0.199003108231617,0.0115776071953125,0.15741815081443,18.5792354920785,0.00590480895765062,0.0938900733324582
"AC","BU",0.172307692307692,0.507692307692308,0.406153846153846,0.342644320297952,0.68342644320298,0.230912476722533,0.2903981264637,0.0147663819095978,0.0684390706968705,0.0520085080376051,0.153793863099921,17.3700978515218,0.0136336093704782,0.140528529225848
"AC","BV",0.793846153846154,0.695384615384615,0.870769230769231,0.422718808193669,0.68342644320298,0.31098696461825,0.391100702576112,0.0961364683667572,0.422541260439509,0.119853146811665,0.00913547323206389,16.5669508061613,0.148384005568437,0.238491936438085
"AC","BY",0.172307692307692,0.206153846153846,0.178461538461538,0.217877094972067,0.68342644320298,0.163873370577281,0.222222222222222,0.0779663098940115,0.417909713156248,0.0403629405895278,0.329781707070084,17.1913807194832,0.05386816143185,0.0819717086670725
"AC","CA",0.52,0.1,0.147692307692308,0.253258845437616,0.68342644320298,0.17877094972067,0.235872235872236,0.0281154290095657,0.135652121621205,0.00173711435255024,0.396711704524978,16.7870483173507,0.000300528256123516,0.0223817716766748
"AC","CC",0.590769230769231,0.790769230769231,0.969230769230769,0.653631284916201,0.68342644320298,0.452513966480447,0.511578947368421,0.0262293742910972,0.119227610379724,0.0128330979232864,0.0736850930623845,31.0003451436353,0.00963301605007432,0.0413100276230145
"AC","CG",0.538461538461538,0.203076923076923,0.658461538461538,0.312849162011173,0.68342644320298,0.212290502793296,0.270783847980998,0.00704285575605511,0.0350984287003866,0.0407713577213359,0.276074911706574,17.4178459878351,0.0892247900068037,0.119617617855065
"AC","CH",0.418461538461538,0.347692307692308,0.261538461538462,0.217877094972067,0.68342644320298,0.147113594040968,0.195061728395062,0.00931911417774142,0.0530136601553297,0.0735131836907389,0.200793583174089,16.9064913769645,0.0217274781842726,0.246783330165732
"AC","DF",0.172307692307692,0.224615384615385,0.196923076923077,0.318435754189944,0.68342644320298,0.223463687150838,0.287081339712919,0.0269332042909134,0.12197373462384,0.0279109000482358,0.190678422235109,17.8680695469996,0.0251748022599485,0.0516443759562637
"AC","DL",0.366153846153846,0.236923076923077,0.163076923076923,0.299813780260708,0.68342644320298,0.199255121042831,0.2541567695962,0.0264904933946477,0.125421442289147,0.0302340137288032,0.193890946139227,17.3177526734467,0.0475563211689233,0.0643483323073108
"AC","DP",0.849230769230769,0.415384615384615,0.827692307692308,0.245810055865922,0.68342644320298,0.176908752327747,0.235148514851485,0.0445174322691603,0.221248178247325,0.0380308070978629,0.190072579911392,17.06314542932,0.0643941035038141,0.116187979627501
"AC","EL",0.172307692307692,0.215384615384615,0.0461538461538462,0.454376163873371,0.68342644320298,0.303538175046555,0.363839285714286,0.0302008858650013,0.130119380111556,0.0058414233529709,0.201202615827976,16.9184312248133,0.0337342840689085,0.0810820557125924
"AC","ER",0.172307692307692,0.763076923076923,0.836923076923077,0.506517690875233,0.68342644320298,0.366852886405959,0.445701357466063,0.0889499208975812,0.381996878849311,0.06690282444569,0.0227108986885786,27.4800411373855,0.066871950412282,0.11948075847702
"AC","FP",0.956923076923077,0.2,0.966153846153846,0.253258845437616,0.68342644320298,0.199255121042831,0.27020202020202,0.129382404106825,0.682797440111814,0.161659987543841,0.134497825149888,17.874779764201,0.245997359291532,0.302682037951223
"AC","HB",0.172307692307692,0.387692307692308,0.443076923076923,0.0391061452513966,0.68342644320298,0.0260707635009311,0.0374331550802139,0.00726891872855927,0.111824866115055,0.00806932892144185,0.0704845814977974,13.5284111945755,0.00173703174310004,0.0191301400996208
"AC","PC",0.172307692307692,0.584615384615385,0.596923076923077,0.29608938547486,0.68342644320298,0.191806331471136,0.243498817966903,0.0496772166418988,0.231935453751031,0.0211711014157461,0.0311310756118857,17.335375367279,0.0346145411246982,0.0543082044002844
"AC","RI",0.563076923076923,0.563076923076923,0.978461538461539,0.344506517690875,0.68342644320298,0.236499068901304,0.298823529411765,0.00476934671023063,0.019322742459329,0.039416755207387,0.130134458212497,23.5473728101211,0.0849779062301985,0.123294200466816
