"taxon_1","taxon_2","pln_score_percentile","glmnet_score_percentile","sparcc_score_percentile","direct_prevalence_min","direct_prevalence_max","direct_joint_prevalence","direct_presence_jaccard","presence_phi_abs","presence_log_odds_abs","spearman_all_abs","spearman_copresent_abs","log_ratio_variance","abundance_contrast_min","abundance_contrast_max"
"Leaf141","Leaf145",0.5003367003367,0.481144781144781,0.556228956228956,0.5625,1,0.5625,0.5625,0,0.246133069538909,0.0310908610774518,0.131347780994281,6.85959107618079,0.0195603760331789,0.0195603760331789
"Leaf141","Leaf160",0.5003367003367,0.481144781144781,0.691582491582492,0.1875,0.5625,0.125,0.2,0.1008712554448,0.468757005356885,0.228264987240677,0.714285714285714,4.11926343532514,0.404200746034411,0.610165291170357
"Leaf141","Leaf203",0.5003367003367,0.481144781144781,0.55959595959596,0.5625,1,0.5625,0.5625,0,0.246133069538909,0.00204410865896209,0.242049005782,3.69130809084545,0.205491588013363,0.205491588013363
"Leaf141","Leaf231",0.5003367003367,0.481144781144781,0.57037037037037,0.5625,0.9375,0.5,0.5,0.227710017021324,1.81528996663825,0.0470374822645541,0.121413804276845,9.57425611970512,0.0939244808845401,0.493028068820145
"Leaf141","Leaf233",0.5003367003367,0.481144781144781,0.585858585858586,0.5625,1,0.5625,0.5625,0,0.246133069538909,0.0722858769819361,0.340212285198302,5.02900020196816,0.0373693859799104,0.0373693859799104
"Leaf141","Leaf262",0.5003367003367,0.481144781144781,0.260606060606061,0.5625,0.958333333333333,0.520833333333333,0.520833333333333,0.183892428122457,1.43881239540334,0.0100146416303542,0.0106693593484462,9.54123134024151,0.00778494017621048,0.345393959370109
"Leaf141","Leaf265",0.5003367003367,0.481144781144781,0.0888888888888889,0.5625,0.708333333333333,0.395833333333333,0.452380952380952,0.0115493154779207,0.0386895449501792,0.0398595626525449,0.176473111532689,9.72723345156503,0.0820116393842921,0.11893201701986
"Leaf141","Leaf285",0.5003367003367,0.481144781144781,0.530639730639731,0.5625,0.625,0.375,0.461538461538462,0.0975900072948533,0.392042087776024,0.0126330960166189,0.16118378228108,8.59386961136561,0.094689941770612,0.139648995458922
"Leaf141","Leaf288",0.5003367003367,0.481144781144781,0.273400673400673,0.25,0.5625,0.145833333333333,0.21875,0.0242464322484436,0.093090423066012,0.0492834851148515,0.178571428571429,5.0994847348326,0.00637896400866868,0.105435877790568
"Leaf141","Leaf33",0.5003367003367,0.481144781144781,0.728619528619529,0.354166666666667,0.5625,0.1875,0.257142857142857,0.0493931731278727,0.203855411529671,0.0634889901608359,0.630274355112013,6.85415794018494,0.0569028177759208,0.114546855710519
"Leaf141","Leaf334",0.5003367003367,0.481144781144781,0.639057239057239,0.1875,0.5625,0.104166666666667,0.161290322580645,0.00672475036298669,0.0506437328187549,0.0095531820400979,0.223606797749979,3.96871631711513,0.0167507437627421,0.160418789626397
"Leaf141","Leaf344",0.5003367003367,0.481144781144781,0.573737373737374,0.479166666666667,0.5625,0.25,0.31578947368421,0.07881104062391,0.306083157822672,0.0474458683808535,0.483045891539648,7.43763922547435,0.135002261148427,0.135020088894547
"Leaf141","Leaf359",0.5003367003367,0.481144781144781,0.292255892255892,0.0416666666666667,0.5625,0.0416666666666667,0.0740740740740741,0.183892428122457,1.43881239540334,0.2344119466256,NA,2.96486776864329,0.385191275722372,1.03360602704321
"Leaf141","Leaf371",0.5003367003367,0.481144781144781,0.812121212121212,0.25,0.5625,0.166666666666667,0.258064516129032,0.121232161242218,0.527775182079764,0.186343844097139,0.218185825304479,5.25504204296069,0.248306632154332,0.408946761680194
"Leaf141","Leaf391",0.5003367003367,0.481144781144781,0.54949494949495,0.5625,0.8125,0.458333333333333,0.5,0.00672475036298669,0.0506437328187549,0.0540245924662375,0.114311058558475,9.15002536363573,0.0116386194311252,0.0923835230957591
"Leaf141","Leaf405",0.5003367003367,0.481144781144781,0.163636363636364,0.5625,0.854166666666667,0.458333333333333,0.478260869565217,0.126426378671729,0.645356516723597,0.0639513544755721,0.336303221396018,11.800945881778,0.194124508489773,0.295415614348582
"Leaf141","Leaf416",0.5003367003367,0.481144781144781,0.981818181818182,0.5625,0.708333333333333,0.375,0.418604651162791,0.103943839301286,0.432133355190326,0.267336106332202,0.250415550895952,7.77320140315938,0.470246634801278,0.475593461973465
"Leaf141","Leaf420",0.5003367003367,0.481144781144781,0.878114478114478,0.5625,1,0.5625,0.5625,0,0.246133069538909,0.0799887770022118,0.0238394684474398,7.44933867054424,0.324440461730642,0.324440461730642
"Leaf141","Leaf68",0.5003367003367,0.481144781144781,0.931313131313131,0.5625,1,0.5625,0.5625,0,0.246133069538909,0.157737051516574,0.0916526095591308,3.60377790209236,0.380897431707193,0.380897431707193
"Leaf141","Leaf83",0.5003367003367,0.976430976430976,0.583164983164983,0.5625,0.6875,0.416666666666667,0.5,0.130243171145171,0.542898343653985,0.114453583200977,0.0815168425763002,9.46289874596804,0.106184858996833,0.34529927539216
"Leaf141","Leaf86",0.5003367003367,0.481144781144781,0.21952861952862,0.5625,0.895833333333333,0.5,0.521739130434783,0.0257769631113234,0.108213584640233,0.0797105787090387,0.154999625217034,9.57583167111273,0.0078441680808528,0.124662973619895
"Leaf141","Leaf88",0.5003367003367,0.481144781144781,0.348821548821549,0.3125,0.5625,0.1875,0.272727272727273,0.0509647191437626,0.202558913545826,0.0973918762323611,0.254237288135593,4.92201643702956,0.0682209881152557,0.293453592400264
"Leaf141","Leaf90",0.5003367003367,0.481144781144781,0.884848484848485,0.5625,0.791666666666667,0.4375,0.477272727272727,0.038778336716474,0.161872725921169,0.165054325523292,0.279312665567759,12.0466570224871,0.210395185130991,0.461749775752723
"Leaf145","Leaf160",0.5003367003367,0.481144781144781,0.898316498316498,0.1875,1,0.1875,0.1875,0,1.42500887330058,0.203154139212143,0.0680906549648196,3.82164848957908,0.556857118499741,0.556857118499741
"Leaf145","Leaf176",0.5003367003367,0.481144781144781,0.794612794612795,0.479166666666667,1,0.479166666666667,0.479166666666667,0,0.0816780310142672,0.118446149810594,0.0912981674516401,3.68247653623098,0.232402737838459,0.232402737838459
"Leaf145","Leaf177",0.5003367003367,0.481144781144781,0.946127946127946,1,1,1,1,0,4.57471097850338,0.334699528206109,0.334699528206109,3.73806818747894,NA,NA
"Leaf145","Leaf183",0.5003367003367,0.481144781144781,0.989225589225589,0.708333333333333,1,0.708333333333333,0.708333333333333,0,0.866810674610785,0.512228826395461,0.298363525990283,2.84490295602823,0.893021341602555,0.893021341602555
"Leaf145","Leaf187",0.5003367003367,0.481144781144781,0.491582491582492,0.145833333333333,1,0.145833333333333,0.145833333333333,0,1.71079040669439,0.267066752424988,0.0181848241863327,4.60022912333524,0.603995577494407,0.603995577494407
"Leaf145","Leaf189",0.5003367003367,0.481144781144781,0.638383838383838,0.4375,1,0.4375,0.4375,0,0.246133069538908,0.113569958229371,0.319098169149968,3.86752904848645,0.042067715690308,0.042067715690308
"Leaf145","Leaf2",0.5003367003367,0.481144781144781,0.509090909090909,0.520833333333333,1,0.520833333333333,0.520833333333333,0,0.0816780310142671,0.0926833913369027,0.1188791639964,5.05023604476093,0.223155762777355,0.223155762777355
"Leaf145","Leaf202",0.5003367003367,0.481144781144781,0.856565656565657,1,1,1,1,0,4.57471097850338,0.183160523585664,0.183160523585664,5.49274583180881,NA,NA
"Leaf145","Leaf203",0.5003367003367,0.481144781144781,0.197979797979798,1,1,1,1,0,4.57471097850338,0.0372380851179451,0.0372380851179451,3.85324431499631,NA,NA
