"taxon_1","taxon_2","pln_score_percentile","glmnet_score_percentile","sparcc_score_percentile","direct_prevalence_min","direct_prevalence_max","direct_joint_prevalence","direct_presence_jaccard","presence_phi_abs","presence_log_odds_abs","spearman_all_abs","spearman_copresent_abs","log_ratio_variance","abundance_contrast_min","abundance_contrast_max"
"Leaf10","Leaf129",0.398449612403101,0.480262373285629,0.432796660703637,0.0196374622356495,0.989425981873112,0.0196374622356495,0.0198473282442748,0.014631124227591,1.15462693022278,0.0331556766565911,0.0433453603962179,1.98898138996776,0.150491157847895,0.284811921958531
"Leaf10","Leaf187",0.398449612403101,0.480262373285629,0.946332737030411,0.0196374622356495,0.651057401812689,0.0151057401812689,0.0230414746543779,0.0350899139608285,0.486328721560459,0.0522829718277145,0.279962820182862,2.39902996827235,0.055071304361926,0.367548497824872
"Leaf10","Leaf220",0.398449612403101,0.480262373285629,0.889326177698271,0.0196374622356495,1,0.0196374622356495,0.0196374622356495,0,3.87351315066627,0.0148933175127002,0.378549480793637,1.13265256146798,0.00596427334379262,0.00596427334379262
"Leaf10","Leaf299",0.398449612403101,0.480262373285629,0.342874180083482,0.0196374622356495,1,0.0196374622356495,0.0196374622356495,0,3.87351315066627,0.0197186076078335,0.0375659790100555,0.860518571951433,0.19482068377947,0.19482068377947
"Leaf10","Leaf33",0.398449612403101,0.480262373285629,0.932498509242695,0.0196374622356495,0.998489425981873,0.0196374622356495,0.0196671709531014,0.00550488940158943,2.77336002964401,0.00695286953449516,0.118477318416329,1.11200758061063,0.0156711789965885,0.0156711789965885
"Leaf10","Leaf359",0.398449612403101,0.480262373285629,0.60226595110316,0.0196374622356495,0.194864048338369,0.00302114803625378,0.0142857142857143,0.0146562282929713,0.115547684254564,0.0183231865438087,NA,0.728707581969024,0.0845813944044924,0.2112654568215
"Leaf10","Leaf371",0.398449612403101,0.480262373285629,0.138938580799046,0.0196374622356495,1,0.0196374622356495,0.0196374622356495,0,3.87351315066627,0.0253735028365119,0.407446387724449,0.796446914649892,0.260983880714348,0.260983880714348
"Leaf10","Leaf405",0.398449612403101,0.480262373285629,0.93309481216458,0.0196374622356495,1,0.0196374622356495,0.0196374622356495,0,3.87351315066627,0.0267559118109286,0.3380938110905,1.01916536889644,0.146208629277537,0.146208629277537
"Leaf10","Leaf41",0.398449612403101,0.480262373285629,0.940131186642814,0.0196374622356495,0.963746223564955,0.0181268882175227,0.0187793427230047,0.0307934295072862,1.16288481698592,0.070555314660915,0.138991940529955,0.987207391629581,0.030163864084493,0.532513278669864
"Leaf10","Leaf427",0.398449612403101,0.480262373285629,0.883720930232558,0.0196374622356495,1,0.0196374622356495,0.0196374622356495,0,3.87351315066627,0.00464126736477303,0.332314429704338,1.46336410171635,0.0595811112547313,0.0595811112547313
