analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered
schafer_phyllosphere_2022,1,ok,279,17,262,357,Fixed mean,0.350112209523625,0.8915581499775482,,,,,,
schafer_phyllosphere_2022,1,ok,279,17,262,357,PLNNetwork,0.14598424977931618,0.626627750336776,,,,,,
schafer_phyllosphere_2022,1,ok,279,17,262,357,Poisson GLMNet,0.27871786518795405,0.6632240682532554,,,,,,
schafer_phyllosphere_2022,1,ok,279,17,262,357,SparCC,0.2080228001993725,0.8338572070049394,,,,,,
schafer_phyllosphere_2022,1,ok,279,17,262,357,SPIEC-EASI,0.06093189964157706,0.5,,,,,,
schafer_phyllosphere_2022,1,ok,279,17,262,357,LENS restricted,0.35843060204154287,0.8870678042209249,False,lambda=10,3.0,354.0,0.0,0.0
schafer_phyllosphere_2022,1,ok,279,17,262,357,LENS distributed,0.4369198702420289,0.8917826672653795,False,lambda=0.01,8.0,349.0,0.9411764705882353,0.9354838709677419
schafer_phyllosphere_2022,2,ok,96,2,94,5,OneNet,0.8333333333333333,0.9946808510638299,,,,,,
schafer_phyllosphere_2022,2,ok,96,2,94,5,Fixed mean,0.41666666666666663,0.9787234042553191,,,,,,
schafer_phyllosphere_2022,2,ok,96,2,94,5,PLNNetwork,0.020833333333333332,0.4787234042553192,,,,,,
schafer_phyllosphere_2022,2,ok,96,2,94,5,Poisson GLMNet,0.8333333333333333,0.9946808510638298,,,,,,
schafer_phyllosphere_2022,2,ok,96,2,94,5,SparCC,0.25,0.9521276595744681,,,,,,
schafer_phyllosphere_2022,2,ok,96,2,94,5,SPIEC-EASI,0.020833333333333332,0.5,,,,,,
schafer_phyllosphere_2022,2,ok,96,2,94,5,LENS restricted,0.41666666666666663,0.9787234042553191,True,lambda=0.01,0.0,5.0,0.0,0.0
schafer_phyllosphere_2022,2,ok,96,2,94,5,LENS distributed,0.41666666666666663,0.9787234042553191,True,lambda=0.01,0.0,5.0,0.058823529411764705,0.0
schafer_phyllosphere_2022,2,ok,96,2,94,10,OneNet,0.8333333333333333,0.9946808510638299,,,,,,
schafer_phyllosphere_2022,2,ok,96,2,94,10,Fixed mean,0.41666666666666663,0.9787234042553191,,,,,,
schafer_phyllosphere_2022,2,ok,96,2,94,10,PLNNetwork,0.020833333333333332,0.4787234042553192,,,,,,
schafer_phyllosphere_2022,2,ok,96,2,94,10,Poisson GLMNet,0.8333333333333333,0.9946808510638298,,,,,,
