analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
schafer_phyllosphere_2022,4,200,restricted,lambda=10,3,0.354040404040404
schafer_phyllosphere_2022,4,200,distributed,lambda=0.01,3,0.35428460428460423
schafer_phyllosphere_2022,4,200,distributed,lambda=0.1,3,0.38893298059964726
schafer_phyllosphere_2022,4,200,distributed,lambda=1,3,0.4855555555555555
schafer_phyllosphere_2022,4,200,distributed,lambda=10,3,0.5989729225023342
schafer_phyllosphere_2022,4,357,restricted,lambda=0.01,3,0.36457866845797876
schafer_phyllosphere_2022,4,357,restricted,lambda=0.1,3,0.36628487253487246
schafer_phyllosphere_2022,4,357,restricted,lambda=1,3,0.3289428164428165
schafer_phyllosphere_2022,4,357,restricted,lambda=10,3,0.30497557997557995
schafer_phyllosphere_2022,4,357,distributed,lambda=0.01,3,0.186523612838802
schafer_phyllosphere_2022,4,357,distributed,lambda=0.1,3,0.247761077876254
schafer_phyllosphere_2022,4,357,distributed,lambda=1,3,0.23404650904650906
schafer_phyllosphere_2022,4,357,distributed,lambda=10,3,0.24386222437693025
schafer_phyllosphere_2022,5,200,restricted,lambda=0.01,3,0.2332167832167832
schafer_phyllosphere_2022,5,200,restricted,lambda=0.1,3,0.13288740245261985
schafer_phyllosphere_2022,5,200,restricted,lambda=1,3,0.1166944166944167
schafer_phyllosphere_2022,5,200,restricted,lambda=10,3,0.17008547008547012
schafer_phyllosphere_2022,5,200,distributed,lambda=0.01,2,0.054411764705882354
schafer_phyllosphere_2022,5,200,distributed,lambda=0.1,2,0.054411764705882354
schafer_phyllosphere_2022,5,200,distributed,lambda=1,2,0.054411764705882354
schafer_phyllosphere_2022,5,200,distributed,lambda=10,2,0.054411764705882354
schafer_phyllosphere_2022,5,357,restricted,lambda=0.01,3,0.02858047235344091
schafer_phyllosphere_2022,5,357,restricted,lambda=0.1,3,0.02917105321695646
schafer_phyllosphere_2022,5,357,restricted,lambda=1,3,0.058541079398637536
schafer_phyllosphere_2022,5,357,restricted,lambda=10,3,0.2511767925561029
schafer_phyllosphere_2022,5,357,distributed,lambda=0.01,3,0.1351981351981352
schafer_phyllosphere_2022,5,357,distributed,lambda=0.1,3,0.05647458188441795
schafer_phyllosphere_2022,5,357,distributed,lambda=1,3,0.13376300316598824
schafer_phyllosphere_2022,5,357,distributed,lambda=10,3,0.10825647782169522
schafer_phyllosphere_2022,6,50,restricted,lambda=0.01,2,0.14166666666666666
schafer_phyllosphere_2022,6,50,restricted,lambda=0.1,2,0.14166666666666666
schafer_phyllosphere_2022,6,50,restricted,lambda=1,2,0.14166666666666666
schafer_phyllosphere_2022,6,50,restricted,lambda=10,2,0.14166666666666666
schafer_phyllosphere_2022,6,100,restricted,lambda=0.01,2,0.13333333333333333
schafer_phyllosphere_2022,6,100,restricted,lambda=0.1,2,0.13333333333333333
schafer_phyllosphere_2022,6,100,restricted,lambda=1,2,0.13333333333333333
schafer_phyllosphere_2022,6,100,restricted,lambda=10,2,0.13333333333333333
schafer_phyllosphere_2022,6,100,distributed,lambda=0.01,2,0.08496732026143791
schafer_phyllosphere_2022,6,100,distributed,lambda=0.1,2,0.08496732026143791
schafer_phyllosphere_2022,6,100,distributed,lambda=1,2,0.08496732026143791
schafer_phyllosphere_2022,6,100,distributed,lambda=10,2,0.08496732026143791
schafer_phyllosphere_2022,6,200,restricted,lambda=0.01,3,0.13938492063492064
schafer_phyllosphere_2022,6,200,restricted,lambda=0.1,3,0.15222222222222223
schafer_phyllosphere_2022,6,200,restricted,lambda=1,3,0.16254578754578755
schafer_phyllosphere_2022,6,200,restricted,lambda=10,3,0.19292929292929295
schafer_phyllosphere_2022,6,200,distributed,lambda=0.01,3,0.1629867046533713
schafer_phyllosphere_2022,6,200,distributed,lambda=0.1,3,0.15817901234567902
schafer_phyllosphere_2022,6,200,distributed,lambda=1,3,0.15685185185185183
schafer_phyllosphere_2022,6,200,distributed,lambda=10,3,0.15633903133903135
schafer_phyllosphere_2022,6,357,restricted,lambda=0.01,3,0.5714646464646465
schafer_phyllosphere_2022,6,357,restricted,lambda=0.1,3,0.4741429095595762
schafer_phyllosphere_2022,6,357,restricted,lambda=1,3,0.3901455026455026
schafer_phyllosphere_2022,6,357,restricted,lambda=10,3,0.30042231017463217
schafer_phyllosphere_2022,6,357,distributed,lambda=0.01,3,0.26350636350636353
schafer_phyllosphere_2022,6,357,distributed,lambda=0.1,3,0.2889501871209188
schafer_phyllosphere_2022,6,357,distributed,lambda=1,3,0.2835930953578012
schafer_phyllosphere_2022,6,357,distributed,lambda=10,3,0.3714148877941981
schafer_phyllosphere_2022,7,100,restricted,lambda=0.01,3,0.7222222222222222
schafer_phyllosphere_2022,7,100,restricted,lambda=0.1,3,0.5833333333333334
schafer_phyllosphere_2022,7,100,restricted,lambda=1,3,0.5388888888888889
schafer_phyllosphere_2022,7,100,restricted,lambda=10,3,0.6031746031746031
schafer_phyllosphere_2022,7,200,restricted,lambda=0.01,3,0.3560185185185185
schafer_phyllosphere_2022,7,200,restricted,lambda=0.1,3,0.34389499389499384
schafer_phyllosphere_2022,7,200,restricted,lambda=1,3,0.41865079365079366
schafer_phyllosphere_2022,7,200,restricted,lambda=10,3,0.4413919413919413
schafer_phyllosphere_2022,7,200,distributed,lambda=0.01,3,0.6448412698412698
schafer_phyllosphere_2022,7,200,distributed,lambda=0.1,3,0.6691919191919191
schafer_phyllosphere_2022,7,200,distributed,lambda=1,3,0.6416666666666667
schafer_phyllosphere_2022,7,200,distributed,lambda=10,3,0.6553030303030303
schafer_phyllosphere_2022,7,357,restricted,lambda=0.01,3,0.34475328592975646
schafer_phyllosphere_2022,7,357,restricted,lambda=0.1,3,0.4825568890609541
