analysis_set,budget_pairs,repeat,difference,comparison,metric
carlstrom_phyllosphere_2019,5,16,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,5,17,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,5,18,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,5,19,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,5,20,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,1,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,2,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,3,-0.004257938604606298,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,4,-0.0420291163441361,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,5,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,6,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,7,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,8,-0.003358717013879603,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,9,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,10,-0.03632905070937531,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,11,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,12,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,13,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,14,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,15,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,16,0.005966432467049705,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,17,-0.02131949577039008,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,18,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,19,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,10,20,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,1,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,2,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,3,0.0363922681732191,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,4,-0.009530230727555794,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,5,-0.10798496694918153,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,6,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,7,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,8,-5.1235590761006256e-06,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,9,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,10,-0.08394597163639811,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,11,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,12,0.006623563940330299,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,13,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,14,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,15,-0.03942124174443409,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,16,-0.007308474764609205,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,17,-0.05343709557171861,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,18,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,19,0.0,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,20,20,0.000679383232101316,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,1,0.06261906196534689,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,2,-0.009522026611186118,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,3,-0.009927620118841102,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,4,0.013101457087485086,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,5,0.07260457426848521,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,6,-0.10893719914037792,LENS distributed minus LENS restricted,auprc
