analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,Fixed mean,0.15502056345011456,0.45840867992766726,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,PLNNetwork,0.15053763440860216,0.5,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,Poisson GLMNet,0.15218573988735282,0.5119801084990958,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,SparCC,0.14211148563241566,0.4439421338155516,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,SPIEC-EASI,0.15053763440860216,0.49683544303797467,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,LENS restricted,0.18743769072801397,0.43557866184448457,False,lambda=0.1,19.0,181.0,0.0,0.0
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,LENS distributed,0.15375296336215874,0.4658679927667269,False,lambda=10,28.0,172.0,1.0,1.0
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,OneNet,0.1591715573131177,0.5233951175406872,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,Fixed mean,0.15502056345011456,0.45840867992766726,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,PLNNetwork,0.15053763440860216,0.5,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,Poisson GLMNet,0.15218573988735282,0.5119801084990958,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,SparCC,0.14211148563241566,0.4439421338155516,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,SPIEC-EASI,0.15053763440860216,0.49683544303797467,,,,,,
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,LENS restricted,0.19918037014209122,0.4190777576853527,False,lambda=1,28.0,247.0,0.0,0.0
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,LENS distributed,0.165888593343981,0.4961573236889693,False,lambda=10,43.0,232.0,1.0,1.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,OneNet,0.12337326665859054,0.41996173469387754,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,Fixed mean,0.10326844412243644,0.3960459183673469,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,PLNNetwork,0.1111111111111111,0.5,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,Poisson GLMNet,0.1746031746031746,0.5357142857142857,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,SparCC,0.09203530300093068,0.35331632653061223,,,,,,
