analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered,panel,budget
butyrate_assembly_2021,7,ok,24,21,3,10,OneNet,0.891364135120265,0.46031746031746,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,7,ok,24,21,3,10,LENS restricted,0.814763817439625,0.380952380952381,FALSE,lambda=1,5,5,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,7,ok,24,21,3,10,LENS distributed,0.914020554863151,0.587301587301587,FALSE,lambda=10,7,3,0.4,0.208333333333333,Butyrate (17/20 partitions),10
butyrate_assembly_2021,7,ok,24,21,3,13,OneNet,0.891364135120265,0.46031746031746,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,7,ok,24,21,3,13,LENS restricted,0.814763817439625,0.380952380952381,FALSE,lambda=1,8,5,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,7,ok,24,21,3,13,LENS distributed,0.824296752611706,0.349206349206349,FALSE,lambda=10,8,5,0.5,0.375,Butyrate (17/20 partitions),13
butyrate_assembly_2021,8,ok,14,12,2,5,OneNet,0.782924482924483,0.125,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,8,ok,14,12,2,5,LENS restricted,0.828906278906279,0.270833333333333,TRUE,lambda=10,3,2,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,8,ok,14,12,2,5,LENS distributed,0.828906278906279,0.270833333333333,TRUE,lambda=10,3,2,0.111111111111111,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,8,ok,14,12,2,10,OneNet,0.782924482924483,0.125,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,8,ok,14,12,2,10,LENS restricted,0.838628501128501,0.25,FALSE,lambda=10,6,4,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,8,ok,14,12,2,10,LENS distributed,0.817795167795168,0.208333333333333,FALSE,lambda=10,6,4,0.333333333333333,0.142857142857143,Butyrate (17/20 partitions),10
butyrate_assembly_2021,8,ok,14,12,2,13,OneNet,0.782924482924483,0.125,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,8,ok,14,12,2,13,LENS restricted,0.769382469382469,0.208333333333333,FALSE,lambda=0.1,8,5,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,8,ok,14,12,2,13,LENS distributed,0.748350723350723,0.125,FALSE,lambda=0.1,8,5,0.333333333333333,0.142857142857143,Butyrate (17/20 partitions),13
butyrate_assembly_2021,9,ok,15,7,8,5,OneNet,0.717460317460317,0.607142857142857,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,9,ok,15,7,8,5,LENS restricted,0.581432456432457,0.517857142857143,TRUE,lambda=0.01,5,0,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,9,ok,15,7,8,5,LENS distributed,0.581432456432457,0.517857142857143,TRUE,lambda=0.01,5,0,0.2,0.0666666666666666,Butyrate (17/20 partitions),5
butyrate_assembly_2021,9,ok,15,7,8,10,OneNet,0.717460317460317,0.607142857142857,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,9,ok,15,7,8,10,LENS restricted,0.581432456432457,0.517857142857143,TRUE,lambda=0.01,9,1,0,0,Butyrate (17/20 partitions),10
