analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered,panel,budget
carlstrom_phyllosphere_2019,1,ok,186,28,158,100,LENS distributed,0.187349620800053,0.470614828209765,FALSE,lambda=10,7,93,0.818181818181818,0.741935483870968,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,OneNet,0.159171557313118,0.523395117540687,,"",,,,,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,LENS restricted,0.187437690728014,0.435578661844485,FALSE,lambda=0.1,19,181,0,0,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,1,ok,186,28,158,200,LENS distributed,0.153752963362159,0.465867992766727,FALSE,lambda=10,28,172,1,1,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,OneNet,0.159171557313118,0.523395117540687,,"",,,,,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,LENS restricted,0.199180370142091,0.419077757685353,FALSE,lambda=1,28,247,0,0,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,1,ok,186,28,158,275,LENS distributed,0.165888593343981,0.496157323688969,FALSE,lambda=10,43,232,1,1,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,OneNet,0.123373266658591,0.419961734693877,,"",,,,,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,LENS restricted,0.103268444122436,0.396045918367347,TRUE,lambda=0.01,0,5,0,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,LENS distributed,0.103268444122436,0.396045918367347,TRUE,lambda=0.01,0,5,0,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,OneNet,0.123373266658591,0.419961734693877,,"",,,,,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,LENS restricted,0.103268444122436,0.396045918367347,TRUE,lambda=0.01,0,10,0,0,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,LENS distributed,0.103268444122436,0.396045918367347,TRUE,lambda=0.01,0,10,0.0454545454545454,0,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,OneNet,0.123373266658591,0.419961734693877,,"",,,,,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,LENS restricted,0.103268444122436,0.396045918367347,TRUE,lambda=0.01,1,19,0,0,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,LENS distributed,0.103268444122436,0.396045918367347,TRUE,lambda=0.01,0,20,0.227272727272727,0.0714285714285714,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,OneNet,0.123373266658591,0.419961734693877,,"",,,,,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,LENS restricted,0.159125026107277,0.541454081632653,FALSE,lambda=10,3,47,0,0,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,LENS distributed,0.149602999496091,0.612882653061225,FALSE,lambda=0.01,4,46,0.590909090909091,0.5,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,OneNet,0.123373266658591,0.419961734693877,,"",,,,,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,LENS restricted,0.167280911728199,0.564413265306123,FALSE,lambda=0.01,12,88,0,0,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,LENS distributed,0.188248856429573,0.696428571428571,FALSE,lambda=1,9,91,0.818181818181818,0.777777777777778,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,OneNet,0.123373266658591,0.419961734693877,,"",,,,,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,LENS restricted,0.128459431327793,0.505739795918367,FALSE,lambda=1,24,176,0,0,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,LENS distributed,0.163453357437823,0.614795918367347,FALSE,lambda=0.1,30,170,1,1,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,OneNet,0.123373266658591,0.419961734693877,,"",,,,,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,LENS restricted,0.215316895910357,0.538265306122449,FALSE,lambda=0.01,33,242,0,0,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,LENS distributed,0.174187379499414,0.628826530612245,FALSE,lambda=0.01,40,235,1,1,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,OneNet,0.0699013570846116,0.356542617046819,,"",,,,,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,LENS restricted,0.0704167031096469,0.512605042016807,TRUE,lambda=10,2,3,0,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,3,ok,126,7,119,5,LENS distributed,0.0704167031096469,0.512605042016807,TRUE,lambda=0.01,0,5,0.181818181818182,0.0238095238095238,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,OneNet,0.0699013570846116,0.356542617046819,,"",,,,,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,LENS restricted,0.0746746417142532,0.444177671068427,FALSE,lambda=10,3,7,0,0,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,3,ok,126,7,119,10,LENS distributed,0.0704167031096469,0.512605042016807,TRUE,lambda=10,2,8,0.272727272727273,0.0396825396825396,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,OneNet,0.0699013570846116,0.356542617046819,,"",,,,,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,LENS restricted,0.0886568675798229,0.378151260504202,FALSE,lambda=10,5,15,0,0,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,3,ok,126,7,119,20,LENS distributed,0.125049135753042,0.594237695078031,FALSE,lambda=1,4,16,0.5,0.214285714285714,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,3,ok,126,7,119,50,OneNet,0.0699013570846116,0.356542617046819,,"",,,,,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,3,ok,126,7,119,50,LENS restricted,0.208901169831307,0.539015606242497,FALSE,lambda=0.01,10,40,0,0,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,3,ok,126,7,119,50,LENS distributed,0.198973549712466,0.457382953181272,FALSE,lambda=1,7,43,0.818181818181818,0.690476190476191,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,3,ok,126,7,119,100,OneNet,0.0699013570846116,0.356542617046819,,"",,,,,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,3,ok,126,7,119,100,LENS restricted,0.0706432298478622,0.471788715486195,FALSE,lambda=0.1,19,81,0,0,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,3,ok,126,7,119,100,LENS distributed,0.103348235846063,0.567827130852341,FALSE,lambda=0.1,16,84,1,1,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,3,ok,126,7,119,200,OneNet,0.0699013570846116,0.356542617046819,,"",,,,,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,3,ok,126,7,119,200,LENS restricted,0.103299306638288,0.691476590636255,FALSE,lambda=0.01,36,164,0,0,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,3,ok,126,7,119,200,LENS distributed,0.084374868288355,0.470588235294118,FALSE,lambda=1,27,173,1,1,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,3,ok,126,7,119,275,OneNet,0.0699013570846116,0.356542617046819,,"",,,,,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,3,ok,126,7,119,275,LENS restricted,0.0946567800016076,0.663865546218487,FALSE,lambda=0.1,42,233,0,0,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,3,ok,126,7,119,275,LENS distributed,0.0909264611034646,0.436974789915966,FALSE,lambda=1,34,241,1,1,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,4,ok,195,14,181,5,OneNet,0.0718325194785606,0.440015785319653,,"",,,,,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,4,ok,195,14,181,5,LENS restricted,0.0805049270222896,0.477111286503552,TRUE,lambda=0.01,1,4,0,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,4,ok,195,14,181,5,LENS distributed,0.0805049270222896,0.477111286503552,TRUE,lambda=0.01,1,4,0.181818181818182,0.0256410256410256,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,4,ok,195,14,181,10,OneNet,0.0718325194785606,0.440015785319653,,"",,,,,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,4,ok,195,14,181,10,LENS restricted,0.122534043366426,0.586819258089976,FALSE,lambda=10,3,7,0,0,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,4,ok,195,14,181,10,LENS distributed,0.0805049270222896,0.477111286503552,TRUE,lambda=0.01,1,9,0.272727272727273,0.0615384615384615,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,4,ok,195,14,181,20,OneNet,0.0718325194785606,0.440015785319653,,"",,,,,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,4,ok,195,14,181,20,LENS restricted,0.0900351577498454,0.532359905288082,FALSE,lambda=0.01,5,15,0,0,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,4,ok,195,14,181,20,LENS distributed,0.0805049270222896,0.477111286503552,TRUE,lambda=10,2,18,0.5,0.251282051282051,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,4,ok,195,14,181,50,OneNet,0.0718325194785606,0.440015785319653,,"",,,,,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,4,ok,195,14,181,50,LENS restricted,0.185558175384818,0.653512233622731,FALSE,lambda=0.01,11,39,0,0,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,4,ok,195,14,181,50,LENS distributed,0.198659632472303,0.668508287292818,FALSE,lambda=0.1,8,42,0.818181818181818,0.733333333333333,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,4,ok,195,14,181,100,OneNet,0.0718325194785606,0.440015785319653,,"",,,,,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,4,ok,195,14,181,100,LENS restricted,0.302935417288261,0.754538279400158,FALSE,lambda=0.1,19,81,0,0,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,4,ok,195,14,181,100,LENS distributed,0.164530874231561,0.648382004735596,FALSE,lambda=0.01,13,87,0.909090909090909,0.866666666666667,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,4,ok,195,14,181,200,OneNet,0.0718325194785606,0.440015785319653,,"",,,,,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,4,ok,195,14,181,200,LENS restricted,0.3826047326101,0.737569060773481,FALSE,lambda=0.1,36,164,0,0,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,4,ok,195,14,181,200,LENS distributed,0.307083578087952,0.698105761641673,FALSE,lambda=0.1,29,171,1,1,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,4,ok,195,14,181,275,OneNet,0.0718325194785606,0.440015785319653,,"",,,,,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,4,ok,195,14,181,275,LENS restricted,0.176260335066837,0.688239936858721,FALSE,lambda=0.01,51,224,0,0,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,4,ok,195,14,181,275,LENS distributed,0.21868542002473,0.681136543014996,FALSE,lambda=0.1,40,235,1,1,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,5,ok,165,23,142,5,OneNet,0.136794588650433,0.506123698714023,,"",,,,,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,5,ok,165,23,142,5,LENS restricted,0.117777166693929,0.391916717697489,TRUE,lambda=0.01,1,4,0,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,5,ok,165,23,142,5,LENS distributed,0.117777166693929,0.391916717697489,TRUE,lambda=0.01,1,4,0.0909090909090909,0.006060606060606,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,5,ok,165,23,142,10,OneNet,0.136794588650433,0.506123698714023,,"",,,,,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,5,ok,165,23,142,10,LENS restricted,0.117777166693929,0.391916717697489,TRUE,lambda=10,2,8,0,0,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,5,ok,165,23,142,10,LENS distributed,0.117777166693929,0.391916717697489,TRUE,lambda=10,2,8,0.181818181818182,0.0363636363636363,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,5,ok,165,23,142,20,OneNet,0.136794588650433,0.506123698714023,,"",,,,,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,5,ok,165,23,142,20,LENS restricted,0.257887179168695,0.526944274341702,FALSE,lambda=1,5,15,0,0,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,5,ok,165,23,142,20,LENS distributed,0.149902212219514,0.484690753214942,FALSE,lambda=10,3,17,0.272727272727273,0.0909090909090909,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,5,ok,165,23,142,50,OneNet,0.136794588650433,0.506123698714023,,"",,,,,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,5,ok,165,23,142,50,LENS restricted,0.303396245347432,0.619105939987753,FALSE,lambda=0.01,8,42,0,0,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,5,ok,165,23,142,50,LENS distributed,0.376000819615917,0.73423147581139,FALSE,lambda=0.01,10,40,0.727272727272727,0.6,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,5,ok,165,23,142,100,OneNet,0.136794588650433,0.506123698714023,,"",,,,,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,5,ok,165,23,142,100,LENS restricted,0.287218106187615,0.528169014084507,FALSE,lambda=1,14,86,0,0,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,5,ok,165,23,142,100,LENS distributed,0.37085682662327,0.681261481935089,FALSE,lambda=0.01,15,85,1,1,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,5,ok,165,23,142,200,OneNet,0.136794588650433,0.506123698714023,,"",,,,,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,5,ok,165,23,142,200,LENS restricted,0.328102192425953,0.663808940600123,FALSE,lambda=0.1,28,172,0,0,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,5,ok,165,23,142,200,LENS distributed,0.378968296593408,0.708205756276791,FALSE,lambda=0.1,27,173,1,1,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,5,ok,165,23,142,275,OneNet,0.136794588650433,0.506123698714023,,"",,,,,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,5,ok,165,23,142,275,LENS restricted,0.278187143935394,0.695039804041641,FALSE,lambda=0.01,36,239,0,0,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,5,ok,165,23,142,275,LENS distributed,0.404860163654719,0.723821187997551,FALSE,lambda=0.01,34,241,1,1,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,6,ok,165,31,134,5,OneNet,0.183490493460881,0.48302840635532,,"",,,,,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,6,ok,165,31,134,5,LENS restricted,0.204746150583274,0.491092922484352,TRUE,lambda=0.01,0,5,0,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,6,ok,165,31,134,5,LENS distributed,0.204746150583274,0.491092922484352,TRUE,lambda=0.01,0,5,0.136363636363636,0.0181818181818181,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,6,ok,165,31,134,10,OneNet,0.183490493460881,0.48302840635532,,"",,,,,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,6,ok,165,31,134,10,LENS restricted,0.204746150583274,0.491092922484352,TRUE,lambda=0.01,0,10,0,0,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,6,ok,165,31,134,10,LENS distributed,0.204746150583274,0.491092922484352,TRUE,lambda=0.01,0,10,0.181818181818182,0.0303030303030303,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,6,ok,165,31,134,20,OneNet,0.183490493460881,0.48302840635532,,"",,,,,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,6,ok,165,31,134,20,LENS restricted,0.204746150583274,0.491092922484352,TRUE,lambda=0.01,0,20,0,0,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,6,ok,165,31,134,20,LENS distributed,0.204746150583274,0.491092922484352,TRUE,lambda=0.01,0,20,0.454545454545455,0.236363636363636,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,6,ok,165,31,134,50,OneNet,0.183490493460881,0.48302840635532,,"",,,,,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,6,ok,165,31,134,50,LENS restricted,0.325271644796727,0.567404910929225,FALSE,lambda=0.01,4,46,0,0,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,6,ok,165,31,134,50,LENS distributed,0.216334445656349,0.464853153586904,FALSE,lambda=10,4,46,0.727272727272727,0.636363636363636,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,6,ok,165,31,134,100,OneNet,0.183490493460881,0.48302840635532,,"",,,,,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,6,ok,165,31,134,100,LENS restricted,0.266195688511913,0.51564756860857,FALSE,lambda=0.1,7,93,0,0,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,6,ok,165,31,134,100,LENS distributed,0.32397071713844,0.592441020702937,FALSE,lambda=0.1,8,92,0.909090909090909,0.878787878787879,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,6,ok,165,31,134,200,OneNet,0.183490493460881,0.48302840635532,,"",,,,,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,6,ok,165,31,134,200,LENS restricted,0.242503877567255,0.538035628310063,FALSE,lambda=0.1,13,187,0,0,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,6,ok,165,31,134,200,LENS distributed,0.313587110682857,0.607607125662013,FALSE,lambda=0.1,21,179,1,1,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,6,ok,165,31,134,275,OneNet,0.183490493460881,0.48302840635532,,"",,,,,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,6,ok,165,31,134,275,LENS restricted,0.191836815570653,0.502166586422725,FALSE,lambda=0.01,17,258,0,0,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,6,ok,165,31,134,275,LENS distributed,0.320940855267559,0.606162734713529,FALSE,lambda=0.1,28,247,1,1,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,7,ok,186,27,159,5,OneNet,0.130262270615538,0.439669228977405,,"",,,,,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,7,ok,186,27,159,5,LENS restricted,0.180876226986933,0.548800372699744,TRUE,lambda=0.01,0,5,0,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,7,ok,186,27,159,5,LENS distributed,0.180876226986933,0.548800372699744,TRUE,lambda=0.01,0,5,0.0454545454545454,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,7,ok,186,27,159,10,OneNet,0.130262270615538,0.439669228977405,,"",,,,,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,7,ok,186,27,159,10,LENS restricted,0.180876226986933,0.548800372699744,TRUE,lambda=0.01,0,10,0,0,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,7,ok,186,27,159,10,LENS distributed,0.180876226986933,0.548800372699744,TRUE,lambda=0.01,1,9,0.227272727272727,0.0483870967741935,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,7,ok,186,27,159,20,OneNet,0.130262270615538,0.439669228977405,,"",,,,,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,7,ok,186,27,159,20,LENS restricted,0.180876226986933,0.548800372699744,TRUE,lambda=0.01,0,20,0,0,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,7,ok,186,27,159,20,LENS distributed,0.180876226986933,0.548800372699744,TRUE,lambda=10,2,18,0.318181818181818,0.10752688172043,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,7,ok,186,27,159,50,OneNet,0.130262270615538,0.439669228977405,,"",,,,,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,7,ok,186,27,159,50,LENS restricted,0.216053193895591,0.571395294665735,FALSE,lambda=10,6,44,0,0,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,7,ok,186,27,159,50,LENS distributed,0.190097547222517,0.562776613091079,FALSE,lambda=1,5,45,0.727272727272727,0.591397849462366,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,7,ok,186,27,159,100,OneNet,0.130262270615538,0.439669228977405,,"",,,,,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,7,ok,186,27,159,100,LENS restricted,0.175975434105619,0.471232238527836,FALSE,lambda=0.01,11,89,0,0,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,7,ok,186,27,159,100,LENS distributed,0.206486362695708,0.638714185883997,FALSE,lambda=1,12,88,0.863636363636364,0.806451612903226,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,7,ok,186,27,159,200,OneNet,0.130262270615538,0.439669228977405,,"",,,,,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,7,ok,186,27,159,200,LENS restricted,0.219048458374089,0.542976939203354,FALSE,lambda=0.01,22,178,0,0,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,7,ok,186,27,159,200,LENS distributed,0.200622713535497,0.608432331702772,FALSE,lambda=1,21,179,0.954545454545455,0.935483870967742,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,7,ok,186,27,159,275,OneNet,0.130262270615538,0.439669228977405,,"",,,,,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,7,ok,186,27,159,275,LENS restricted,0.224805691433341,0.584905660377359,FALSE,lambda=0.01,32,243,0,0,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,7,ok,186,27,159,275,LENS distributed,0.206025063696561,0.57745166550198,FALSE,lambda=0.1,30,245,1,1,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,8,ok,176,20,156,5,OneNet,0.0889136819813733,0.355608974358974,,"",,,,,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,8,ok,176,20,156,5,LENS restricted,0.0986991489265685,0.419230769230769,TRUE,lambda=0.01,1,4,0,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,8,ok,176,20,156,5,LENS distributed,0.0986991489265685,0.419230769230769,TRUE,lambda=0.01,1,4,0.227272727272727,0.0568181818181818,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,8,ok,176,20,156,10,OneNet,0.0889136819813733,0.355608974358974,,"",,,,,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,8,ok,176,20,156,10,LENS restricted,0.102057865940448,0.442948717948718,FALSE,lambda=1,4,6,0,0,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,8,ok,176,20,156,10,LENS distributed,0.0986991489265685,0.419230769230769,TRUE,lambda=10,2,8,0.318181818181818,0.119318181818182,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,8,ok,176,20,156,20,OneNet,0.0889136819813733,0.355608974358974,,"",,,,,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,8,ok,176,20,156,20,LENS restricted,0.0960405724483885,0.42948717948718,FALSE,lambda=0.01,6,14,0,0,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,8,ok,176,20,156,20,LENS distributed,0.0960354488893124,0.423717948717949,FALSE,lambda=1,6,14,0.454545454545455,0.25,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,8,ok,176,20,156,50,OneNet,0.0889136819813733,0.355608974358974,,"",,,,,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,8,ok,176,20,156,50,LENS restricted,0.325526146895549,0.768589743589744,FALSE,lambda=0.01,11,39,0,0,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,8,ok,176,20,156,50,LENS distributed,0.154549949278259,0.648397435897436,FALSE,lambda=0.01,11,39,0.636363636363636,0.482954545454545,Carlström (20/20 partitions),50
carlstrom_phyllosphere_2019,8,ok,176,20,156,100,OneNet,0.0889136819813733,0.355608974358974,,"",,,,,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,8,ok,176,20,156,100,LENS restricted,0.205196398163514,0.742628205128205,FALSE,lambda=1,18,82,0,0,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,8,ok,176,20,156,100,LENS distributed,0.27804122839196,0.725961538461539,FALSE,lambda=0.1,20,80,0.863636363636364,0.8125,Carlström (20/20 partitions),100
carlstrom_phyllosphere_2019,8,ok,176,20,156,200,OneNet,0.0889136819813733,0.355608974358974,,"",,,,,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,8,ok,176,20,156,200,LENS restricted,0.301203184979471,0.750961538461539,FALSE,lambda=0.1,30,170,0,0,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,8,ok,176,20,156,200,LENS distributed,0.221827800998994,0.725641025641026,FALSE,lambda=1,33,167,0.954545454545455,0.9375,Carlström (20/20 partitions),200
carlstrom_phyllosphere_2019,8,ok,176,20,156,275,OneNet,0.0889136819813733,0.355608974358974,,"",,,,,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,8,ok,176,20,156,275,LENS restricted,0.296952920720717,0.757692307692308,FALSE,lambda=0.01,36,239,0,0,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,8,ok,176,20,156,275,LENS distributed,0.381256410077588,0.783012820512821,FALSE,lambda=0.01,40,235,0.954545454545455,0.9375,Carlström (20/20 partitions),275
carlstrom_phyllosphere_2019,9,ok,176,28,148,5,OneNet,0.234574287473973,0.561896718146718,,"",,,,,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,9,ok,176,28,148,5,LENS restricted,0.162788328427995,0.462837837837838,TRUE,lambda=0.01,1,4,0,0,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,9,ok,176,28,148,5,LENS distributed,0.162788328427995,0.462837837837838,TRUE,lambda=0.01,1,4,0.227272727272727,0.0397727272727272,Carlström (20/20 partitions),5
carlstrom_phyllosphere_2019,9,ok,176,28,148,10,OneNet,0.234574287473973,0.561896718146718,,"",,,,,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,9,ok,176,28,148,10,LENS restricted,0.162788328427995,0.462837837837838,TRUE,lambda=0.01,1,9,0,0,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,9,ok,176,28,148,10,LENS distributed,0.162788328427995,0.462837837837838,TRUE,lambda=0.01,1,9,0.318181818181818,0.0852272727272727,Carlström (20/20 partitions),10
carlstrom_phyllosphere_2019,9,ok,176,28,148,20,OneNet,0.234574287473973,0.561896718146718,,"",,,,,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,9,ok,176,28,148,20,LENS restricted,0.162788328427995,0.462837837837838,TRUE,lambda=0.01,1,19,0,0,Carlström (20/20 partitions),20
carlstrom_phyllosphere_2019,9,ok,176,28,148,20,LENS distributed,0.162788328427995,0.462837837837838,TRUE,lambda=10,2,18,0.5,0.227272727272727,Carlström (20/20 partitions),20
