analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,7,10,distributed,lambda=1,3,0.8796296296296297
butyrate_assembly_2021,7,10,distributed,lambda=10,3,0.8796296296296297
butyrate_assembly_2021,7,13,restricted,lambda=0.01,3,0.9555555555555556
butyrate_assembly_2021,7,13,restricted,lambda=0.1,3,0.9555555555555556
butyrate_assembly_2021,7,13,restricted,lambda=1,3,0.9555555555555556
butyrate_assembly_2021,7,13,restricted,lambda=10,3,0.862962962962963
butyrate_assembly_2021,7,13,distributed,lambda=0.01,3,0.8055555555555555
butyrate_assembly_2021,7,13,distributed,lambda=0.1,3,0.8055555555555555
butyrate_assembly_2021,7,13,distributed,lambda=1,3,0.861111111111111
butyrate_assembly_2021,7,13,distributed,lambda=10,3,0.8796296296296297
butyrate_assembly_2021,8,5,restricted,lambda=0.01,2,1.0
butyrate_assembly_2021,8,5,restricted,lambda=0.1,2,1.0
butyrate_assembly_2021,8,5,restricted,lambda=1,2,1.0
butyrate_assembly_2021,8,5,restricted,lambda=10,2,1.0
butyrate_assembly_2021,8,5,distributed,lambda=0.01,2,1.0
butyrate_assembly_2021,8,5,distributed,lambda=0.1,2,1.0
butyrate_assembly_2021,8,5,distributed,lambda=1,2,1.0
butyrate_assembly_2021,8,5,distributed,lambda=10,2,1.0
butyrate_assembly_2021,8,10,restricted,lambda=0.01,3,1.0
butyrate_assembly_2021,8,10,restricted,lambda=0.1,3,1.0
butyrate_assembly_2021,8,10,restricted,lambda=1,3,1.0
butyrate_assembly_2021,8,10,restricted,lambda=10,3,1.0
butyrate_assembly_2021,8,10,distributed,lambda=0.01,3,0.8055555555555555
butyrate_assembly_2021,8,10,distributed,lambda=0.1,3,0.861111111111111
butyrate_assembly_2021,8,10,distributed,lambda=1,3,0.861111111111111
butyrate_assembly_2021,8,10,distributed,lambda=10,3,0.861111111111111
butyrate_assembly_2021,8,13,restricted,lambda=0.01,3,0.9166666666666666
butyrate_assembly_2021,8,13,restricted,lambda=0.1,3,0.9444444444444443
butyrate_assembly_2021,8,13,restricted,lambda=1,3,0.8333333333333334
butyrate_assembly_2021,8,13,restricted,lambda=10,3,0.8518518518518517
butyrate_assembly_2021,8,13,distributed,lambda=0.01,3,0.8722222222222221
butyrate_assembly_2021,8,13,distributed,lambda=0.1,3,0.9
butyrate_assembly_2021,8,13,distributed,lambda=1,3,0.825925925925926
butyrate_assembly_2021,8,13,distributed,lambda=10,3,0.8444444444444444
butyrate_assembly_2021,10,5,restricted,lambda=0.01,2,1.0
butyrate_assembly_2021,10,5,restricted,lambda=0.1,2,1.0
butyrate_assembly_2021,10,5,restricted,lambda=1,2,1.0
butyrate_assembly_2021,10,5,restricted,lambda=10,2,1.0
butyrate_assembly_2021,10,10,restricted,lambda=0.01,2,0.94375
butyrate_assembly_2021,10,10,restricted,lambda=0.1,2,0.94375
butyrate_assembly_2021,10,10,restricted,lambda=1,2,0.94375
butyrate_assembly_2021,10,10,restricted,lambda=10,2,0.94375
butyrate_assembly_2021,10,10,distributed,lambda=0.01,3,0.8055555555555555
butyrate_assembly_2021,10,10,distributed,lambda=0.1,3,0.8055555555555555
butyrate_assembly_2021,10,10,distributed,lambda=1,3,0.8055555555555555
butyrate_assembly_2021,10,10,distributed,lambda=10,3,0.8055555555555555
butyrate_assembly_2021,10,13,restricted,lambda=0.01,3,0.8518518518518517
butyrate_assembly_2021,10,13,restricted,lambda=0.1,3,0.8518518518518517
butyrate_assembly_2021,10,13,restricted,lambda=1,3,0.8518518518518517
butyrate_assembly_2021,10,13,restricted,lambda=10,3,0.8518518518518517
butyrate_assembly_2021,10,13,distributed,lambda=0.01,3,0.8282407407407408
butyrate_assembly_2021,10,13,distributed,lambda=0.1,3,0.8282407407407408
butyrate_assembly_2021,10,13,distributed,lambda=1,3,0.8282407407407408
butyrate_assembly_2021,10,13,distributed,lambda=10,3,0.8282407407407408
butyrate_assembly_2021,11,10,restricted,lambda=0.01,3,0.7222222222222222
butyrate_assembly_2021,11,10,restricted,lambda=0.1,3,0.7222222222222222
butyrate_assembly_2021,11,10,restricted,lambda=1,3,0.7222222222222222
butyrate_assembly_2021,11,10,restricted,lambda=10,3,0.7222222222222222
butyrate_assembly_2021,11,10,distributed,lambda=0.01,3,0.8333333333333334
butyrate_assembly_2021,11,10,distributed,lambda=0.1,3,0.75
butyrate_assembly_2021,11,10,distributed,lambda=1,3,0.75
butyrate_assembly_2021,11,10,distributed,lambda=10,3,0.8055555555555555
butyrate_assembly_2021,11,13,restricted,lambda=0.01,3,0.9722222222222222
butyrate_assembly_2021,11,13,restricted,lambda=0.1,3,0.9722222222222222
butyrate_assembly_2021,11,13,restricted,lambda=1,3,0.9722222222222222
butyrate_assembly_2021,11,13,restricted,lambda=10,3,0.7962962962962963
butyrate_assembly_2021,11,13,distributed,lambda=0.01,3,0.861111111111111
butyrate_assembly_2021,11,13,distributed,lambda=0.1,3,0.6944444444444443
butyrate_assembly_2021,11,13,distributed,lambda=1,3,0.6296296296296297
butyrate_assembly_2021,11,13,distributed,lambda=10,3,0.6296296296296297
butyrate_assembly_2021,12,5,restricted,lambda=0.01,2,0.75
butyrate_assembly_2021,12,5,restricted,lambda=0.1,2,0.75
butyrate_assembly_2021,12,5,restricted,lambda=1,2,0.75
butyrate_assembly_2021,12,5,restricted,lambda=10,2,0.75
butyrate_assembly_2021,12,5,distributed,lambda=0.01,2,0.75
butyrate_assembly_2021,12,5,distributed,lambda=0.1,2,0.75
butyrate_assembly_2021,12,5,distributed,lambda=1,2,0.75
butyrate_assembly_2021,12,5,distributed,lambda=10,2,0.75
butyrate_assembly_2021,12,10,restricted,lambda=0.01,3,0.3611111111111111
butyrate_assembly_2021,12,10,restricted,lambda=0.1,3,0.3611111111111111
butyrate_assembly_2021,12,10,restricted,lambda=1,3,0.6388888888888888
butyrate_assembly_2021,12,10,restricted,lambda=10,3,0.6388888888888888
butyrate_assembly_2021,12,10,distributed,lambda=0.01,3,0.8055555555555555
butyrate_assembly_2021,12,10,distributed,lambda=0.1,3,0.8055555555555555
butyrate_assembly_2021,12,10,distributed,lambda=1,3,0.861111111111111
butyrate_assembly_2021,12,10,distributed,lambda=10,3,0.861111111111111
butyrate_assembly_2021,12,13,restricted,lambda=0.01,3,0.8444444444444444
butyrate_assembly_2021,12,13,restricted,lambda=0.1,3,0.9
butyrate_assembly_2021,12,13,restricted,lambda=1,3,0.8166666666666668
butyrate_assembly_2021,12,13,restricted,lambda=10,3,0.8055555555555555
butyrate_assembly_2021,12,13,distributed,lambda=0.01,3,0.8722222222222221
butyrate_assembly_2021,12,13,distributed,lambda=0.1,3,0.8722222222222221
butyrate_assembly_2021,12,13,distributed,lambda=1,3,0.8518518518518517
