analysis_set,budget_fraction,Old random,Taxon coverage,auprc_change
butyrate_assembly_2021,0.2,0.8407773689445517,0.8512307509383747,0.010453381993823063
butyrate_assembly_2021,0.4,0.8972759617725755,0.8735562101762759,-0.023719751596299576
butyrate_assembly_2021,0.6,0.8641075841942716,0.8696124018059971,0.005504817611725499
butyrate_assembly_2021,0.8,0.8670647547935667,0.8670647547935667,0.0
carlstrom_phyllosphere_2019,0.2,0.2526820713577886,0.24233285737992122,-0.010349213977867366
carlstrom_phyllosphere_2019,0.4,0.25951425095421243,0.28448704119078905,0.024972790236576614
carlstrom_phyllosphere_2019,0.6,0.2612357097532704,0.2857905330017399,0.024554823248469526
carlstrom_phyllosphere_2019,0.8,0.2750062989139742,0.2750062989139742,0.0
schafer_phyllosphere_2022,0.2,0.2663778566018723,0.28505578862618536,0.01867793202431306
schafer_phyllosphere_2022,0.4,0.2733738747417632,0.35490719896825734,0.08153332422649412
schafer_phyllosphere_2022,0.6,0.3178635706471703,0.35907626920150065,0.04121269855433035
schafer_phyllosphere_2022,0.8,0.3496624356874411,0.3496624356874411,0.0
