analysis_set,fold,budget_fraction,family,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,2,0.8,logistic,l2_C=0.01,3,0.854927579713847
butyrate_assembly_2021,2,0.8,logistic,l2_C=0.1,3,0.8507624163984279
butyrate_assembly_2021,2,0.8,logistic,l2_C=1,3,0.8503176780711356
butyrate_assembly_2021,2,0.8,logistic,l1_C=0.01,3,0.7350088183421516
butyrate_assembly_2021,2,0.8,logistic,l1_C=0.1,3,0.8068741849873172
butyrate_assembly_2021,2,0.8,logistic,l1_C=1,3,0.8649223639345709
butyrate_assembly_2021,2,0.8,ranking,C=0.01,3,0.852464909327629
butyrate_assembly_2021,2,0.8,ranking,C=0.1,3,0.8472696335946854
butyrate_assembly_2021,2,0.8,ranking,C=1,3,0.8490120875388657
butyrate_assembly_2021,2,0.8,boosting,depth=1_l2=1,3,0.8737525142024257
butyrate_assembly_2021,2,0.8,boosting,depth=2_l2=1,3,0.8274174325062024
butyrate_assembly_2021,3,0.2,logistic,l2_C=0.01,3,0.9137566137566138
butyrate_assembly_2021,3,0.2,logistic,l2_C=0.1,3,0.8813492063492063
butyrate_assembly_2021,3,0.2,logistic,l2_C=1,3,0.8291534391534391
butyrate_assembly_2021,3,0.2,logistic,l1_C=0.01,3,0.8095238095238094
butyrate_assembly_2021,3,0.2,logistic,l1_C=0.1,3,0.8095238095238094
butyrate_assembly_2021,3,0.2,logistic,l1_C=1,3,0.868015873015873
butyrate_assembly_2021,3,0.2,ranking,C=0.01,3,0.8813492063492063
butyrate_assembly_2021,3,0.2,ranking,C=0.1,3,0.8391534391534391
butyrate_assembly_2021,3,0.2,ranking,C=1,3,0.8715608465608465
butyrate_assembly_2021,3,0.2,boosting,depth=1_l2=1,3,0.8323280423280423
butyrate_assembly_2021,3,0.2,boosting,depth=2_l2=1,3,0.8323280423280423
butyrate_assembly_2021,3,0.4,logistic,l2_C=0.01,3,0.857556164374346
butyrate_assembly_2021,3,0.4,logistic,l2_C=0.1,3,0.8859526920890558
