analysis_set,label_budget,repeat,calibration_pairs,test_pairs,calibration_outcomes,test_outcomes,test_positives,test_prevalence,selected_unsupervised,selected_unsupervised_auprc,mean_rank_auprc,supervised_auprc,supervised_minus_selected,supervised_minus_mean_rank,selected_C,balanced_classes,plnnetwork_auprc,poisson_glmnet_auprc,sparcc_auprc
butyrate_assembly_2021,0.2,0,20,84,20,84,61,0.7261904761904762,SparCC,0.8098513971630206,0.7364651359390841,0.7783140574255943,-0.0315373397374262,0.0418489214865102,10.0,False,0.7923704806636584,0.6726087344701884,0.8098513971630206
butyrate_assembly_2021,0.2,1,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7680695288803425,0.7278035360165496,0.7263791538732935,-0.0416903750070489,-0.001424382143256,10.0,True,0.7680695288803425,0.6735921231563076,0.8117855494875084
butyrate_assembly_2021,0.2,2,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7783001839579067,0.7300512369371464,0.7977310010936615,0.0194308171357547,0.0676797641565151,0.001,True,0.7783001839579067,0.6708721972854629,0.8156514674839485
butyrate_assembly_2021,0.2,3,20,84,20,84,61,0.7261904761904762,SparCC,0.7981662967776331,0.7396308250533643,0.7822308014912442,-0.0159354952863888,0.0425999764378799,10.0,True,0.7704961917047235,0.6803961898501013,0.7981662967776331
butyrate_assembly_2021,0.2,4,20,84,20,84,61,0.7261904761904762,SparCC,0.8040571258275006,0.7507166745361442,0.7491122933086682,-0.0549448325188323,-0.0016043812274759,10.0,True,0.7807101747304749,0.6847031928220191,0.8040571258275006
butyrate_assembly_2021,0.2,5,20,84,20,84,61,0.7261904761904762,SparCC,0.8151519082922354,0.7307024938993067,0.7140616545733272,-0.1010902537189082,-0.0166408393259795,1.0,False,0.8033174092968994,0.6626720190773119,0.8151519082922354
butyrate_assembly_2021,0.2,6,20,84,20,84,61,0.7261904761904762,SparCC,0.798487015112008,0.7359880818443191,0.7451244043709168,-0.0533626107410912,0.0091363225265976,10.0,True,0.7871637905144078,0.6692862381366583,0.798487015112008
butyrate_assembly_2021,0.2,7,20,84,20,84,61,0.7261904761904762,SparCC,0.7956999036206597,0.7348216553807356,0.8109664263312766,0.0152665227106169,0.0761447709505409,0.001,False,0.7611117952443345,0.693659769202752,0.7956999036206597
butyrate_assembly_2021,0.2,8,20,84,20,84,61,0.7261904761904762,SparCC,0.8038265624573924,0.7485644958512503,0.7991647998548367,-0.0046617626025556,0.0506003040035863,10.0,True,0.8122587187708613,0.7068914976194711,0.8038265624573924
butyrate_assembly_2021,0.2,9,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7867557304433317,0.7476796693197342,0.80947925600104,0.0227235255577082,0.0617995866813058,0.1,True,0.7867557304433317,0.6876108744317022,0.821198614190486
butyrate_assembly_2021,0.2,10,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.79952600653208,0.7760933278412612,0.6889132421452449,-0.1106127643868351,-0.0871800856960163,0.001,True,0.79952600653208,0.6977077029668076,0.8443107031266287
butyrate_assembly_2021,0.2,11,20,84,20,84,61,0.7261904761904762,SparCC,0.8014361290012033,0.7282511501560471,0.7997421359024601,-0.0016939930987431,0.071490985746413,10.0,True,0.7879166758598345,0.6634785068741169,0.8014361290012033
butyrate_assembly_2021,0.2,12,20,84,20,84,61,0.7261904761904762,SparCC,0.7962373647429726,0.7227150379542897,0.8156621533791477,0.0194247886361751,0.092947115424858,10.0,True,0.7851132595911579,0.6792671670963263,0.7962373647429726
butyrate_assembly_2021,0.2,13,20,84,20,84,61,0.7261904761904762,SparCC,0.7875147198454774,0.7193765553078277,0.781668147256669,-0.0058465725888083,0.0622915919488412,0.001,True,0.7696560787378168,0.668799836354121,0.7875147198454774
butyrate_assembly_2021,0.2,14,20,84,20,84,61,0.7261904761904762,SparCC,0.7995779099680577,0.742062459384689,0.7987679648391851,-0.0008099451288725,0.0567055054544961,0.1,True,0.7731452606977798,0.6943993630686423,0.7995779099680577
butyrate_assembly_2021,0.2,15,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7602349972315343,0.7111992110306173,0.7819887222937603,0.0217537250622259,0.0707895112631429,0.001,True,0.7602349972315343,0.6708306172229751,0.7863208620277475
butyrate_assembly_2021,0.2,16,20,84,20,84,61,0.7261904761904762,SparCC,0.7989220428122781,0.7265669149995306,0.8057409054208973,0.0068188626086191,0.0791739904213666,10.0,True,0.7859096738343021,0.665842631276776,0.7989220428122781
butyrate_assembly_2021,0.2,17,20,84,20,84,61,0.7261904761904762,SparCC,0.797535018810969,0.7263649490743498,0.8018531408865073,0.0043181220755382,0.0754881918121574,0.001,True,0.763334491775764,0.6820042200232997,0.797535018810969
butyrate_assembly_2021,0.2,18,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7688575349605863,0.7297777199703623,0.7333975621659896,-0.0354599727945966,0.0036198421956272,10.0,True,0.7688575349605863,0.6668152557326856,0.8187196468357656
butyrate_assembly_2021,0.2,19,20,84,20,84,61,0.7261904761904762,SparCC,0.8036907707404495,0.7191476335416878,0.8155644308773886,0.0118736601369391,0.0964167973357008,0.1,True,0.7774626551206698,0.6788412955339591,0.8036907707404495
butyrate_assembly_2021,0.2,20,20,84,20,84,61,0.7261904761904762,SparCC,0.8037399276992139,0.7333858509999844,0.8221360608900834,0.0183961331908695,0.0887502098900989,0.001,True,0.7666823175629226,0.6816238518210431,0.8037399276992139
butyrate_assembly_2021,0.2,21,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7776997787372432,0.7355303362939889,0.8084578590162934,0.0307580802790502,0.0729275227223045,0.001,True,0.7776997787372432,0.666310136964228,0.8188349690349135
butyrate_assembly_2021,0.2,22,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7765047805356089,0.718781578697634,0.702248844628719,-0.0742559359068899,-0.016532734068915,10.0,True,0.7765047805356089,0.6578110818771096,0.8232645638780842
butyrate_assembly_2021,0.2,23,20,84,20,84,61,0.7261904761904762,SparCC,0.810874894984442,0.7465291596105534,0.6937554105677453,-0.1171194844166967,-0.0527737490428081,0.001,False,0.7966987668578664,0.6693555668375838,0.810874894984442
butyrate_assembly_2021,0.2,24,20,84,20,84,61,0.7261904761904762,Poisson GLMNet,0.6537174849852915,0.7266512170285339,0.6548317765438806,0.0011142915585891,-0.0718194404846532,1.0,True,0.7845174613518983,0.6537174849852915,0.8210289799962347
butyrate_assembly_2021,0.2,25,20,84,20,84,61,0.7261904761904762,Poisson GLMNet,0.6505595535563796,0.7422550494427078,0.6643508845152589,0.0137913309588793,-0.0779041649274489,1.0,True,0.796288859827261,0.6505595535563796,0.823052907435864
butyrate_assembly_2021,0.2,26,20,84,20,84,61,0.7261904761904762,SparCC,0.7801845366045908,0.7149108520834371,0.7838196409710119,0.0036351043664211,0.0689087888875747,0.001,True,0.7742136038807115,0.6759114004967898,0.7801845366045908
butyrate_assembly_2021,0.2,27,20,84,20,84,61,0.7261904761904762,SparCC,0.7943204698526115,0.7327467579286435,0.8054848541492632,0.0111643842966516,0.0727380962206196,0.001,True,0.7723650972351491,0.6859364903280492,0.7943204698526115
butyrate_assembly_2021,0.2,28,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.768851309875296,0.7402933279659565,0.8165332356099897,0.0476819257346936,0.0762399076440332,10.0,True,0.768851309875296,0.672461707819815,0.805240775342598
butyrate_assembly_2021,0.2,29,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7848976602207597,0.7557987008382017,0.8079503403075263,0.0230526800867666,0.0521516394693246,0.001,True,0.7848976602207597,0.6952922380317113,0.8191853751301671
butyrate_assembly_2021,0.2,30,20,84,20,84,61,0.7261904761904762,SparCC,0.7932484011966215,0.7292620719354267,0.8136502547935827,0.0204018535969611,0.0843881828581559,0.001,True,0.7641762375232419,0.6990223017355272,0.7932484011966215
butyrate_assembly_2021,0.2,31,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7773172009270761,0.7409744786676349,0.8083889056204985,0.0310717046934223,0.0674144269528636,0.001,True,0.7773172009270761,0.6719416873825613,0.8132678554415931
butyrate_assembly_2021,0.2,32,20,84,20,84,61,0.7261904761904762,SparCC,0.8197786134794185,0.7550484525439732,0.7034786766201369,-0.1162999368592816,-0.0515697759238363,0.1,True,0.7884489320042655,0.6802954469994871,0.8197786134794185
butyrate_assembly_2021,0.2,33,20,84,20,84,61,0.7261904761904762,SparCC,0.8081344594341221,0.7386645899006941,0.7873079934123224,-0.0208264660217997,0.0486434035116283,10.0,True,0.7852189266149259,0.6740918405099998,0.8081344594341221
butyrate_assembly_2021,0.2,34,20,84,20,84,61,0.7261904761904762,SparCC,0.8347403745096029,0.7640189918120883,0.7773470363187697,-0.0573933381908332,0.0133280445066813,1.0,True,0.8002839310806599,0.6911333949580661,0.8347403745096029
butyrate_assembly_2021,0.2,35,20,84,20,84,61,0.7261904761904762,SparCC,0.7959840115095556,0.7437758775463733,0.8025483880545631,0.0065643765450075,0.0587725105081897,10.0,True,0.7671170435383777,0.6791743113092789,0.7959840115095556
butyrate_assembly_2021,0.2,36,20,84,20,84,61,0.7261904761904762,Poisson GLMNet,0.6698285585912882,0.7633221630268623,0.7631721191421089,0.0933435605508207,-0.0001500438847533,10.0,True,0.7974827813232775,0.6698285585912882,0.8372464717692354
butyrate_assembly_2021,0.2,37,20,84,20,84,61,0.7261904761904762,SparCC,0.8036633641896515,0.7425295248705892,0.8087102310538166,0.0050468668641651,0.0661807061832273,0.001,True,0.7829344182041484,0.6982882811907576,0.8036633641896515
butyrate_assembly_2021,0.2,38,20,84,20,84,61,0.7261904761904762,SparCC,0.8361016300827204,0.7672145374878094,0.7212321988678011,-0.1148694312149193,-0.0459823386200083,10.0,True,0.7910004754243576,0.6797468076585835,0.8361016300827204
butyrate_assembly_2021,0.2,39,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7627932627628529,0.7473428803344008,0.7947262893873684,0.0319330266245155,0.0473834090529676,0.001,True,0.7627932627628529,0.6903855746978098,0.8180772498156753
butyrate_assembly_2021,0.2,40,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7820632246347142,0.7543925986092366,0.804111734678249,0.0220485100435348,0.0497191360690124,0.01,True,0.7820632246347142,0.6943489426578118,0.8352584104802345
butyrate_assembly_2021,0.2,41,20,84,20,84,61,0.7261904761904762,SparCC,0.7952342182856189,0.744692537908957,0.8140092149858669,0.0187749967002479,0.0693166770769099,0.001,True,0.8146686902036033,0.7116171796255866,0.7952342182856189
butyrate_assembly_2021,0.2,42,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7799649464360232,0.7589629000031204,0.7966475491607995,0.0166826027247762,0.0376846491576791,10.0,True,0.7799649464360232,0.7001408764686077,0.8210956654333463
butyrate_assembly_2021,0.2,43,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.788813364039892,0.7721466679641924,0.7298442879192679,-0.058969076120624,-0.0423023800449244,0.001,False,0.788813364039892,0.6744819721006386,0.8465471221979275
butyrate_assembly_2021,0.2,44,20,84,20,84,61,0.7261904761904762,SparCC,0.7960904273109213,0.7362404192613362,0.8085480119377133,0.012457584626792,0.0723075926763771,1.0,True,0.7890488160502372,0.6770412812905355,0.7960904273109213
butyrate_assembly_2021,0.2,45,20,84,20,84,61,0.7261904761904762,SparCC,0.8009729989378936,0.7271389829639534,0.8087844578037908,0.0078114588658971,0.0816454748398374,0.001,False,0.7923117571732681,0.6659744519991849,0.8009729989378936
butyrate_assembly_2021,0.2,46,20,84,20,84,61,0.7261904761904762,SparCC,0.8072123554421519,0.7487719716436156,0.8091468325844102,0.0019344771422583,0.0603748609407945,0.001,True,0.7821172178827331,0.6996095570061684,0.8072123554421519
butyrate_assembly_2021,0.2,47,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7745356961637653,0.7371925139437084,0.8273153426379516,0.0527796464741863,0.0901228286942431,0.001,True,0.7745356961637653,0.6855855653240667,0.8098153674834156
butyrate_assembly_2021,0.2,48,20,84,20,84,61,0.7261904761904762,SparCC,0.8190360462508959,0.7391962345745984,0.6737427926938798,-0.145293253557016,-0.0654534418807185,0.001,True,0.802445592304127,0.6575249870369418,0.8190360462508959
butyrate_assembly_2021,0.2,49,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.7820774758949072,0.797295988832262,0.7622954509902906,-0.0197820249046165,-0.0350005378419714,0.001,True,0.7820774758949072,0.708512942402513,0.8534128534497105
butyrate_assembly_2021,0.2,50,20,84,20,84,61,0.7261904761904762,PLNNetwork,0.8236967521682025,0.7919950126508517,0.6843628489576246,-0.1393339032105779,-0.1076321636932271,0.001,True,0.8236967521682025,0.6980009057129242,0.8415408860681022
