method,tested_pairs,positive_pairs,neutral_pairs,selected_C,training_macro_ap_lift,average_precision,auroc,threshold,selected_edges,precision,recall,f1,density_matched_edges,density_matched_true_positives,density_matched_precision,density_matched_recall,density_matched_f1,intercept,coefficient_pln_score_percentile,coefficient_glmnet_score_percentile,coefficient_sparcc_score_percentile
system_weighted,989,123,866,1.0,1.0518346706102863,0.1176254952735002,0.4539232805722977,0.5,989,0.1243680485338726,1.0,0.22122302158273383,123,13,0.10569105691056911,0.10569105691056911,0.10569105691056913,2.133313486926966,0.2349699680033499,0.009793862172778512,0.39838138688530145
system_and_class_balanced,989,123,866,3.0,1.0599212909936744,0.11044807976436037,0.45251506787585194,0.5,850,0.1223529411764706,0.8455284552845529,0.2137718396711203,123,13,0.10569105691056911,0.10569105691056911,0.10569105691056913,0.668997266881309,0.2852115399909338,-0.006781382275506136,0.5455555004772085
system_and_class_balanced_no_intercept,989,123,866,3.0,1.0576704702815585,0.11740722396575028,0.4529563078540716,0.5,509,0.11198428290766209,0.4634146341463415,0.18037974683544303,123,13,0.10569105691056911,0.10569105691056911,0.10569105691056913,0.0,0.20901576051494597,-0.00016049167514965796,0.41739014444419
system_and_class_balanced_excluding_single_class,989,123,866,10.0,1.058245185481725,0.10915101909983382,0.45062806286261475,0.5,643,0.1166407465007776,0.6097560975609756,0.195822454308094,123,13,0.10569105691056911,0.10569105691056911,0.10569105691056913,0.23948369350079368,0.27751171312285855,-0.025901778744984377,0.49127092084414126
