method,n,pred_negative,pred_neutral,pred_positive,accuracy,balanced_accuracy,macro_f1,negative_f1,neutral_f1,positive_f1
glmnet,2516,54,2431,31,0.6236089030206677,0.3547548704560816,0.3033615180040926,0.11780104712041885,0.7651648628240624,0.02711864406779661
pln,2516,48,2362,106,0.6116852146263911,0.3489092160161377,0.29782668714824084,0.08179419525065963,0.7684426229508197,0.043243243243243246
spring,2516,13,2409,94,0.6037360890302067,0.3479575997825573,0.2890488183845922,0.008298755186721992,0.7582890407491775,0.1005586592178771
spieceasi,2516,17,2458,41,0.609697933227345,0.3414955163516571,0.2763217354048752,0.016506189821182942,0.76,0.05245901639344262
sparcc,2516,26,2383,107,0.5973767885532592,0.3334612912707942,0.27167269857525783,0.024456521739130436,0.7582165605095541,0.03234501347708895
