held_out,candidate,average_precision
carlstrom_phyllosphere_2019,logistic_score3_C0.01_balancedFalse,0.14391230365348398
carlstrom_phyllosphere_2019,logistic_score3_C0.01_balancedTrue,0.1189506759839129
carlstrom_phyllosphere_2019,logistic_score3_C0.1_balancedFalse,0.14431527519217424
carlstrom_phyllosphere_2019,logistic_score3_C0.1_balancedTrue,0.11812665490685385
carlstrom_phyllosphere_2019,logistic_score3_C1.0_balancedFalse,0.1443493857171711
carlstrom_phyllosphere_2019,logistic_score3_C1.0_balancedTrue,0.11798333775759891
carlstrom_phyllosphere_2019,logistic_score3_C10.0_balancedFalse,0.14436121839978308
carlstrom_phyllosphere_2019,logistic_score3_C10.0_balancedTrue,0.11797353475225231
carlstrom_phyllosphere_2019,logistic_score5_C0.001_balancedFalse,0.14960756540143882
carlstrom_phyllosphere_2019,logistic_score5_C0.001_balancedTrue,0.12388409525882453
carlstrom_phyllosphere_2019,logistic_score5_C0.01_balancedFalse,0.15021068361109963
carlstrom_phyllosphere_2019,logistic_score5_C0.01_balancedTrue,0.11514003594431238
carlstrom_phyllosphere_2019,logistic_score5_C0.1_balancedFalse,0.15063082566036745
carlstrom_phyllosphere_2019,logistic_score5_C0.1_balancedTrue,0.11427620326771572
carlstrom_phyllosphere_2019,logistic_score5_C1.0_balancedFalse,0.15081418851134024
carlstrom_phyllosphere_2019,logistic_score5_C1.0_balancedTrue,0.11398105584742223
carlstrom_phyllosphere_2019,logistic_score5_C10.0_balancedFalse,0.15082481572635742
carlstrom_phyllosphere_2019,logistic_score5_C10.0_balancedTrue,0.11397670520679017
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.001_balancedFalse,0.14298662005283852
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.001_balancedTrue,0.13398206878045
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.01_balancedFalse,0.13316666552320866
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.01_balancedTrue,0.1354916182700524
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.1_balancedFalse,0.11818379558137229
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.1_balancedTrue,0.14106490135936753
carlstrom_phyllosphere_2019,logistic_score3_obs_C1.0_balancedFalse,0.1085974685487805
carlstrom_phyllosphere_2019,logistic_score3_obs_C1.0_balancedTrue,0.13769342046165683
carlstrom_phyllosphere_2019,logistic_score3_obs_C10.0_balancedFalse,0.09551674560669846
carlstrom_phyllosphere_2019,logistic_score3_obs_C10.0_balancedTrue,0.1328566244034934
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.001_balancedFalse,0.14069620936944327
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.001_balancedTrue,0.134374992635377
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.01_balancedFalse,0.13282544113353023
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.01_balancedTrue,0.12764762348897915
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.1_balancedFalse,0.11845482734518353
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.1_balancedTrue,0.1319635271310072
carlstrom_phyllosphere_2019,logistic_score5_obs_C1.0_balancedFalse,0.10883764277498721
carlstrom_phyllosphere_2019,logistic_score5_obs_C1.0_balancedTrue,0.12658511350995233
carlstrom_phyllosphere_2019,logistic_score5_obs_C10.0_balancedFalse,0.0961720283016487
carlstrom_phyllosphere_2019,logistic_score5_obs_C10.0_balancedTrue,0.12125807228017471
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.001_balancedFalse,0.13820960305692026
