method,negative_ap,neutral_ap,positive_ap,macro_ap
signed_LENS,0.016500193349027997,0.9436911298681373,0.18867392773372527,0.38295508365029685
pln,0.01820020222446916,0.8756319514661274,0.10616784630940344,0.3333333333333333
glmnet,0.016655016300759332,0.880271622276234,0.11389670377135748,0.33694111411611694
sparcc,0.017806398920923464,0.862479423150309,0.11299556788958805,0.3310937966536069
