analysis_set,design,taxon_fraction,repeat,calibration_pairs,test_pairs,test_positives,method,auprc,auroc
butyrate_assembly_2021,distributed_pairs,0.2,9,6,98,70,Mean rank,0.7242722235000727,0.5448979591836735
butyrate_assembly_2021,distributed_pairs,0.2,9,6,98,70,SPIEC-EASI,0.7183673469387755,0.5071428571428571
butyrate_assembly_2021,taxon_panel,0.2,10,6,52,31,PLNNetwork,0.7214214950305774,0.6052227342549923
butyrate_assembly_2021,taxon_panel,0.2,10,6,52,31,Poisson GLMNet,0.5514908506829628,0.4377880184331797
butyrate_assembly_2021,taxon_panel,0.2,10,6,52,31,SparCC,0.6863477686942552,0.5391705069124424
butyrate_assembly_2021,taxon_panel,0.2,10,6,52,31,Mean rank,0.6103989942564523,0.5483870967741935
butyrate_assembly_2021,taxon_panel,0.2,10,6,52,31,SPIEC-EASI,0.5961538461538461,0.5
butyrate_assembly_2021,distributed_pairs,0.2,10,6,98,71,PLNNetwork,0.8032775951523252,0.5905059989567032
butyrate_assembly_2021,distributed_pairs,0.2,10,6,98,71,Poisson GLMNet,0.6915023543273693,0.4514866979655712
butyrate_assembly_2021,distributed_pairs,0.2,10,6,98,71,SparCC,0.8033413847763018,0.5837245696400627
butyrate_assembly_2021,distributed_pairs,0.2,10,6,98,71,Mean rank,0.7490458570322559,0.5657276995305164
butyrate_assembly_2021,distributed_pairs,0.2,10,6,98,71,SPIEC-EASI,0.7283702213279678,0.5070422535211268
butyrate_assembly_2021,taxon_panel,0.2,11,7,51,34,PLNNetwork,0.7255005254599778,0.5657439446366783
butyrate_assembly_2021,taxon_panel,0.2,11,7,51,34,Poisson GLMNet,0.5863871790872083,0.34169550173010377
butyrate_assembly_2021,taxon_panel,0.2,11,7,51,34,SparCC,0.7273634236886677,0.560553633217993
butyrate_assembly_2021,taxon_panel,0.2,11,7,51,34,Mean rank,0.6612250172051389,0.47577854671280284
butyrate_assembly_2021,taxon_panel,0.2,11,7,51,34,SPIEC-EASI,0.676470588235294,0.5147058823529411
butyrate_assembly_2021,distributed_pairs,0.2,11,7,97,69,PLNNetwork,0.7735325386196779,0.577639751552795
butyrate_assembly_2021,distributed_pairs,0.2,11,7,97,69,Poisson GLMNet,0.659137551692081,0.41821946169772256
butyrate_assembly_2021,distributed_pairs,0.2,11,7,97,69,SparCC,0.7971114876231881,0.5916149068322981
butyrate_assembly_2021,distributed_pairs,0.2,11,7,97,69,Mean rank,0.7255548117567364,0.5460662525879917
butyrate_assembly_2021,distributed_pairs,0.2,11,7,97,69,SPIEC-EASI,0.71552368145824,0.5072463768115942
butyrate_assembly_2021,taxon_panel,0.2,13,3,67,46,PLNNetwork,0.7381349088374394,0.5289855072463768
butyrate_assembly_2021,taxon_panel,0.2,13,3,67,46,Poisson GLMNet,0.6859866397419573,0.46376811594202905
butyrate_assembly_2021,taxon_panel,0.2,13,3,67,46,SparCC,0.7702345342348407,0.5900621118012422
butyrate_assembly_2021,taxon_panel,0.2,13,3,67,46,Mean rank,0.7155704673790856,0.5512422360248447
butyrate_assembly_2021,taxon_panel,0.2,13,3,67,46,SPIEC-EASI,0.6865671641791045,0.5
butyrate_assembly_2021,distributed_pairs,0.2,13,3,101,73,PLNNetwork,0.7845254762728087,0.576320939334638
butyrate_assembly_2021,distributed_pairs,0.2,13,3,101,73,Poisson GLMNet,0.6706118010330795,0.42270058708414876
butyrate_assembly_2021,distributed_pairs,0.2,13,3,101,73,SparCC,0.8110420696598835,0.5988258317025439
butyrate_assembly_2021,distributed_pairs,0.2,13,3,101,73,Mean rank,0.7374694374055375,0.550880626223092
butyrate_assembly_2021,distributed_pairs,0.2,13,3,101,73,SPIEC-EASI,0.7265699172656992,0.5068493150684932
butyrate_assembly_2021,taxon_panel,0.2,14,3,69,48,PLNNetwork,0.7236501286463528,0.5287698412698413
butyrate_assembly_2021,taxon_panel,0.2,14,3,69,48,Poisson GLMNet,0.694623260605968,0.5535714285714286
butyrate_assembly_2021,taxon_panel,0.2,14,3,69,48,SparCC,0.7977313956688997,0.6021825396825398
butyrate_assembly_2021,taxon_panel,0.2,14,3,69,48,Mean rank,0.7454236743210829,0.5798611111111112
butyrate_assembly_2021,taxon_panel,0.2,14,3,69,48,SPIEC-EASI,0.6956521739130435,0.5
butyrate_assembly_2021,distributed_pairs,0.2,14,3,101,73,PLNNetwork,0.7828365442240364,0.5733855185909981
butyrate_assembly_2021,distributed_pairs,0.2,14,3,101,73,Poisson GLMNet,0.6680431670310909,0.4197651663405088
butyrate_assembly_2021,distributed_pairs,0.2,14,3,101,73,SparCC,0.8089366232192601,0.5939334637964776
butyrate_assembly_2021,distributed_pairs,0.2,14,3,101,73,Mean rank,0.7353082378357301,0.5445205479452055
butyrate_assembly_2021,distributed_pairs,0.2,14,3,101,73,SPIEC-EASI,0.7265699172656992,0.5068493150684932
butyrate_assembly_2021,taxon_panel,0.2,15,4,67,50,PLNNetwork,0.7965795612825104,0.571764705882353
butyrate_assembly_2021,taxon_panel,0.2,15,4,67,50,Poisson GLMNet,0.6735094050281368,0.3905882352941177
butyrate_assembly_2021,taxon_panel,0.2,15,4,67,50,SparCC,0.8301633739877252,0.5835294117647059
butyrate_assembly_2021,taxon_panel,0.2,15,4,67,50,Mean rank,0.7614869366692903,0.5052941176470588
butyrate_assembly_2021,taxon_panel,0.2,15,4,67,50,SPIEC-EASI,0.7513432835820896,0.51
butyrate_assembly_2021,distributed_pairs,0.2,15,4,100,73,PLNNetwork,0.7833795321900436,0.5641806189751395
butyrate_assembly_2021,distributed_pairs,0.2,15,4,100,73,Poisson GLMNet,0.6732035096396849,0.41374936580416033
butyrate_assembly_2021,distributed_pairs,0.2,15,4,100,73,SparCC,0.8046556870763077,0.5758498224251648
butyrate_assembly_2021,distributed_pairs,0.2,15,4,100,73,Mean rank,0.7344029010951763,0.5268899036022323
butyrate_assembly_2021,distributed_pairs,0.2,15,4,100,73,SPIEC-EASI,0.7336986301369863,0.5068493150684932
butyrate_assembly_2021,taxon_panel,0.2,16,3,66,46,PLNNetwork,0.7432312295909264,0.5385869565217392
butyrate_assembly_2021,taxon_panel,0.2,16,3,66,46,Poisson GLMNet,0.6276023979183768,0.37554347826086953
butyrate_assembly_2021,taxon_panel,0.2,16,3,66,46,SparCC,0.7835376927559466,0.5934782608695652
butyrate_assembly_2021,taxon_panel,0.2,16,3,66,46,Mean rank,0.6830565880275582,0.49728260869565216
butyrate_assembly_2021,taxon_panel,0.2,16,3,66,46,SPIEC-EASI,0.7035573122529645,0.5108695652173914
butyrate_assembly_2021,distributed_pairs,0.2,16,3,101,74,PLNNetwork,0.7939945193266903,0.582082082082082
butyrate_assembly_2021,distributed_pairs,0.2,16,3,101,74,Poisson GLMNet,0.6865213363053194,0.4416916916916917
butyrate_assembly_2021,distributed_pairs,0.2,16,3,101,74,SparCC,0.8153955627127546,0.5935935935935936
butyrate_assembly_2021,distributed_pairs,0.2,16,3,101,74,Mean rank,0.7495653765928414,0.5595595595595596
butyrate_assembly_2021,distributed_pairs,0.2,16,3,101,74,SPIEC-EASI,0.7362857907412362,0.5067567567567568
butyrate_assembly_2021,taxon_panel,0.2,17,7,50,45,PLNNetwork,0.8804297796878711,0.40444444444444444
butyrate_assembly_2021,taxon_panel,0.2,17,7,50,45,Poisson GLMNet,0.894388483842099,0.5688888888888888
butyrate_assembly_2021,taxon_panel,0.2,17,7,50,45,SparCC,0.9567289507523788,0.6533333333333333
butyrate_assembly_2021,taxon_panel,0.2,17,7,50,45,Mean rank,0.9183510291717655,0.5711111111111111
butyrate_assembly_2021,taxon_panel,0.2,17,7,50,45,SPIEC-EASI,0.9022222222222223,0.5111111111111111
butyrate_assembly_2021,distributed_pairs,0.2,17,7,97,71,PLNNetwork,0.8094791952558499,0.5864030335861322
butyrate_assembly_2021,distributed_pairs,0.2,17,7,97,71,Poisson GLMNet,0.6984610336956111,0.442578548212351
butyrate_assembly_2021,distributed_pairs,0.2,17,7,97,71,SparCC,0.8083752885051168,0.576923076923077
butyrate_assembly_2021,distributed_pairs,0.2,17,7,97,71,Mean rank,0.7523557477464683,0.5582340195016251
butyrate_assembly_2021,distributed_pairs,0.2,17,7,97,71,SPIEC-EASI,0.735733991578336,0.5070422535211268
butyrate_assembly_2021,taxon_panel,0.2,20,5,50,27,PLNNetwork,0.6191877507530782,0.5813204508856683
butyrate_assembly_2021,taxon_panel,0.2,20,5,50,27,Poisson GLMNet,0.4714762635092724,0.30917874396135264
butyrate_assembly_2021,taxon_panel,0.2,20,5,50,27,SparCC,0.643855865891539,0.5491143317230274
butyrate_assembly_2021,taxon_panel,0.2,20,5,50,27,Mean rank,0.541700443808183,0.500805152979066
butyrate_assembly_2021,taxon_panel,0.2,20,5,50,27,SPIEC-EASI,0.557037037037037,0.5185185185185185
butyrate_assembly_2021,distributed_pairs,0.2,20,5,99,72,PLNNetwork,0.7840089600532569,0.5725308641975309
butyrate_assembly_2021,distributed_pairs,0.2,20,5,99,72,Poisson GLMNet,0.6706866067738665,0.41872427983539096
butyrate_assembly_2021,distributed_pairs,0.2,20,5,99,72,SparCC,0.8139811084558536,0.5951646090534979
butyrate_assembly_2021,distributed_pairs,0.2,20,5,99,72,Mean rank,0.7390881635107214,0.5473251028806585
butyrate_assembly_2021,distributed_pairs,0.2,20,5,99,72,SPIEC-EASI,0.7310606060606061,0.5069444444444444
butyrate_assembly_2021,taxon_panel,0.2,22,4,66,55,PLNNetwork,0.8627386859537408,0.5322314049586777
butyrate_assembly_2021,taxon_panel,0.2,22,4,66,55,Poisson GLMNet,0.8257318071357471,0.5165289256198347
butyrate_assembly_2021,taxon_panel,0.2,22,4,66,55,SparCC,0.9133776678637444,0.6578512396694214
butyrate_assembly_2021,taxon_panel,0.2,22,4,66,55,Mean rank,0.8551045977248191,0.5884297520661157
butyrate_assembly_2021,taxon_panel,0.2,22,4,66,55,SPIEC-EASI,0.8363636363636364,0.509090909090909
butyrate_assembly_2021,distributed_pairs,0.2,22,4,100,72,PLNNetwork,0.7792109802552771,0.5823412698412699
butyrate_assembly_2021,distributed_pairs,0.2,22,4,100,72,Poisson GLMNet,0.660916408471863,0.4176587301587301
butyrate_assembly_2021,distributed_pairs,0.2,22,4,100,72,SparCC,0.8079973323948617,0.5952380952380952
butyrate_assembly_2021,distributed_pairs,0.2,22,4,100,72,Mean rank,0.7340177771884483,0.5481150793650793
butyrate_assembly_2021,distributed_pairs,0.2,22,4,100,72,SPIEC-EASI,0.7238888888888888,0.5069444444444444
butyrate_assembly_2021,taxon_panel,0.2,24,4,66,55,PLNNetwork,0.864955588249533,0.5504132231404959
butyrate_assembly_2021,taxon_panel,0.2,24,4,66,55,Poisson GLMNet,0.8366474120376551,0.5330578512396694
butyrate_assembly_2021,taxon_panel,0.2,24,4,66,55,SparCC,0.9208006209329982,0.6479338842975206
butyrate_assembly_2021,taxon_panel,0.2,24,4,66,55,Mean rank,0.8810601072126305,0.6140495867768595
butyrate_assembly_2021,taxon_panel,0.2,24,4,66,55,SPIEC-EASI,0.8363636363636364,0.509090909090909
butyrate_assembly_2021,distributed_pairs,0.2,24,4,100,73,PLNNetwork,0.7806738572196559,0.5657026889903602
butyrate_assembly_2021,distributed_pairs,0.2,24,4,100,73,Poisson GLMNet,0.6712583169866001,0.41501775748351094
butyrate_assembly_2021,distributed_pairs,0.2,24,4,100,73,SparCC,0.8059477759525624,0.5763571790969051
butyrate_assembly_2021,distributed_pairs,0.2,24,4,100,73,Mean rank,0.7241308062470254,0.5312024353120244
butyrate_assembly_2021,distributed_pairs,0.2,24,4,100,73,SPIEC-EASI,0.7336986301369863,0.5068493150684932
butyrate_assembly_2021,taxon_panel,0.2,25,7,50,42,PLNNetwork,0.8154953956319714,0.4107142857142857
butyrate_assembly_2021,taxon_panel,0.2,25,7,50,42,Poisson GLMNet,0.8061426703414023,0.4017857142857143
butyrate_assembly_2021,taxon_panel,0.2,25,7,50,42,SparCC,0.8838722800645857,0.5654761904761905
butyrate_assembly_2021,taxon_panel,0.2,25,7,50,42,Mean rank,0.8217047728441601,0.45684523809523814
butyrate_assembly_2021,taxon_panel,0.2,25,7,50,42,SPIEC-EASI,0.8438095238095238,0.5119047619047619
butyrate_assembly_2021,distributed_pairs,0.2,25,7,97,69,PLNNetwork,0.7661653621716922,0.5652173913043479
butyrate_assembly_2021,distributed_pairs,0.2,25,7,97,69,Poisson GLMNet,0.6574513188078926,0.41459627329192544
butyrate_assembly_2021,distributed_pairs,0.2,25,7,97,69,SparCC,0.7943209301200893,0.584368530020704
butyrate_assembly_2021,distributed_pairs,0.2,25,7,97,69,Mean rank,0.7206746478052916,0.5393374741200828
butyrate_assembly_2021,distributed_pairs,0.2,25,7,97,69,SPIEC-EASI,0.71552368145824,0.5072463768115942
butyrate_assembly_2021,taxon_panel,0.2,26,3,70,47,PLNNetwork,0.7220915133420083,0.5587419056429233
butyrate_assembly_2021,taxon_panel,0.2,26,3,70,47,Poisson GLMNet,0.6013009142672435,0.39222941720629045
butyrate_assembly_2021,taxon_panel,0.2,26,3,70,47,SparCC,0.7615936981079968,0.5837187789084182
butyrate_assembly_2021,taxon_panel,0.2,26,3,70,47,Mean rank,0.6741365773273592,0.5328399629972248
butyrate_assembly_2021,taxon_panel,0.2,26,3,70,47,SPIEC-EASI,0.6784194528875379,0.5106382978723404
butyrate_assembly_2021,distributed_pairs,0.2,26,3,101,75,PLNNetwork,0.7904307480870392,0.5633333333333334
butyrate_assembly_2021,distributed_pairs,0.2,26,3,101,75,Poisson GLMNet,0.6829588743894726,0.4046153846153846
butyrate_assembly_2021,distributed_pairs,0.2,26,3,101,75,SparCC,0.8234474845815426,0.598974358974359
butyrate_assembly_2021,distributed_pairs,0.2,26,3,101,75,Mean rank,0.7467869401700613,0.536923076923077
butyrate_assembly_2021,distributed_pairs,0.2,26,3,101,75,SPIEC-EASI,0.746006600660066,0.5066666666666667
butyrate_assembly_2021,taxon_panel,0.2,28,6,51,42,PLNNetwork,0.8288992544290014,0.4814814814814815
butyrate_assembly_2021,taxon_panel,0.2,28,6,51,42,Poisson GLMNet,0.8668690592856678,0.6878306878306879
butyrate_assembly_2021,taxon_panel,0.2,28,6,51,42,SparCC,0.897155061693054,0.6428571428571429
butyrate_assembly_2021,taxon_panel,0.2,28,6,51,42,Mean rank,0.8551012189579213,0.6283068783068784
butyrate_assembly_2021,taxon_panel,0.2,28,6,51,42,SPIEC-EASI,0.8235294117647058,0.5
butyrate_assembly_2021,distributed_pairs,0.2,28,6,98,71,PLNNetwork,0.7971835975818038,0.605112154407929
butyrate_assembly_2021,distributed_pairs,0.2,28,6,98,71,Poisson GLMNet,0.673957134565273,0.4261867501304121
butyrate_assembly_2021,distributed_pairs,0.2,28,6,98,71,SparCC,0.8168768644070459,0.6092853416797079
butyrate_assembly_2021,distributed_pairs,0.2,28,6,98,71,Mean rank,0.7470241954271268,0.5696400625978091
butyrate_assembly_2021,distributed_pairs,0.2,28,6,98,71,SPIEC-EASI,0.7283702213279678,0.5070422535211268
butyrate_assembly_2021,taxon_panel,0.2,29,4,66,44,PLNNetwork,0.7834116381179326,0.6456611570247934
butyrate_assembly_2021,taxon_panel,0.2,29,4,66,44,Poisson GLMNet,0.5902328897390452,0.3646694214876033
butyrate_assembly_2021,taxon_panel,0.2,29,4,66,44,SparCC,0.7758515572315443,0.5981404958677685
butyrate_assembly_2021,taxon_panel,0.2,29,4,66,44,Mean rank,0.694838624055604,0.5619834710743802
butyrate_assembly_2021,taxon_panel,0.2,29,4,66,44,SPIEC-EASI,0.6742424242424242,0.5113636363636364
butyrate_assembly_2021,distributed_pairs,0.2,29,4,100,73,PLNNetwork,0.7834195103015404,0.5611364789446982
butyrate_assembly_2021,distributed_pairs,0.2,29,4,100,73,Poisson GLMNet,0.6745446093186757,0.4193302891933029
butyrate_assembly_2021,distributed_pairs,0.2,29,4,100,73,SparCC,0.8069266383424687,0.5778792491121258
butyrate_assembly_2021,distributed_pairs,0.2,29,4,100,73,Mean rank,0.7367819471711263,0.5306950786402841
butyrate_assembly_2021,distributed_pairs,0.2,29,4,100,73,SPIEC-EASI,0.7336986301369863,0.5068493150684932
butyrate_assembly_2021,taxon_panel,0.2,31,4,65,45,PLNNetwork,0.8076592875667572,0.6477777777777778
butyrate_assembly_2021,taxon_panel,0.2,31,4,65,45,Poisson GLMNet,0.6509172533169294,0.39444444444444443
butyrate_assembly_2021,taxon_panel,0.2,31,4,65,45,SparCC,0.8211979934752133,0.63
butyrate_assembly_2021,taxon_panel,0.2,31,4,65,45,Mean rank,0.7602452606622078,0.5955555555555555
butyrate_assembly_2021,taxon_panel,0.2,31,4,65,45,SPIEC-EASI,0.6923076923076923,0.5
butyrate_assembly_2021,distributed_pairs,0.2,31,4,100,72,PLNNetwork,0.7844517001358384,0.5813492063492064
butyrate_assembly_2021,distributed_pairs,0.2,31,4,100,72,Poisson GLMNet,0.6572077586045681,0.40500992063492064
butyrate_assembly_2021,distributed_pairs,0.2,31,4,100,72,SparCC,0.807238572019799,0.5927579365079365
butyrate_assembly_2021,distributed_pairs,0.2,31,4,100,72,Mean rank,0.7295927934212029,0.5416666666666666
butyrate_assembly_2021,distributed_pairs,0.2,31,4,100,72,SPIEC-EASI,0.7238888888888888,0.5069444444444444
butyrate_assembly_2021,taxon_panel,0.2,33,3,70,50,PLNNetwork,0.7875149396481946,0.5910000000000001
butyrate_assembly_2021,taxon_panel,0.2,33,3,70,50,Poisson GLMNet,0.6920411438180393,0.45399999999999996
butyrate_assembly_2021,taxon_panel,0.2,33,3,70,50,SparCC,0.8166008596832632,0.624
butyrate_assembly_2021,taxon_panel,0.2,33,3,70,50,Mean rank,0.7723919032786828,0.5900000000000001
butyrate_assembly_2021,taxon_panel,0.2,33,3,70,50,SPIEC-EASI,0.7142857142857143,0.5
