held_out,candidate,inner_mean_auprc_lift,inner_median_auprc_lift,inner_folds
butyrate_assembly_2021,extra_score5_obs_depth4_leaf10,1.269963543876118,1.0667514214481173,5
butyrate_assembly_2021,extra_score5_obs_depth4_leaf30,1.3597479895030464,1.0783384615384617,5
butyrate_assembly_2021,extra_score5_obs_depth6_leaf10,1.310225821354424,1.0432142980045933,5
butyrate_assembly_2021,extra_score5_obs_depth6_leaf30,1.2659067791202288,1.0666461491075192,5
butyrate_assembly_2021,hist_score5_obs_leaves3_l20.1,1.5799474913085312,1.0046905416060115,5
butyrate_assembly_2021,hist_score5_obs_leaves3_l21.0,1.6855701127081673,0.9887510617212681,5
butyrate_assembly_2021,hist_score5_obs_leaves3_l210.0,1.5390748424477771,0.9896990063355934,5
butyrate_assembly_2021,hist_score5_obs_leaves7_l20.1,1.161491100269126,1.0850480109739369,5
butyrate_assembly_2021,hist_score5_obs_leaves7_l21.0,1.1357990363212103,1.0519792279051539,5
butyrate_assembly_2021,hist_score5_obs_leaves7_l210.0,0.9415327710606848,0.9925524608827272,5
butyrate_assembly_2021,hist_score5_obs_leaves15_l20.1,1.0802466979715433,1.031403096217911,5
butyrate_assembly_2021,hist_score5_obs_leaves15_l21.0,1.1339543824168763,1.0850480109739369,5
butyrate_assembly_2021,hist_score5_obs_leaves15_l210.0,1.450157595510902,1.0499491586857082,5
carlstrom_phyllosphere_2019,logistic_score3_C0.001_balancedFalse,2.6391009030520522,1.0461386265353918,5
carlstrom_phyllosphere_2019,logistic_score3_C0.001_balancedTrue,2.6465229779378214,1.05735767868429,5
carlstrom_phyllosphere_2019,logistic_score3_C0.01_balancedFalse,2.749471794301114,1.0357004968309387,5
carlstrom_phyllosphere_2019,logistic_score3_C0.01_balancedTrue,2.840139510652196,1.0925026564208176,5
carlstrom_phyllosphere_2019,logistic_score3_C0.1_balancedFalse,2.836494250071732,1.0357004968309387,5
carlstrom_phyllosphere_2019,logistic_score3_C0.1_balancedTrue,2.69800344502927,1.096908215713533,5
carlstrom_phyllosphere_2019,logistic_score3_C1.0_balancedFalse,2.8596226230895203,1.0357004968309387,5
carlstrom_phyllosphere_2019,logistic_score3_C1.0_balancedTrue,2.689882052328572,1.0973575518317626,5
carlstrom_phyllosphere_2019,logistic_score3_C10.0_balancedFalse,2.8603603000011644,1.0357004968309387,5
carlstrom_phyllosphere_2019,logistic_score3_C10.0_balancedTrue,2.69011095455209,1.0973575518317626,5
carlstrom_phyllosphere_2019,logistic_score5_C0.001_balancedFalse,2.067234687978396,1.0533966697192496,5
carlstrom_phyllosphere_2019,logistic_score5_C0.001_balancedTrue,2.3940744806029146,1.0588180045456268,5
carlstrom_phyllosphere_2019,logistic_score5_C0.01_balancedFalse,2.2705032974769996,1.0365523615084289,5
carlstrom_phyllosphere_2019,logistic_score5_C0.01_balancedTrue,2.9440084932568817,1.0929135537539276,5
carlstrom_phyllosphere_2019,logistic_score5_C0.1_balancedFalse,2.541545773679591,1.0357004968309387,5
carlstrom_phyllosphere_2019,logistic_score5_C0.1_balancedTrue,2.775029250274769,1.0966600190445752,5
carlstrom_phyllosphere_2019,logistic_score5_C1.0_balancedFalse,2.5446392636493673,1.0357004968309387,5
carlstrom_phyllosphere_2019,logistic_score5_C1.0_balancedTrue,2.69973923574491,1.097109355162805,5
carlstrom_phyllosphere_2019,logistic_score5_C10.0_balancedFalse,2.513224013313145,1.0357004968309387,5
carlstrom_phyllosphere_2019,logistic_score5_C10.0_balancedTrue,2.6649973689034367,1.097109355162805,5
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.001_balancedFalse,2.328411052682975,1.0783384615384617,5
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.001_balancedTrue,1.2950078868128432,1.0479591040953617,5
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.01_balancedFalse,1.209930249143785,1.0783384615384617,5
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.01_balancedTrue,1.1716743963698781,1.0765895834178727,5
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.1_balancedFalse,1.148690418962659,1.0852984254288256,5
carlstrom_phyllosphere_2019,logistic_score3_obs_C0.1_balancedTrue,1.13786495940646,1.0987654320987654,5
carlstrom_phyllosphere_2019,logistic_score3_obs_C1.0_balancedFalse,1.115489584203412,1.0613441987760526,5
carlstrom_phyllosphere_2019,logistic_score3_obs_C1.0_balancedTrue,1.1162242689632795,1.0519792279051539,5
carlstrom_phyllosphere_2019,logistic_score3_obs_C10.0_balancedFalse,1.090758701884689,1.0354191910063286,5
carlstrom_phyllosphere_2019,logistic_score3_obs_C10.0_balancedTrue,1.0996873905225133,0.9840041105449941,5
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.001_balancedFalse,2.170885664159591,1.0783384615384617,5
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.001_balancedTrue,1.2893292228642692,1.0481493034633145,5
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.01_balancedFalse,1.207126856182957,1.0783384615384617,5
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.01_balancedTrue,1.1717907158168726,1.077040943591397,5
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.1_balancedFalse,1.1495151918015274,1.0865728252405962,5
carlstrom_phyllosphere_2019,logistic_score5_obs_C0.1_balancedTrue,1.1429576056313535,1.1067341480502833,5
carlstrom_phyllosphere_2019,logistic_score5_obs_C1.0_balancedFalse,1.1168969991805988,1.0613441987760526,5
carlstrom_phyllosphere_2019,logistic_score5_obs_C1.0_balancedTrue,1.1272570881264812,1.0850480109739369,5
carlstrom_phyllosphere_2019,logistic_score5_obs_C10.0_balancedFalse,1.0923812293797561,1.0354191910063286,5
carlstrom_phyllosphere_2019,logistic_score5_obs_C10.0_balancedTrue,1.1004886839450154,0.9872768378177215,5
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.001_balancedFalse,2.146414709792958,1.0783384615384617,5
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.001_balancedTrue,1.2514299290419981,1.0621496068926808,5
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.01_balancedFalse,1.2275805563140998,1.0783384615384617,5
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.01_balancedTrue,1.1856293377620124,1.0871997202155612,5
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.1_balancedFalse,1.154290391343179,1.0850480109739369,5
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.1_balancedTrue,1.1684917898012366,1.1111111111111112,5
carlstrom_phyllosphere_2019,logistic_score5_interactions_C1.0_balancedFalse,1.096406837011418,1.0766104615384617,5
carlstrom_phyllosphere_2019,logistic_score5_interactions_C1.0_balancedTrue,1.1002056177907535,1.0696159122085047,5
carlstrom_phyllosphere_2019,logistic_score5_interactions_C10.0_balancedFalse,1.0311199312577606,1.012438506905784,5
carlstrom_phyllosphere_2019,logistic_score5_interactions_C10.0_balancedTrue,1.0433452277197868,1.0387422679294054,5
