analysis_set,design,taxon_fraction,method,valid_repeats,mean_calibration_pairs,mean_auprc,sd_auprc,mean_auroc,sd_auroc
butyrate_assembly_2021,distributed_pairs,0.2,Mean rank,132,4.6893939393939394,0.7419495497061889,0.01236119448418593,0.5472279994333406,0.014466392780363865
butyrate_assembly_2021,distributed_pairs,0.2,PLNNetwork,132,4.6893939393939394,0.7878077729482491,0.010815216763989432,0.5743367228839917,0.01311967861858485
butyrate_assembly_2021,distributed_pairs,0.2,Poisson GLMNet,132,4.6893939393939394,0.6779378388058078,0.01357857400561941,0.4228351644314386,0.013858297825427385
butyrate_assembly_2021,distributed_pairs,0.2,SPIEC-EASI,132,4.6893939393939394,0.7333388966416652,0.009416573266139582,0.506426489350997,0.001750382280564381
butyrate_assembly_2021,distributed_pairs,0.2,SparCC,132,4.6893939393939394,0.8126449618468352,0.00951287592876702,0.5923471865460738,0.012341542353372018
butyrate_assembly_2021,distributed_pairs,0.4,Mean rank,186,14.951612903225806,0.743490185995892,0.025682697485674113,0.5467679364149679,0.02678454752758786
butyrate_assembly_2021,distributed_pairs,0.4,PLNNetwork,186,14.951612903225806,0.7875147583673819,0.02120004673425364,0.5726127650633344,0.023485598075243565
butyrate_assembly_2021,distributed_pairs,0.4,Poisson GLMNet,186,14.951612903225806,0.6808096583694943,0.024581053450492954,0.42466043868832726,0.025552706050055232
butyrate_assembly_2021,distributed_pairs,0.4,SPIEC-EASI,186,14.951612903225806,0.7336985435850806,0.017843824793617024,0.5065981839345017,0.0027103497877788603
butyrate_assembly_2021,distributed_pairs,0.4,SparCC,186,14.951612903225806,0.8126417104073493,0.020156973567866065,0.5910333871993199,0.022874291588534164
butyrate_assembly_2021,distributed_pairs,0.6,Mean rank,185,37.22702702702703,0.7498633768389464,0.0476445727810605,0.5465542023718877,0.05137464813432553
butyrate_assembly_2021,distributed_pairs,0.6,PLNNetwork,185,37.22702702702703,0.7867104297333622,0.040358709031843916,0.5676441834265042,0.044271544280145535
butyrate_assembly_2021,distributed_pairs,0.6,Poisson GLMNet,185,37.22702702702703,0.6892245178747676,0.05010096182767198,0.4262038054883781,0.053144730546420334
butyrate_assembly_2021,distributed_pairs,0.6,SPIEC-EASI,185,37.22702702702703,0.7355514796614535,0.034533701773250075,0.5066563570695388,0.005037676429736793
butyrate_assembly_2021,distributed_pairs,0.6,SparCC,185,37.22702702702703,0.8169489663667603,0.03962426142248708,0.5936264258200264,0.04785028031577446
