budget_label,budget_pairs,repeats,mean_supervised_auprc,sd_supervised_auprc,se_supervised_auprc,mean_onenet_auprc,sd_onenet_auprc,mean_auprc_difference,sd_auprc_difference,se_auprc_difference,repeat_win_frequency
10,10.0,20,0.8017960921898662,0.031022008133512316,0.0069367318985084905,0.7357689494003445,0.009057717882034574,0.06602714278952186,0.03031392276312974,0.006778399196303635,1.0
20,20.0,20,0.8249491270318089,0.04745769028925993,0.010611862154191683,0.7357689494003445,0.009057717882034574,0.08918017763146441,0.04429309527576815,0.009904237197049238,1.0
50,50.0,20,0.8506868139247734,0.030509294354114324,0.006822085612135013,0.7357689494003445,0.009057717882034574,0.11491786452442895,0.030466434909489963,0.00681250194896922,1.0
maximum,83.2,20,0.8675549073284028,0.025947806014663056,0.005802105811576455,0.7357689494003445,0.009057717882034574,0.13178595792805836,0.022692608875275834,0.005074221603193181,1.0
