analysis_set,fold,budget_fraction,setting,inner_folds,mean_inner_auprc
carlstrom_phyllosphere_2019,2,0.8,l1_C=0.1,3,0.29268827561295524
carlstrom_phyllosphere_2019,2,0.8,l1_C=1,3,0.23778595894027932
carlstrom_phyllosphere_2019,3,0.2,l1_C=0.01,3,0.12626262626262627
carlstrom_phyllosphere_2019,3,0.2,l1_C=0.1,3,0.2637521161863625
carlstrom_phyllosphere_2019,3,0.2,l1_C=1,3,0.216266623737962
carlstrom_phyllosphere_2019,3,0.4,l1_C=0.01,3,0.11616161616161617
carlstrom_phyllosphere_2019,3,0.4,l1_C=0.1,3,0.2615081961322361
carlstrom_phyllosphere_2019,3,0.4,l1_C=1,3,0.2663492190349191
carlstrom_phyllosphere_2019,3,0.6,l1_C=0.01,3,0.1228956228956229
carlstrom_phyllosphere_2019,3,0.6,l1_C=0.1,3,0.24771001876509788
carlstrom_phyllosphere_2019,3,0.6,l1_C=1,3,0.2229069220066022
carlstrom_phyllosphere_2019,3,0.8,l1_C=0.01,3,0.12389100126742712
carlstrom_phyllosphere_2019,3,0.8,l1_C=0.1,3,0.27081960227394397
carlstrom_phyllosphere_2019,3,0.8,l1_C=1,3,0.2523685282975241
carlstrom_phyllosphere_2019,4,0.2,l1_C=0.01,3,0.15656565656565657
carlstrom_phyllosphere_2019,4,0.2,l1_C=0.1,3,0.2879984469742242
carlstrom_phyllosphere_2019,4,0.2,l1_C=1,3,0.29801687802378984
carlstrom_phyllosphere_2019,4,0.4,l1_C=0.01,3,0.1464646464646465
carlstrom_phyllosphere_2019,4,0.4,l1_C=0.1,3,0.27740245185425855
carlstrom_phyllosphere_2019,4,0.4,l1_C=1,3,0.28749530239739707
carlstrom_phyllosphere_2019,4,0.6,l1_C=0.01,3,0.13468013468013468
carlstrom_phyllosphere_2019,4,0.6,l1_C=0.1,3,0.2673810193097413
carlstrom_phyllosphere_2019,4,0.6,l1_C=1,3,0.2659616236426679
carlstrom_phyllosphere_2019,4,0.8,l1_C=0.01,3,0.12515842839036753
carlstrom_phyllosphere_2019,4,0.8,l1_C=0.1,3,0.30727523782716215
carlstrom_phyllosphere_2019,4,0.8,l1_C=1,3,0.295762343333076
carlstrom_phyllosphere_2019,5,0.2,l1_C=0.01,3,0.1717171717171717
carlstrom_phyllosphere_2019,5,0.2,l1_C=0.1,3,0.4063590683209453
carlstrom_phyllosphere_2019,5,0.2,l1_C=1,3,0.47984268877663355
carlstrom_phyllosphere_2019,5,0.4,l1_C=0.01,3,0.12878787878787878
carlstrom_phyllosphere_2019,5,0.4,l1_C=0.1,3,0.2898716261472329
carlstrom_phyllosphere_2019,5,0.4,l1_C=1,3,0.31152337733805213
carlstrom_phyllosphere_2019,5,0.6,l1_C=0.01,3,0.12457912457912458
carlstrom_phyllosphere_2019,5,0.6,l1_C=0.1,3,0.26826957378262184
carlstrom_phyllosphere_2019,5,0.6,l1_C=1,3,0.2727106750153338
carlstrom_phyllosphere_2019,5,0.8,l1_C=0.01,3,0.125
carlstrom_phyllosphere_2019,5,0.8,l1_C=0.1,3,0.2976042573340056
carlstrom_phyllosphere_2019,5,0.8,l1_C=1,3,0.2756244477368455
friedman_microcosm_2017,1,0.6,l1_C=0.01,2,0.5555555555555556
friedman_microcosm_2017,1,0.6,l1_C=0.1,2,0.5555555555555556
friedman_microcosm_2017,1,0.6,l1_C=1,2,0.461460588023088
friedman_microcosm_2017,1,0.8,l1_C=0.01,2,0.5681818181818181
friedman_microcosm_2017,1,0.8,l1_C=0.1,2,0.5681818181818181
friedman_microcosm_2017,1,0.8,l1_C=1,2,0.6047107406482406
friedman_microcosm_2017,4,0.2,l1_C=0.01,2,0.3333333333333333
friedman_microcosm_2017,4,0.2,l1_C=0.1,2,0.3333333333333333
