analysis_set,fold,design,budget_fraction,budget_pairs,training_positives,training_positive_fraction,training_taxa,test_pairs,test_positives,auprc,auroc,model_fitted
schafer_phyllosphere_2022,4,Old random,0.6,915,21,0.022950819672131147,127,305,8,0.12150160939806462,0.8914141414141414,True
schafer_phyllosphere_2022,4,Old random,0.8,1219,30,0.02461033634126333,127,305,8,0.12075660349433716,0.8779461279461279,True
schafer_phyllosphere_2022,4,Taxon coverage,0.2,305,12,0.03934426229508197,127,305,8,0.06679895739508829,0.7571548821548821,True
schafer_phyllosphere_2022,4,Taxon coverage,0.4,610,17,0.027868852459016394,127,305,8,0.10326636954420623,0.8619528619528619,True
schafer_phyllosphere_2022,4,Taxon coverage,0.6,915,23,0.025136612021857924,127,305,8,0.1253366720810355,0.8893097643097643,True
schafer_phyllosphere_2022,4,Taxon coverage,0.8,1219,30,0.02461033634126333,127,305,8,0.12075660349433716,0.8779461279461279,True
schafer_phyllosphere_2022,5,Old random,0.2,305,10,0.03278688524590164,124,304,7,0.12498653053366292,0.8802308802308803,True
schafer_phyllosphere_2022,5,Old random,0.4,610,16,0.02622950819672131,127,304,7,0.1759437127852858,0.8975468975468975,True
schafer_phyllosphere_2022,5,Old random,0.6,915,26,0.02841530054644809,127,304,7,0.1922493682100975,0.9004329004329005,True
schafer_phyllosphere_2022,5,Old random,0.8,1220,31,0.02540983606557377,127,304,7,0.18545519521129278,0.9052429052429052,True
schafer_phyllosphere_2022,5,Taxon coverage,0.2,305,7,0.022950819672131147,127,304,7,0.3247452461738176,0.9042809042809044,True
schafer_phyllosphere_2022,5,Taxon coverage,0.4,610,14,0.022950819672131147,127,304,7,0.19911858223546536,0.8927368927368926,True
schafer_phyllosphere_2022,5,Taxon coverage,0.6,915,23,0.025136612021857924,127,304,7,0.19036062588667801,0.9105339105339105,True
schafer_phyllosphere_2022,5,Taxon coverage,0.8,1220,31,0.02540983606557377,127,304,7,0.18545519521129278,0.9052429052429052,True
