method,n,negative_ap,neutral_ap,positive_ap,macro_ap,negative_ap_lift,neutral_ap_lift,positive_ap_lift,macro_ap_lift
sparcc,2516,0.3228048399674613,0.6920329592994279,0.11779352836076273,0.37754377587588395,1.1439112357156798,1.1291536482473155,1.122608020286663,1.1318909680832194
glmnet,2516,0.3290641299468935,0.6339204518132602,0.11180245833127044,0.35826234669714135,1.1660920435864564,1.0343345374592494,1.065511307429835,1.0886459628251803
pln,2516,0.28212039028188274,0.634836945677651,0.1057457280128814,0.3409010213241384,0.999739298520024,1.0358299321173605,1.0077888321227637,1.0144526875867161
spring,2516,0.27645023667549123,0.621716657572061,0.1141853911186479,0.3374507617887334,0.9796461908106141,1.0144222506169296,1.0882213789943869,1.0274299401406435
spieceasi,2516,0.2817294037203177,0.6183634443435442,0.11092615393092081,0.3370063339982609,0.9983537743103089,1.0089509896033444,1.057159860947715,1.0214882082871226
