analysis_set,budget_fraction,budget_pairs,folds,sparse_auprc,sparse_sd,current_auprc,onenet_auprc,sparse_auroc,improvement
butyrate_assembly_2021,0.2,21,5,0.8783209268729779,0.08582400725567357,0.8407773689445517,0.7168296503691239,0.7294444444444445,0.03754355792842623
butyrate_assembly_2021,0.4,42,5,0.9105509433019108,0.04223457844909861,0.8972759617725755,0.7168296503691239,0.7966666666666666,0.013274981529335261
butyrate_assembly_2021,0.6,63,5,0.8728418278917504,0.06640022159508466,0.8641075841942716,0.7168296503691239,0.7286666666666667,0.008734243697478772
butyrate_assembly_2021,0.8,84,5,0.8912443831609853,0.04807226801724298,0.8670647547935667,0.7168296503691239,0.7582222222222222,0.024179628367418604
carlstrom_phyllosphere_2019,0.2,198,5,0.26473895031429817,0.056219841532818164,0.2526820713577886,0.12529955586831099,0.6994799791818928,0.012056878956509587
carlstrom_phyllosphere_2019,0.4,396,5,0.25379126118304046,0.03627728474008436,0.2595142509542124,0.12529955586831099,0.6923457134631144,-0.005722989771171916
carlstrom_phyllosphere_2019,0.6,594,5,0.24363506058101772,0.04199441330943941,0.2612357097532704,0.12529955586831099,0.6973925652780546,-0.017600649172252653
carlstrom_phyllosphere_2019,0.8,792,5,0.2798944713928478,0.03677945215792686,0.2750062989139742,0.12529955586831099,0.7072142493300555,0.004888172478873576
friedman_microcosm_2017,0.2,6,5,0.5933333333333334,0.136218778278017,0.574861111111111,0.621736111111111,0.5,0.018472222222222334
friedman_microcosm_2017,0.4,12,5,0.5933333333333334,0.136218778278017,0.5695138888888889,0.621736111111111,0.5,0.023819444444444504
friedman_microcosm_2017,0.6,17,5,0.5933333333333334,0.136218778278017,0.5363888888888889,0.621736111111111,0.5,0.056944444444444464
friedman_microcosm_2017,0.8,23,5,0.5770833333333334,0.12998731241505415,0.5386111111111112,0.621736111111111,0.4625,0.03847222222222224
schafer_phyllosphere_2022,0.2,305,5,0.3043644482470113,0.1585763000209273,0.26637785660187224,0.18139977154910683,0.9189084033043764,0.03798659164513907
schafer_phyllosphere_2022,0.4,610,5,0.3703008500845184,0.28387034038728987,0.27337387474176317,0.18139977154910683,0.9353691113758227,0.09692697534275524
schafer_phyllosphere_2022,0.6,915,5,0.4209316329546338,0.28742117011411267,0.3178635706471703,0.18139977154910683,0.9340115762934555,0.10306806230746351
schafer_phyllosphere_2022,0.8,1220,5,0.45251910198349526,0.2696712323714195,0.34966243568744104,0.18139977154910683,0.9422006094824887,0.10285666629605422
