budget_label,budget_pairs,repeats,mean_supervised_auprc,sd_supervised_auprc,se_supervised_auprc,mean_onenet_auprc,sd_onenet_auprc,mean_auprc_difference,sd_auprc_difference,se_auprc_difference,repeat_win_frequency
10,10.0,20,0.1422201934369996,0.006580882928352328,0.001471530157976367,0.12533466736533183,0.0033900157655746854,0.016885526071667743,0.005949083896486678,0.0013302555996393534,1.0
20,20.0,20,0.15367939051939794,0.012127554045079843,0.002711803524560108,0.12533466736533183,0.0033900157655746854,0.028344723154066092,0.01093178946997228,0.0024444224370574414,1.0
50,50.0,20,0.19612202784386118,0.02134864696937918,0.004773702585117671,0.12533466736533183,0.0033900157655746854,0.07078736047852932,0.0204965915116153,0.004583177192701698,1.0
100,100.0,20,0.20958606582196393,0.029061128959311507,0.006498265985590825,0.12533466736533183,0.0033900157655746854,0.08425139845663207,0.028767441160018715,0.006432595397252724,1.0
200,200.0,20,0.23048279473721597,0.029030542880796574,0.006491426730518372,0.12533466736533183,0.0033900157655746854,0.10514812737188417,0.02810246924441891,0.006283903156611783,1.0
500,500.0,20,0.2777672330756353,0.023308438258665274,0.005211925239573236,0.12533466736533183,0.0033900157655746854,0.15243256571030345,0.02402890348236444,0.005373026161134831,1.0
maximum,791.2,20,0.28364328364206515,0.01459397841519663,0.00326331277985443,0.12533466736533183,0.0033900157655746854,0.15830861627673326,0.016186672900938722,0.003619450093605271,1.0
