budget_pairs,method,mean_auprc,se_auprc,lower_se,upper_se
10,Supervised Model,0.790942490340972,0.00766895806347599,0.783273532277495,0.798611448404447
20,Supervised Model,0.837637191262327,0.00769327244594462,0.829943918816382,0.845330463708271
50,Supervised Model,0.877671329237641,0.00556343742219885,0.872107891815442,0.88323476665984
83.2,Supervised Model,0.895578021369469,0.00401634265701498,0.891561678712454,0.899594364026484
10,OneNet,0.735768949400345,0.00202536729052447,0.73374358210982,0.737794316690869
20,OneNet,0.735768949400345,0.00202536729052447,0.73374358210982,0.737794316690869
50,OneNet,0.735768949400345,0.00202536729052447,0.73374358210982,0.737794316690869
83.2,OneNet,0.735768949400345,0.00202536729052447,0.73374358210982,0.737794316690869
