dataset,method,score,tested_pairs,positive_pairs,random_auprc,average_precision
schafer_phyllosphere_2022,spieceasi,path_mean_abs,1524,38,0.024934383202099737,0.20997537186662812
schafer_phyllosphere_2022,spieceasi,path_max_abs,1524,38,0.024934383202099737,0.26808398479969
schafer_phyllosphere_2022,spieceasi,path_terminal_abs,1524,38,0.024934383202099737,0.27794272159894656
schafer_phyllosphere_2022,spieceasi,path_stability_mean,1524,38,0.024934383202099737,0.145699881231683
schafer_phyllosphere_2022,spieceasi,path_stability_max,1524,38,0.024934383202099737,0.18374487891252037
schafer_phyllosphere_2022,spring,selected_graph_weight,1524,38,0.024934383202099737,0.024934383202099737
schafer_phyllosphere_2022,spring,path_entry,1524,38,0.024934383202099737,0.026518131514791484
schafer_phyllosphere_2022,spring,path_presence,1524,38,0.024934383202099737,0.02601659988738391
schafer_phyllosphere_2022,spring,path_mean_abs,1524,38,0.024934383202099737,0.0243357646625808
schafer_phyllosphere_2022,spring,path_max_abs,1524,38,0.024934383202099737,0.02305617946538948
schafer_phyllosphere_2022,spring,path_terminal_abs,1524,38,0.024934383202099737,0.023182653873993878
schafer_phyllosphere_2022,spring,path_stability_mean,1524,38,0.024934383202099737,0.026461485407074138
schafer_phyllosphere_2022,spring,path_stability_max,1524,38,0.024934383202099737,0.024040150146715955
schafer_phyllosphere_2022,consensus,current_four_method_mean_rank,1524,38,0.024934383202099737,0.13492504449331744
schafer_phyllosphere_2022,consensus,path_integrated_four_method_mean_rank,1524,38,0.024934383202099737,0.17614370916391675
friedman_microcosm_2017,pln,selected_graph_weight,56,33,0.5892857142857143,0.6135299806464815
friedman_microcosm_2017,pln,path_entry,56,33,0.5892857142857143,0.5946000734126557
friedman_microcosm_2017,pln,path_presence,56,33,0.5892857142857143,0.5972572098642586
friedman_microcosm_2017,pln,path_mean_abs,56,33,0.5892857142857143,0.6448125160288385
friedman_microcosm_2017,pln,path_max_abs,56,33,0.5892857142857143,0.611004728121229
friedman_microcosm_2017,pln,path_terminal_abs,56,33,0.5892857142857143,0.6135299806464815
friedman_microcosm_2017,spieceasi,selected_graph_weight,56,33,0.5892857142857143,0.5865800865800866
friedman_microcosm_2017,spieceasi,path_entry,56,33,0.5892857142857143,0.6085319587038179
friedman_microcosm_2017,spieceasi,path_presence,56,33,0.5892857142857143,0.6018228403116761
friedman_microcosm_2017,spieceasi,path_mean_abs,56,33,0.5892857142857143,0.5813504459659781
friedman_microcosm_2017,spieceasi,path_max_abs,56,33,0.5892857142857143,0.5559289562829794
friedman_microcosm_2017,spieceasi,path_terminal_abs,56,33,0.5892857142857143,0.5545769132642697
friedman_microcosm_2017,spieceasi,path_stability_mean,56,33,0.5892857142857143,0.5956856814096563
friedman_microcosm_2017,spieceasi,path_stability_max,56,33,0.5892857142857143,0.5958378041711375
friedman_microcosm_2017,spring,selected_graph_weight,56,33,0.5892857142857143,0.5976359499086771
friedman_microcosm_2017,spring,path_entry,56,33,0.5892857142857143,0.616838732136735
friedman_microcosm_2017,spring,path_presence,56,33,0.5892857142857143,0.6156893545051438
friedman_microcosm_2017,spring,path_mean_abs,56,33,0.5892857142857143,0.6006225710698456
friedman_microcosm_2017,spring,path_max_abs,56,33,0.5892857142857143,0.6291832067451057
friedman_microcosm_2017,spring,path_terminal_abs,56,33,0.5892857142857143,0.6251305579592554
friedman_microcosm_2017,spring,path_stability_mean,56,33,0.5892857142857143,0.6103362644101538
friedman_microcosm_2017,spring,path_stability_max,56,33,0.5892857142857143,0.6064793365518004
friedman_microcosm_2017,consensus,current_four_method_mean_rank,56,33,0.5892857142857143,0.6255452146019721
friedman_microcosm_2017,consensus,path_integrated_four_method_mean_rank,56,33,0.5892857142857143,0.6311310971316345
