method,n_samples,n_taxa,tested_pairs,positive_pairs,neutral_pairs,average_precision,auroc,native_selected_edges,native_density,native_precision,native_recall,native_f1,density_matched_edges,density_matched_precision,density_matched_recall,density_matched_f1,runtime_seconds
pln,662,130,1524,38,1486,0.07748781040398287,0.6277006446128781,63,0.04133858267716536,0.1746031746031746,0.2894736842105263,0.21782178217821782,38,0.18421052631578946,0.18421052631578946,0.18421052631578946,48.424
glmnet,662,130,1524,38,1486,0.08157844690737756,0.6343504285613091,32,0.02099737532808399,0.15625,0.13157894736842105,0.14285714285714285,38,0.21052631578947367,0.21052631578947367,0.21052631578947367,259.889
spieceasi,662,130,1524,38,1486,0.024934383202099737,0.4993270524899058,2,0.0013123359580052493,0.0,0.0,,38,0.0,0.0,,9.3
spring,662,130,1524,38,1486,0.024934383202099737,0.48553162853297444,43,0.02821522309711286,0.0,0.0,,38,0.0,0.0,,47.932
sparcc,662,130,1524,38,1486,0.1269023179648214,0.8891584614294822,25,0.016404199475065617,0.04,0.02631578947368421,0.031746031746031744,38,0.02631578947368421,0.02631578947368421,0.02631578947368421,2.087
