fold,train_pairs,test_pairs,train_negative,train_neutral,train_positive,selected_C,negative_ap,neutral_ap,positive_ap,macro_ap
1,791,198,15,692,84,10.0,0.01988202212849196,0.9399284551849316,0.2425354821438147,0.4007819864857461
2,791,198,14,693,84,0.1,0.02171264629882961,0.9380882945389175,0.1786419194249193,0.3794809534208888
3,791,198,14,693,84,0.1,0.02814054797661355,0.9533574136142385,0.27279234387274975,0.4180967684878673
4,791,198,14,693,84,0.1,0.022610028860028858,0.9461760515944477,0.14415663947643464,0.3709809066436371
5,792,197,15,693,84,0.1,0.017982183929027784,0.9530854939183855,0.19280815736652865,0.3879586117379806
