repeat,budget_label,budget_pairs,supervised_auprc,onenet_auprc,auprc_difference
1,10,10.0,0.2652148164677459,0.15706496999364541,0.1081498464741005
1,100,100.0,0.2641420257178419,0.15706496999364541,0.10707705572419648
1,1000,1000.0,0.33499256858648224,0.15706496999364541,0.17792759859283686
1,20,20.0,0.2652148164677459,0.15706496999364541,0.1081498464741005
1,200,200.0,0.270963835650497,0.15706496999364541,0.11389886565685159
1,50,50.0,0.2652148164677459,0.15706496999364541,0.1081498464741005
1,500,500.0,0.3080312568967921,0.15706496999364541,0.15096628690314673
1,maximum,1219.2,0.34899393883582863,0.15706496999364541,0.19192896884218325
2,10,10.0,0.2543043195068817,0.17538734818989715,0.07891697131698457
2,100,100.0,0.24302565639156737,0.17538734818989715,0.06763830820167023
2,1000,1000.0,0.31643211028215623,0.17538734818989715,0.14104476209225902
2,20,20.0,0.2543043195068817,0.17538734818989715,0.07891697131698457
2,200,200.0,0.2552155467591924,0.17538734818989715,0.07982819856929521
2,50,50.0,0.2543043195068817,0.17538734818989715,0.07891697131698457
2,500,500.0,0.27845147137584936,0.17538734818989715,0.10306412318595219
2,maximum,1219.2,0.3433017804955917,0.17538734818989715,0.16791443230569456
3,10,10.0,0.2472756291603501,0.1843078651698546,0.0629677639904955
3,100,100.0,0.23282486929432772,0.1843078651698546,0.048517004124473115
3,1000,1000.0,0.36477438516001215,0.1843078651698546,0.18046651999015756
3,20,20.0,0.2472756291603501,0.1843078651698546,0.0629677639904955
3,200,200.0,0.1562345433716453,0.1843078651698546,-0.02807332179820929
3,50,50.0,0.2472756291603501,0.1843078651698546,0.0629677639904955
3,500,500.0,0.3106408414444214,0.1843078651698546,0.1263329762745668
3,maximum,1219.2,0.3850961177182576,0.1843078651698546,0.20078825254840296
4,10,10.0,0.24631908545909093,0.16593609413837615,0.08038299132071476
4,100,100.0,0.2668255508429992,0.16593609413837615,0.10088945670462304
4,1000,1000.0,0.3979729777408187,0.16593609413837615,0.23203688360244254
4,20,20.0,0.24631908545909093,0.16593609413837615,0.08038299132071476
4,200,200.0,0.21881271098919566,0.16593609413837615,0.05287661685081947
4,50,50.0,0.2519655484846427,0.16593609413837615,0.08602945434626649
4,500,500.0,0.2686964267336885,0.16593609413837615,0.1027603325953123
4,maximum,1219.2,0.37593891049445993,0.16593609413837615,0.21000281635608373
5,10,10.0,0.24735341116882634,0.173930268914799,0.07342314225402734
5,100,100.0,0.2595565788911124,0.173930268914799,0.08562630997631336
5,1000,1000.0,0.3696731157537136,0.173930268914799,0.19574284683891457
5,20,20.0,0.24735341116882634,0.173930268914799,0.07342314225402734
5,200,200.0,0.21484494130892706,0.173930268914799,0.04091467239412807
5,50,50.0,0.24735341116882634,0.173930268914799,0.07342314225402734
5,500,500.0,0.30649626932908636,0.173930268914799,0.13256600041428732
5,maximum,1219.2,0.3961210835471557,0.173930268914799,0.22219081463235665
6,10,10.0,0.2519246631457456,0.1690886910493789,0.0828359720963667
6,100,100.0,0.30240090587483887,0.1690886910493789,0.13331221482545996
6,1000,1000.0,0.3416377407919341,0.1690886910493789,0.1725490497425552
6,20,20.0,0.2519246631457456,0.1690886910493789,0.0828359720963667
6,200,200.0,0.2678430311965357,0.1690886910493789,0.09875434014715678
6,50,50.0,0.27456901855281374,0.1690886910493789,0.10548032750343483
6,500,500.0,0.4023179031806767,0.1690886910493789,0.23322921213129783
6,maximum,1219.2,0.3635201320789168,0.1690886910493789,0.19443144102953794
7,10,10.0,0.26724612752024124,0.1666809103031927,0.10056521721704854
7,100,100.0,0.29618350439851265,0.1666809103031927,0.12950259409531995
7,1000,1000.0,0.3683693286976316,0.1666809103031927,0.20168841839443888
7,20,20.0,0.26724612752024124,0.1666809103031927,0.10056521721704854
7,200,200.0,0.32972317174013055,0.1666809103031927,0.16304226143693784
7,50,50.0,0.2869048061294161,0.1666809103031927,0.12022389582622342
7,500,500.0,0.3271346316595031,0.1666809103031927,0.16045372135631036
7,maximum,1219.2,0.36917289712981,0.1666809103031927,0.2024919868266173
8,10,10.0,0.24423474002390932,0.17489300405443492,0.06934173596947439
8,100,100.0,0.20351531440559864,0.17489300405443492,0.0286223103511637
8,1000,1000.0,0.3385485996239611,0.17489300405443492,0.1636555955695262
8,20,20.0,0.24423474002390932,0.17489300405443492,0.06934173596947439
8,200,200.0,0.2759555053150562,0.17489300405443492,0.10106250126062126
8,50,50.0,0.24423474002390932,0.17489300405443492,0.06934173596947439
8,500,500.0,0.33050990190461943,0.17489300405443492,0.15561689785018448
8,maximum,1219.2,0.3654196591352673,0.17489300405443492,0.19052665508083236
9,10,10.0,0.25338851191733563,0.20428365812813104,0.04910485378920455
9,100,100.0,0.2654862256671417,0.20428365812813104,0.061202567539010655
9,1000,1000.0,0.36919257802135547,0.20428365812813104,0.16490891989322437
9,20,20.0,0.25524610735540937,0.20428365812813104,0.05096244922727831
9,200,200.0,0.27433006029223533,0.20428365812813104,0.07004640216410428
9,50,50.0,0.25669443403655284,0.20428365812813104,0.05241077590842178
9,500,500.0,0.3456027439626566,0.20428365812813104,0.14131908583452552
9,maximum,1219.2,0.3727950227812021,0.20428365812813104,0.16851136465307104
10,10,10.0,0.2560980019959852,0.17189588687973045,0.08420211511625479
10,100,100.0,0.2486727090637197,0.17189588687973045,0.07677682218398924
10,1000,1000.0,0.3282427102740768,0.17189588687973045,0.1563468233943463
10,20,20.0,0.2560980019959852,0.17189588687973045,0.08420211511625479
10,200,200.0,0.22124883251446392,0.17189588687973045,0.04935294563473347
10,50,50.0,0.25964157254628206,0.17189588687973045,0.08774568566655164
10,500,500.0,0.32356548922811024,0.17189588687973045,0.1516696023483798
10,maximum,1219.2,0.3542170651360924,0.17189588687973045,0.1823211782563619
11,10,10.0,0.2634159835409543,0.19914732931444518,0.0642686542265091
11,100,100.0,0.2717631325006596,0.19914732931444518,0.07261580318621437
11,1000,1000.0,0.36307258387521835,0.19914732931444518,0.16392525456077314
11,20,20.0,0.2634159835409543,0.19914732931444518,0.0642686542265091
11,200,200.0,0.24815975479788027,0.19914732931444518,0.04901242548343505
11,50,50.0,0.24913216394414656,0.19914732931444518,0.04998483462970138
11,500,500.0,0.29280168830635545,0.19914732931444518,0.09365435899191026
11,maximum,1219.2,0.3775285536663584,0.19914732931444518,0.17838122435191323
12,10,10.0,0.25773510793063636,0.19554865426605836,0.062186453664578034
12,100,100.0,0.25773510793063636,0.19554865426605836,0.062186453664578034
12,1000,1000.0,0.3028102434116899,0.19554865426605836,0.10726158914563151
12,20,20.0,0.25773510793063636,0.19554865426605836,0.062186453664578034
12,200,200.0,0.28726053038785837,0.19554865426605836,0.09171187612180001
12,50,50.0,0.25773510793063636,0.19554865426605836,0.062186453664578034
12,500,500.0,0.3049221934726041,0.19554865426605836,0.10937353920654572
12,maximum,1219.2,0.36941818809746224,0.19554865426605836,0.17386953383140388
13,10,10.0,0.24313933870230398,0.18100397776584737,0.06213536093645659
13,100,100.0,0.24787905301965624,0.18100397776584737,0.06687507525380884
13,1000,1000.0,0.3367108175201122,0.18100397776584737,0.15570683975426483
13,20,20.0,0.24313933870230398,0.18100397776584737,0.06213536093645659
13,200,200.0,0.2669897550116461,0.18100397776584737,0.08598577724579878
13,50,50.0,0.24313933870230398,0.18100397776584737,0.06213536093645659
13,500,500.0,0.2873458726631194,0.18100397776584737,0.10634189489727204
13,maximum,1219.2,0.33385583503629135,0.18100397776584737,0.15285185727044395
14,10,10.0,0.2753597666377539,0.21874110888600415,0.05661865775174977
14,100,100.0,0.27728138952046466,0.21874110888600415,0.058540280634460526
14,1000,1000.0,0.4047452137325653,0.21874110888600415,0.18600410484656119
14,20,20.0,0.2753597666377539,0.21874110888600415,0.05661865775174977
14,200,200.0,0.3073585358961505,0.21874110888600415,0.0886174270101463
14,50,50.0,0.28596246698859673,0.21874110888600415,0.06722135810259255
14,500,500.0,0.3405932920519664,0.21874110888600415,0.12185218316596225
14,maximum,1219.2,0.4171431126900195,0.21874110888600415,0.19840200380401538
15,10,10.0,0.2301003891377454,0.16693245076543456,0.06316793837231081
15,100,100.0,0.23365120920736526,0.16693245076543456,0.0667187584419307
15,1000,1000.0,0.3477458670027499,0.16693245076543456,0.1808134162373153
15,20,20.0,0.2423294137701427,0.16693245076543456,0.07539696300470812
15,200,200.0,0.30813823097033716,0.16693245076543456,0.14120578020490254
15,50,50.0,0.2524355201476229,0.16693245076543456,0.08550306938218831
15,500,500.0,0.30682248689207337,0.16693245076543456,0.13989003612663878
15,maximum,1219.2,0.3789882249108257,0.16693245076543456,0.2120557741453911
16,10,10.0,0.26681888482690236,0.1974961903677626,0.06932269445913977
16,100,100.0,0.2720019044600599,0.1974961903677626,0.07450571409229731
16,1000,1000.0,0.3597854125898967,0.1974961903677626,0.16228922222213413
16,20,20.0,0.26681888482690236,0.1974961903677626,0.06932269445913977
16,200,200.0,0.21225483911796822,0.1974961903677626,0.014758648750205623
16,50,50.0,0.2469467815082494,0.1974961903677626,0.0494505911404868
16,500,500.0,0.2895015514201577,0.1974961903677626,0.09200536105239517
16,maximum,1219.2,0.332908227790423,0.1974961903677626,0.13541203742266045
17,10,10.0,0.2586824244332059,0.17165296924740364,0.0870294551858023
17,100,100.0,0.2602499979148088,0.17165296924740364,0.08859702866740515
17,1000,1000.0,0.35794088122765977,0.17165296924740364,0.18628791198025613
17,20,20.0,0.2586824244332059,0.17165296924740364,0.0870294551858023
17,200,200.0,0.26547181791548863,0.17165296924740364,0.09381884866808504
17,50,50.0,0.2586824244332059,0.17165296924740364,0.0870294551858023
17,500,500.0,0.28180448146632847,0.17165296924740364,0.11015151221892483
17,maximum,1219.2,0.3527797228114927,0.17165296924740364,0.18112675356408908
18,10,10.0,0.2508242245931029,0.1930623156439679,0.05776190894913499
18,100,100.0,0.2595764608982224,0.1930623156439679,0.06651414525425454
18,1000,1000.0,0.41917121860305917,0.1930623156439679,0.2261089029590913
18,20,20.0,0.2508242245931029,0.1930623156439679,0.05776190894913499
18,200,200.0,0.22640754243753897,0.1930623156439679,0.03334522679357108
18,50,50.0,0.270024812315975,0.1930623156439679,0.0769624966720071
18,500,500.0,0.38425115726917425,0.1930623156439679,0.19118884162520636
18,maximum,1219.2,0.3939876186968613,0.1930623156439679,0.2009253030528934
19,10,10.0,0.28271422161186593,0.21143044795681262,0.07128377365505328
19,100,100.0,0.28196802038287494,0.21143044795681262,0.07053757242606229
19,1000,1000.0,0.37682025626011184,0.21143044795681262,0.16538980830329925
19,20,20.0,0.28271422161186593,0.21143044795681262,0.07128377365505328
19,200,200.0,0.3359395831107713,0.21143044795681262,0.12450913515395867
19,50,50.0,0.28271422161186593,0.21143044795681262,0.07128377365505328
19,500,500.0,0.32184215432817903,0.21143044795681262,0.11041170637136637
19,maximum,1219.2,0.39660851990314966,0.21143044795681262,0.18517807194633704
20,10,10.0,0.25879082198336834,0.18278591820681828,0.07600490377655003
20,100,100.0,0.2870206431336142,0.18278591820681828,0.1042347249267959
20,1000,1000.0,0.3390426382496772,0.18278591820681828,0.1562567200428589
20,20,20.0,0.25879082198336834,0.18278591820681828,0.07600490377655003
20,200,200.0,0.2547091270041425,0.18278591820681828,0.07192320879732421
20,50,50.0,0.27991751813399846,0.18278591820681828,0.0971315999271802
20,500,500.0,0.32523120601721467,0.18278591820681828,0.1424452878103964
20,maximum,1219.2,0.36713515278555703,0.18278591820681828,0.18434923457873875
