system,budget_display,method,mean_auprc,se_auprc,lower_auprc,upper_auprc
Butyrate,10,LENS,0.801796092189866,0.00693673189850849,0.794859360291358,0.808732824088375
Butyrate,20,LENS,0.824949127031809,0.0106118621541917,0.814337264877617,0.835560989186001
Butyrate,50,LENS,0.850686813924773,0.00682208561213501,0.843864728312638,0.857508899536908
Butyrate,84,LENS,0.867554907328403,0.00580210581157645,0.861752801516827,0.873357013139979
Carlström,10,LENS,0.142220193437,0.00147153015797637,0.140748663279023,0.143691723594976
Carlström,100,LENS,0.209586065821964,0.00649826598559082,0.203087799836373,0.216084331807555
Carlström,20,LENS,0.153679390519398,0.00271180352456011,0.150967586994838,0.156391194043958
Carlström,200,LENS,0.230482794737216,0.00649142673051837,0.223991368006698,0.236974221467734
Carlström,50,LENS,0.196122027843861,0.00477370258511767,0.191348325258743,0.200895730428979
Carlström,500,LENS,0.277767233075635,0.00521192523957324,0.272555307836062,0.282979158315209
Carlström,792,LENS,0.283643283642065,0.00326331277985443,0.280379970862211,0.28690659642192
Schäfer,10,LENS,0.256047023488198,0.00269607016413225,0.253350953324065,0.25874309365233
Schäfer,100,LENS,0.261588012975801,0.00516477198391242,0.256423240991889,0.266752784959714
Schäfer,1000,LENS,0.356884062370244,0.00649909227257917,0.350384970097665,0.363383154642823
Schäfer,20,LENS,0.256751354491721,0.0024391213729003,0.254312233118821,0.259190475864621
Schäfer,200,LENS,0.259893094789383,0.00976770168818236,0.250125393101201,0.269660796477565
Schäfer,50,LENS,0.260742432589701,0.00322604045504115,0.25751639213466,0.263968473044742
Schäfer,500,LENS,0.316828150980129,0.00749653698526394,0.309331613994865,0.324324687965393
Schäfer,"1,220",LENS,0.369746488187051,0.00487999344415626,0.364866494742895,0.374626481631207
Butyrate,10,OneNet,0.735768949400345,0.00202536729052447,0.73374358210982,0.737794316690869
Butyrate,20,OneNet,0.735768949400345,0.00202536729052447,0.73374358210982,0.737794316690869
Butyrate,50,OneNet,0.735768949400345,0.00202536729052447,0.73374358210982,0.737794316690869
Butyrate,84,OneNet,0.735768949400345,0.00202536729052447,0.73374358210982,0.737794316690869
Carlström,10,OneNet,0.125334667365332,0.000758030569662099,0.12457663679567,0.126092697934994
Carlström,100,OneNet,0.125334667365332,0.000758030569662099,0.12457663679567,0.126092697934994
Carlström,20,OneNet,0.125334667365332,0.000758030569662099,0.12457663679567,0.126092697934994
Carlström,200,OneNet,0.125334667365332,0.000758030569662099,0.12457663679567,0.126092697934994
Carlström,50,OneNet,0.125334667365332,0.000758030569662099,0.12457663679567,0.126092697934994
Carlström,500,OneNet,0.125334667365332,0.000758030569662099,0.12457663679567,0.126092697934994
Carlström,792,OneNet,0.125334667365332,0.000758030569662099,0.12457663679567,0.126092697934994
Schäfer,10,OneNet,0.1830635029621,0.00377448642330814,0.179289016538792,0.186837989385408
Schäfer,100,OneNet,0.1830635029621,0.00377448642330814,0.179289016538792,0.186837989385408
Schäfer,1000,OneNet,0.1830635029621,0.00377448642330814,0.179289016538792,0.186837989385408
Schäfer,20,OneNet,0.1830635029621,0.00377448642330814,0.179289016538792,0.186837989385408
Schäfer,200,OneNet,0.1830635029621,0.00377448642330814,0.179289016538792,0.186837989385408
Schäfer,50,OneNet,0.1830635029621,0.00377448642330814,0.179289016538792,0.186837989385408
Schäfer,500,OneNet,0.1830635029621,0.00377448642330814,0.179289016538792,0.186837989385408
Schäfer,"1,220",OneNet,0.1830635029621,0.00377448642330814,0.179289016538792,0.186837989385408
