training_study,test_study,common_pairs,training_positives,test_positives,test_prevalence,supervised_calibration_auprc,best_unsupervised_method,best_unsupervised_auprc,pln_auprc,glmnet_auprc,sparcc_auprc,mean_rank_auprc,selected_C,balanced_classes,training_cv_auprc,supervised_minus_best_unsupervised
carlstrom_phyllosphere_2019,schafer_phyllosphere_2022,308,39,9,0.02922077922077922,0.0487936486973994,Mean rank,0.23518824208205594,0.1585297418630752,0.09417187750521085,0.1837289581130161,0.23518824208205594,1.0,False,0.15644771118575934,-0.18639459338465653
schafer_phyllosphere_2022,carlstrom_phyllosphere_2019,308,9,39,0.1266233766233766,0.11971083362025478,Poisson GLMNet,0.14577089577089578,0.1266233766233766,0.14577089577089578,0.11980258993336518,0.1403979839218062,10.0,True,0.1993293185685431,-0.026060062150640995
