method,n_samples,n_taxa,tested_pairs,positive_pairs,neutral_pairs,average_precision,auroc,native_selected_edges,native_density,native_precision,native_recall,native_f1,density_matched_edges,density_matched_precision,density_matched_recall,density_matched_f1,runtime_seconds
pln,662,53,552,23,529,0.18921670117322287,0.6400098627434865,22,0.03985507246376811,0.3181818181818182,0.30434782608695654,0.31111111111111117,23,0.30434782608695654,0.30434782608695654,0.30434782608695654,48.424
glmnet,662,53,552,23,529,0.08927057935678626,0.6192981014218789,28,0.050724637681159424,0.10714285714285714,0.13043478260869565,0.11764705882352941,23,0.17391304347826086,0.17391304347826086,0.17391304347826086,259.889
spieceasi,662,53,552,23,529,0.041666666666666664,0.498109640831758,2,0.0036231884057971015,0.0,0.0,,23,0.0,0.0,,9.3
spring,662,53,552,23,529,0.041666666666666664,0.4763705103969754,25,0.04528985507246377,0.0,0.0,,23,0.0,0.0,,47.932
sparcc,662,53,552,23,529,0.11667262350689028,0.838579764937947,25,0.04528985507246377,0.04,0.043478260869565216,0.041666666666666664,23,0.043478260869565216,0.043478260869565216,0.043478260869565216,2.087
CoNet,662,53,552,23,529,0.03681472330012734,0.3840716692693351,437,0.7916666666666666,0.04576659038901602,0.8695652173913043,0.08695652173913043,23,0.0,0.0,,138.2
