method,tested_directions,distinct_tested_pairs,supported_effects,tested_neutrals,random_auprc,average_precision,cluster_bootstrap_ap_ci_low,cluster_bootstrap_ap_ci_high,auroc
pln,56,28,33,23,0.5892857142857143,0.6135299806464815,0.49653041131584114,0.763258982976369,0.5092226613965743
glmnet,56,28,33,23,0.5892857142857143,0.5981143605534811,0.5003573319275818,0.736732311538194,0.4855072463768116
spieceasi,56,28,33,23,0.5892857142857143,0.5865800865800866,0.4834490740740741,0.6913919413919413,0.49341238471673254
spring,56,28,33,23,0.5892857142857143,0.5976359499086771,0.5111040249433108,0.7163545051470471,0.5276679841897234
sparcc,56,28,33,23,0.5892857142857143,0.6870071386923089,0.513776408478562,0.8183682506480493,0.5461133069828722
conet,56,28,33,23,0.5892857142857143,0.6041891547590956,0.5226565559947338,0.7274562111530429,0.5342555994729907
supervised,56,28,33,23,0.5892857142857143,0.632447500883289,0.495000477203394,0.7650942912125483,0.5039525691699605
