method,n_samples,n_taxa,tested_pairs,positive_pairs,neutral_pairs,average_precision,auroc,native_selected_edges,native_density,native_precision,native_recall,native_f1,density_matched_edges,density_matched_precision,density_matched_recall,density_matched_f1,runtime_seconds
pln,48,55,989,123,866,0.1243680485338726,0.5,0,0.0,,0.0,,123,0.17886178861788618,0.17886178861788618,0.17886178861788618,1.391
glmnet,48,55,989,123,866,0.14360540320687903,0.5207007266377514,1,0.0010111223458038423,1.0,0.008130081300813009,0.01612903225806452,123,0.21951219512195122,0.21951219512195122,0.21951219512195122,1.224
spieceasi,48,55,989,123,866,0.13420731022274832,0.5036331887568298,18,0.01820020222446916,0.16666666666666666,0.024390243902439025,0.0425531914893617,123,0.18699186991869918,0.18699186991869918,0.18699186991869918,0.873
spring,48,55,989,123,866,0.13347910279400574,0.5075621021799133,19,0.019211324570273004,0.21052631578947367,0.032520325203252036,0.056338028169014086,123,0.1951219512195122,0.1951219512195122,0.1951219512195122,6.069
sparcc,48,55,989,123,866,0.11740722396575028,0.4529563078540716,26,0.0262891809908999,0.07692307692307693,0.016260162601626018,0.02684563758389262,123,0.10569105691056911,0.10569105691056911,0.10569105691056913,0.211
