"dataset","taxon_1","taxon_2","onenet_score"
"schafer_phyllosphere_2022","Leaf129","Leaf427",0.166666666666667
"schafer_phyllosphere_2022","Leaf371","Leaf41",0.166666666666667
"schafer_phyllosphere_2022","Leaf405","Leaf41",0.172222222222222
"schafer_phyllosphere_2022","Leaf313","Leaf41",0.244444444444444
"schafer_phyllosphere_2022","Leaf220","Leaf41",0.0777777777777778
"schafer_phyllosphere_2022","Leaf33","Leaf41",0.416666666666667
"schafer_phyllosphere_2022","Leaf245","Leaf41",0.0944444444444444
"schafer_phyllosphere_2022","Leaf285","Leaf41",0.0888888888888889
"schafer_phyllosphere_2022","Leaf88","Leaf41",0.0722222222222222
"schafer_phyllosphere_2022","Leaf67","Leaf41",0.188888888888889
"schafer_phyllosphere_2022","Leaf314","Leaf41",0.0222222222222222
"schafer_phyllosphere_2022","Leaf87","Leaf41",0.0166666666666667
"schafer_phyllosphere_2022","Leaf299","Leaf41",0.122222222222222
"schafer_phyllosphere_2022","Leaf129","Leaf41",0.127777777777778
"schafer_phyllosphere_2022","Leaf427","Leaf41",0.605555555555556
"schafer_phyllosphere_2022","Leaf371","Leaf185",0.133333333333333
"schafer_phyllosphere_2022","Leaf405","Leaf185",0.0944444444444444
"schafer_phyllosphere_2022","Leaf313","Leaf185",0.05
"schafer_phyllosphere_2022","Leaf220","Leaf185",0.0222222222222222
"schafer_phyllosphere_2022","Leaf33","Leaf185",0.161111111111111
"schafer_phyllosphere_2022","Leaf245","Leaf185",0.333333333333333
"schafer_phyllosphere_2022","Leaf285","Leaf185",0.122222222222222
"schafer_phyllosphere_2022","Leaf88","Leaf185",0.0166666666666667
"schafer_phyllosphere_2022","Leaf67","Leaf185",0.127777777777778
"schafer_phyllosphere_2022","Leaf314","Leaf185",0.0333333333333333
"schafer_phyllosphere_2022","Leaf87","Leaf185",0.0222222222222222
"schafer_phyllosphere_2022","Leaf299","Leaf185",0.833333333333333
"schafer_phyllosphere_2022","Leaf129","Leaf185",0.133333333333333
"schafer_phyllosphere_2022","Leaf427","Leaf185",0.05
"schafer_phyllosphere_2022","Leaf41","Leaf185",0.0222222222222222
"schafer_phyllosphere_2022","Leaf371","Leaf61",0.422222222222222
"schafer_phyllosphere_2022","Leaf405","Leaf61",0.35
"schafer_phyllosphere_2022","Leaf313","Leaf61",0.233333333333333
"schafer_phyllosphere_2022","Leaf220","Leaf61",0.727777777777778
"schafer_phyllosphere_2022","Leaf33","Leaf61",0.133333333333333
"schafer_phyllosphere_2022","Leaf245","Leaf61",0.183333333333333
"schafer_phyllosphere_2022","Leaf285","Leaf61",0.1
"schafer_phyllosphere_2022","Leaf88","Leaf61",0.455555555555556
"schafer_phyllosphere_2022","Leaf67","Leaf61",0.311111111111111
"schafer_phyllosphere_2022","Leaf314","Leaf61",0.0166666666666667
"schafer_phyllosphere_2022","Leaf87","Leaf61",0.0333333333333333
"schafer_phyllosphere_2022","Leaf299","Leaf61",0.233333333333333
"schafer_phyllosphere_2022","Leaf129","Leaf61",0.722222222222222
"schafer_phyllosphere_2022","Leaf427","Leaf61",0.272222222222222
"schafer_phyllosphere_2022","Leaf41","Leaf61",0.0944444444444444
"schafer_phyllosphere_2022","Leaf185","Leaf61",0.211111111111111
"schafer_phyllosphere_2022","Leaf371","Leaf187",0.127777777777778
"schafer_phyllosphere_2022","Leaf405","Leaf187",0.0277777777777778
"schafer_phyllosphere_2022","Leaf313","Leaf187",0.05
"schafer_phyllosphere_2022","Leaf220","Leaf187",0.205555555555556
"schafer_phyllosphere_2022","Leaf33","Leaf187",0.0388888888888889
"schafer_phyllosphere_2022","Leaf245","Leaf187",0.377777777777778
"schafer_phyllosphere_2022","Leaf285","Leaf187",0.188888888888889
"schafer_phyllosphere_2022","Leaf88","Leaf187",0.0222222222222222
"schafer_phyllosphere_2022","Leaf67","Leaf187",0.0944444444444444
"schafer_phyllosphere_2022","Leaf314","Leaf187",0.244444444444444
"schafer_phyllosphere_2022","Leaf87","Leaf187",0.05
"schafer_phyllosphere_2022","Leaf299","Leaf187",0.1
"schafer_phyllosphere_2022","Leaf129","Leaf187",0.477777777777778
"schafer_phyllosphere_2022","Leaf427","Leaf187",0.0277777777777778
"schafer_phyllosphere_2022","Leaf41","Leaf187",0.1
"schafer_phyllosphere_2022","Leaf185","Leaf187",0.0388888888888889
"schafer_phyllosphere_2022","Leaf61","Leaf187",0.0444444444444444
"schafer_phyllosphere_2022","Leaf371","Leaf289",0.0833333333333333
"schafer_phyllosphere_2022","Leaf405","Leaf289",0.00555555555555556
"schafer_phyllosphere_2022","Leaf313","Leaf289",0
"schafer_phyllosphere_2022","Leaf220","Leaf289",0.0611111111111111
"schafer_phyllosphere_2022","Leaf33","Leaf289",0.0777777777777778
"schafer_phyllosphere_2022","Leaf245","Leaf289",0.833333333333333
"schafer_phyllosphere_2022","Leaf285","Leaf289",0.644444444444444
"schafer_phyllosphere_2022","Leaf88","Leaf289",0.0388888888888889
"schafer_phyllosphere_2022","Leaf67","Leaf289",0.155555555555556
