dataset,taxon_1,taxon_2,pln_path_entry,pln_path_presence,pln_path_mean_abs,pln_path_max_abs,pln_path_terminal_abs,spieceasi_path_entry,spieceasi_path_presence,spieceasi_path_mean_abs,spieceasi_path_max_abs,spieceasi_path_terminal_abs,spieceasi_path_stability_mean,spieceasi_path_stability_max,spring_path_entry,spring_path_presence,spring_path_mean_abs,spring_path_max_abs,spring_path_terminal_abs,spring_path_stability_mean,spring_path_stability_max
friedman_microcosm_2017,Ea,Pa,0.9,0.9,0.157223738423693,0.312621790893869,0.312621790893869,0.3,0.3,0.0370556826841511,0.242605172222013,0.242605172222013,0.333333333333333,1,0.4,0.4,0.0119360493171439,0.0968862135909262,0.0968862135909262,0.46,0.95
friedman_microcosm_2017,Ea,Pch,0.6,0.6,0.147061749993724,0.383679072341782,0.383679072341782,0.733333333333333,0.733333333333333,0.0995943540541841,0.342109485322944,0.342109485322944,0.711666666666667,1,0.5,0.4,0.0107084304173052,0.069960477205408,0.069960477205408,0.385,1
friedman_microcosm_2017,Pa,Pch,0.833333333333333,0.833333333333333,0.316395928546604,0.618050608968852,0.618050608968852,0.966666666666667,0.966666666666667,0.317074135844773,0.560469599046232,0.560469599046232,0.975,1,0.95,0.95,0.656303425663498,0.996345744920015,0.996345744920015,0.9825,1
friedman_microcosm_2017,Ea,Pci,0.933333333333333,0.933333333333333,0.351467112527833,0.498892784056407,0.498759715489438,0.0666666666666667,0.0666666666666667,0.00155380581700269,0.0348508454743643,0.0348508454743643,0.211666666666667,0.95,0.8,0.8,0.121037103322191,0.20108953171428,0.0978851964806207,0.8175,1
friedman_microcosm_2017,Pa,Pci,0.966666666666667,0.966666666666667,0.355880103900024,0.435014453446227,0.345041092653674,0.7,0.466666666666667,0.00843327469238272,0.03505587791512,0.03505587791512,0.48,0.75,0.4,0.4,0.138714798314883,0.57790778174055,0.57790778174055,0.45,1
friedman_microcosm_2017,Pch,Pci,0.5,0.5,0.00933264127975064,0.0271542890439414,0.0271542890439414,0.833333333333333,0.833333333333333,0.144200667522283,0.294942785483037,0.294942785483037,0.818333333333333,1,0.95,0.95,0.456892277384743,0.899923415361083,0.899923415361083,0.95,1
friedman_microcosm_2017,Ea,Pf,0.8,0.8,0.0894507460536781,0.180870551883428,0.180870551883428,0.433333333333333,0.433333333333333,0.0542953554356367,0.282741941927933,0.282741941927933,0.385,1,0.55,0.55,0.0316711641181436,0.123522212643912,0.00663309861000069,0.4975,1
friedman_microcosm_2017,Pa,Pf,0.366666666666667,0.366666666666667,0.043915432554586,0.200568397082074,0.200568397082074,0.766666666666667,0.766666666666667,0.189490495279056,0.454231207360758,0.454231207360758,0.785,1,0.8,0.8,0.502240885006126,0.91346766641366,0.91346766641366,0.8025,1
friedman_microcosm_2017,Pch,Pf,0.4,0.4,0.0461967449480787,0.202426536216949,0.202426536216949,0.866666666666667,0.866666666666667,0.232169571518302,0.526669692375891,0.526669692375891,0.845,1,0.85,0.85,0.61435558572927,1.15964051087689,1.15964051087689,0.8625,1
friedman_microcosm_2017,Pci,Pf,0.833333333333333,0.833333333333333,0.115411255201982,0.177666130713656,0.177666130713656,0.633333333333333,0.633333333333333,0.0805688156466441,0.234176382354529,0.234176382354529,0.636666666666667,1,0.55,0.55,0.208610870557827,0.666649286466804,0.666649286466804,0.5125,1
friedman_microcosm_2017,Ea,Pp,0.833333333333333,0.833333333333333,0.0730865784302067,0.121373206026343,0.0503767343162028,0.566666666666667,0.566666666666667,0.109550262426711,0.38241687713053,0.38241687713053,0.56,1,0.7,0.7,0.225046059014154,0.481001275906234,0.481001275906234,0.68,1
friedman_microcosm_2017,Pa,Pp,0.9,0.9,0.165942244148391,0.262772305384345,0.262772305384345,0.466666666666667,0.466666666666667,0.0624520921802824,0.298114358471071,0.298114358471071,0.44,1,0.5,0.5,0.146860125883496,0.58784333467434,0.58784333467434,0.5025,1
friedman_microcosm_2017,Pch,Pp,0.366666666666667,0.366666666666667,0.0283764840430595,0.130614219305189,0.130614219305189,0.833333333333333,0.833333333333333,0.174155680547873,0.459810611441543,0.459810611441543,0.85,1,0.75,0.75,0.330705457841208,0.817158526986654,0.817158526986654,0.7625,1
friedman_microcosm_2017,Pci,Pp,0.8,0.533333333333333,0.00982604355978283,0.0391365979264591,0.0391365979264591,0.733333333333333,0.733333333333333,0.134301520047932,0.319433990636066,0.319433990636066,0.7,1,0.8,0.8,0.402365002522653,0.719160765544231,0.719160765544231,0.795,1
friedman_microcosm_2017,Pf,Pp,0.833333333333333,0.833333333333333,0.193770148803008,0.331589758254467,0.331589758254467,0.366666666666667,0.366666666666667,0.0595462251778598,0.318510890155025,0.318510890155025,0.38,1,0.5,0.5,0.146054923568888,0.566931345912638,0.566931345912638,0.47,1
