dataset,taxon_1,taxon_2,interaction_label,tested_status,conet_selected,conet_score,conet_qvalue,method_number
schafer_phyllosphere_2022,Leaf131,Leaf220,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf131,Leaf299,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf131,Leaf33,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf131,Leaf359,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf131,Leaf371,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf131,Leaf405,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf131,Leaf41,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf131,Leaf427,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf131,Leaf61,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf131,Leaf67,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf131,Leaf88,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf137,Leaf220,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf137,Leaf299,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf137,Leaf33,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf137,Leaf359,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf137,Leaf371,0,neutral,1.0,1.3,0.0,1.0
schafer_phyllosphere_2022,Leaf137,Leaf405,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf137,Leaf41,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf137,Leaf427,0,neutral,1.0,1.3,0.0,1.0
schafer_phyllosphere_2022,Leaf137,Leaf61,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf137,Leaf67,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf137,Leaf88,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf15,Leaf220,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf15,Leaf299,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf15,Leaf33,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf15,Leaf359,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf15,Leaf371,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf15,Leaf405,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf15,Leaf41,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf15,Leaf427,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf15,Leaf61,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf15,Leaf67,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf15,Leaf88,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf160,Leaf187,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf160,Leaf220,1,positive,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf160,Leaf299,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf160,Leaf33,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf160,Leaf359,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf160,Leaf371,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf160,Leaf405,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf160,Leaf41,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf160,Leaf427,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf160,Leaf61,0,neutral,1.0,1.3,0.0,1.0
schafer_phyllosphere_2022,Leaf160,Leaf67,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf160,Leaf88,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf161,Leaf187,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf161,Leaf220,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf161,Leaf33,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf161,Leaf359,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf161,Leaf371,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf161,Leaf405,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf161,Leaf41,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf161,Leaf427,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf161,Leaf61,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf161,Leaf67,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf161,Leaf88,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf168,Leaf187,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf168,Leaf220,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf168,Leaf299,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf168,Leaf33,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf168,Leaf359,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf168,Leaf371,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf168,Leaf405,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf168,Leaf41,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf168,Leaf427,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf168,Leaf61,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf168,Leaf67,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf168,Leaf88,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf183,Leaf187,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf183,Leaf220,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf183,Leaf299,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf183,Leaf33,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf183,Leaf359,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf183,Leaf371,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf183,Leaf405,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf183,Leaf41,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf183,Leaf427,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf183,Leaf61,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf183,Leaf67,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf183,Leaf88,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf185,Leaf187,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf185,Leaf220,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf185,Leaf299,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf185,Leaf33,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf185,Leaf359,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf185,Leaf371,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf185,Leaf405,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf185,Leaf41,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf185,Leaf427,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf185,Leaf61,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf185,Leaf67,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf185,Leaf88,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf187,Leaf203,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf187,Leaf220,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf187,Leaf225,0,neutral,1.0,3.3,0.0,3.0
