dataset,taxon_1,taxon_2,pln_path_entry,pln_path_presence,pln_path_mean_abs,pln_path_max_abs,pln_path_terminal_abs,spieceasi_path_entry,spieceasi_path_presence,spieceasi_path_mean_abs,spieceasi_path_max_abs,spieceasi_path_terminal_abs,spieceasi_path_stability_mean,spieceasi_path_stability_max,spring_path_entry,spring_path_presence,spring_path_mean_abs,spring_path_max_abs,spring_path_terminal_abs,spring_path_stability_mean,spring_path_stability_max
schafer_phyllosphere_2022,Leaf313,Leaf88,0,0,0,0,0,0.4,0.4,0.00358237346364001,0.0112866625371449,0.0112866625371449,0.198333333333333,0.4,0.3,0.3,0.0101891522657368,0.0580470469450902,0.0580470469450902,0.21,0.55
schafer_phyllosphere_2022,Leaf220,Leaf88,0,0,0,0,0,0,0,0,0,0,0.035,0.35,0,0,0,0,0,0.1425,0.35
schafer_phyllosphere_2022,Leaf33,Leaf88,0,0,0,0,0,0.533333333333333,0.533333333333333,0.0232041387288072,0.0679511017351197,0.0679511017351197,0.43,0.95,0.6,0.1,0.000136876081323429,0.00153074091937706,0,0.48,0.8
schafer_phyllosphere_2022,Leaf245,Leaf88,0,0,0,0,0,0.6,0.6,0.0435330819740255,0.0954467600031099,0.0954467600031099,0.545,1,0.7,0.7,0.087358192846404,0.164803000866405,0.161610208765498,0.68,1
schafer_phyllosphere_2022,Leaf285,Leaf88,0,0,0,0,0,0.2,0.2,0.000884207058900995,0.00652850678041852,0.00638759152974227,0.166666666666667,0.45,0.35,0.35,0.00784730714873746,0.0317744270389734,0.0317744270389734,0.1625,0.35
schafer_phyllosphere_2022,Leaf371,Leaf67,0,0,0,0,0,0.666666666666667,0.666666666666667,0.031400796459519,0.0600095187966924,0.0600095187966924,0.571666666666667,0.9,0.9,0.9,0.104366283750853,0.143442027425645,0.136591390646701,0.875,1
schafer_phyllosphere_2022,Leaf405,Leaf67,0,0,0,0,0,0.6,0.6,0.0182587893908308,0.0385677144723389,0.036397918218422,0.438333333333333,0.8,0.65,0.65,0.022682488575124,0.0685292244851146,0.0685292244851146,0.4425,0.8
schafer_phyllosphere_2022,Leaf313,Leaf67,0,0,0,0,0,0.6,0.6,0.0140405174283477,0.0289432523600109,0.019241660987523,0.395,0.7,0,0,0,0,0,0.27,0.5
schafer_phyllosphere_2022,Leaf220,Leaf67,0,0,0,0,0,0.666666666666667,0.666666666666667,0.0628894740092094,0.1183340325901,0.116249779515324,0.588333333333333,0.9,0.1,0.1,0.000945014209000967,0.0144464304279505,0.0144464304279505,0.1775,0.5
schafer_phyllosphere_2022,Leaf33,Leaf67,0,0,0,0,0,0.666666666666667,0.666666666666667,0.0691333743378907,0.1321719584902,0.1321719584902,0.576666666666666,0.9,0.85,0.85,0.117498053078824,0.192351263612063,0.124638533740229,0.815,1
schafer_phyllosphere_2022,Leaf245,Leaf67,0,0,0,0,0,0.166666666666667,0.166666666666667,0.00240080111430452,0.0225923651494749,0.0225923651494749,0.228333333333333,0.9,0,0,0,0,0,0.0475,0.25
schafer_phyllosphere_2022,Leaf285,Leaf67,0,0,0,0,0,0.2,0.2,0.00366380516153553,0.0335061458200986,0.0335061458200986,0.201666666666667,0.85,0,0,0,0,0,0.1025,0.4
schafer_phyllosphere_2022,Leaf88,Leaf67,0,0,0,0,0,0.133333333333333,0.133333333333333,0.00192519278898787,0.0275146037252891,0.0275146037252891,0.171666666666667,0.9,0,0,0,0,0,0.1125,0.45
schafer_phyllosphere_2022,Leaf371,Leaf314,0,0,0,0,0,0.1,0.1,0.000256920539507038,0.00509667247593131,0.00509667247593131,0.065,0.45,0.3,0.3,0.00149059542104351,0.00834286658745012,0.00834286658745012,0.2,0.5
schafer_phyllosphere_2022,Leaf405,Leaf314,0.1,0.1,0.00156055237552549,0.02369810374563,0.02369810374563,0.2,0.2,0.0013760074909939,0.0108115978970464,0.0108115978970464,0.136666666666667,0.55,0,0,0,0,0,0.1075,0.4
schafer_phyllosphere_2022,Leaf313,Leaf314,0,0,0,0,0,0.166666666666667,0.166666666666667,0.000395737296275036,0.00396767082533009,0.00396767082533009,0.0516666666666667,0.35,0,0,0,0,0,0.0075,0.1
schafer_phyllosphere_2022,Leaf220,Leaf314,0,0,0,0,0,0,0,0,0,0,0.01,0.15,0,0,0,0,0,0.0575,0.25
