"taxon_1","taxon_2","onenet_score"
"Leaf10","Leaf21",0.0833333333333333
"Leaf10","Leaf216",0.0944444444444444
"Leaf10","Leaf220",0.00555555555555556
"Leaf10","Leaf222",0.233333333333333
"Leaf10","Leaf225",0.00555555555555556
"Leaf10","Leaf226",0.00555555555555556
"Leaf10","Leaf231",0.0777777777777778
"Leaf10","Leaf233",0
"Leaf10","Leaf234",0.133333333333333
"Leaf10","Leaf242",0.0111111111111111
"Leaf10","Leaf245",0.0833333333333333
"Leaf10","Leaf254",0.194444444444444
"Leaf10","Leaf257",0
"Leaf10","Leaf26",0.416666666666667
"Leaf10","Leaf261",0.0666666666666667
"Leaf10","Leaf262",0.0777777777777778
"Leaf10","Leaf263",0
"Leaf10","Leaf264",0.0111111111111111
"Leaf10","Leaf265",0
"Leaf10","Leaf267",0.216666666666667
"Leaf10","Leaf274",0.00555555555555556
"Leaf10","Leaf28",0
"Leaf10","Leaf280",0
"Leaf10","Leaf285",0.183333333333333
"Leaf10","Leaf288",0.0611111111111111
"Leaf10","Leaf289",0.166666666666667
"Leaf10","Leaf299",0.00555555555555556
"Leaf10","Leaf3",0.0111111111111111
"Leaf10","Leaf30",0.405555555555556
"Leaf10","Leaf304",0.0722222222222222
"Leaf10","Leaf306",0.0277777777777778
"Leaf10","Leaf311",0
"Leaf10","Leaf313",0
"Leaf10","Leaf314",0
"Leaf10","Leaf32",0.00555555555555556
"Leaf10","Leaf324",0.0111111111111111
"Leaf10","Leaf326",0.0333333333333333
"Leaf10","Leaf33",0.0166666666666667
"Leaf10","Leaf334",0.0222222222222222
"Leaf10","Leaf335",0.411111111111111
"Leaf10","Leaf336",0
"Leaf10","Leaf337",0.15
"Leaf10","Leaf339",0
"Leaf10","Leaf34",0.0111111111111111
"Leaf10","Leaf343",0.0777777777777778
"Leaf10","Leaf344",0.261111111111111
"Leaf10","Leaf351",0
"Leaf10","Leaf354",0.00555555555555556
"Leaf10","Leaf357",0.0111111111111111
"Leaf10","Leaf359",0.0222222222222222
"Leaf10","Leaf361",0.361111111111111
