"taxon_1","taxon_2","onenet_score"
"AC","BA",0.15
"AC","BC",0.1
"AC","BF",0.1
"AC","BH",0.355555555555556
"AC","BL",0.288888888888889
"AC","BO",0.0944444444444444
"AC","BP",0.155555555555556
"AC","BT",0.155555555555556
"AC","BU",0.1
"AC","BV",0.205555555555556
"AC","BY",0.183333333333333
"AC","CA",0.0833333333333333
"AC","CC",0.483333333333333
"AC","CG",0.244444444444444
"AC","CH",0.172222222222222
"AC","DF",0.161111111111111
"AC","DL",0.188888888888889
"AC","DP",0.0777777777777778
"AC","EL",0.244444444444444
"AC","ER",0.372222222222222
"AC","FP",0.338888888888889
"AC","HB",0.0611111111111111
"AC","PC",0.138888888888889
"AC","PJ",0.5
"AC","RI",0.583333333333333
"BA","BC",0.0722222222222222
"BA","BF",0.0277777777777778
"BA","BH",0.0555555555555556
"BA","BL",0.955555555555556
"BA","BO",0.377777777777778
"BA","BP",0.505555555555556
"BA","BT",0.0222222222222222
"BA","BU",0.0333333333333333
"BA","BV",0.183333333333333
"BA","BY",0.105555555555556
"BA","CA",0.0388888888888889
"BA","CC",0.333333333333333
"BA","CG",0.0611111111111111
"BA","CH",0.05
"BA","DF",0.122222222222222
"BA","DL",0.0777777777777778
"BA","DP",0.116666666666667
"BA","EL",0.155555555555556
"BA","ER",0.466666666666667
"BA","FP",0.122222222222222
"BA","HB",0.166666666666667
"BA","PC",0.0277777777777778
"BA","PJ",0.0333333333333333
"BA","RI",0.116666666666667
"BC","BF",0.555555555555556
"BC","BH",0.0111111111111111
"BC","BL",0.711111111111111
"BC","BO",0.0388888888888889
"BC","BP",0.338888888888889
"BC","BT",0.155555555555556
"BC","BU",0.416666666666667
"BC","BV",0.255555555555556
"BC","BY",0.472222222222222
"BC","CA",0.0833333333333333
"BC","CC",0.255555555555556
"BC","CG",0.0444444444444444
"BC","CH",0.0222222222222222
"BC","DF",0.138888888888889
"BC","DL",0.0944444444444444
"BC","DP",0.0277777777777778
"BC","EL",0.0722222222222222
"BC","ER",0.35
"BC","FP",0.0888888888888889
"BC","HB",0.0555555555555556
"BC","PC",0.05
"BC","PJ",0.0611111111111111
"BC","RI",0.361111111111111
"BF","BH",0.111111111111111
"BF","BL",0.0333333333333333
"BF","BO",0.116666666666667
"BF","BP",0.0222222222222222
"BF","BT",0.0833333333333333
"BF","BU",0.122222222222222
"BF","BV",0.0166666666666667
"BF","BY",0.0444444444444444
"BF","CA",0.133333333333333
"BF","CC",0.138888888888889
"BF","CG",0.216666666666667
"BF","CH",0.1
"BF","DF",0.0333333333333333
"BF","DL",0.377777777777778
"BF","DP",0.0222222222222222
"BF","EL",0.0666666666666667
"BF","ER",0.133333333333333
"BF","FP",0.55
"BF","HB",0.261111111111111
"BF","PC",0.0333333333333333
"BF","PJ",0.0277777777777778
"BF","RI",0.111111111111111
"BH","BL",0.205555555555556
"BH","BO",0.0111111111111111
"BH","BP",0.288888888888889
"BH","BT",0.0333333333333333
"BH","BU",0.138888888888889
"BH","BV",0.0277777777777778
"BH","BY",0.1
"BH","CA",0.544444444444444
"BH","CC",0.0666666666666667
"BH","CG",0.0388888888888889
"BH","CH",0.216666666666667
"BH","DF",0.161111111111111
"BH","DL",0.105555555555556
"BH","DP",0.833333333333333
"BH","EL",0.4
"BH","ER",0.105555555555556
"BH","FP",0.305555555555556
"BH","HB",0.155555555555556
"BH","PC",0.238888888888889
"BH","PJ",0.244444444444444
"BH","RI",0.111111111111111
"BL","BO",0.277777777777778
"BL","BP",0.777777777777778
"BL","BT",0.377777777777778
"BL","BU",0.227777777777778
"BL","BV",0.0111111111111111
"BL","BY",0.172222222222222
"BL","CA",0.333333333333333
"BL","CC",0.211111111111111
"BL","CG",0.2
"BL","CH",0.177777777777778
"BL","DF",0.622222222222222
"BL","DL",0.0888888888888889
"BL","DP",0.127777777777778
"BL","EL",0.377777777777778
"BL","ER",0.111111111111111
"BL","FP",0.238888888888889
"BL","HB",0.233333333333333
"BL","PC",0.177777777777778
"BL","PJ",0.127777777777778
"BL","RI",0.1
"BO","BP",0.0388888888888889
"BO","BT",0.722222222222222
"BO","BU",0.0444444444444444
"BO","BV",0.377777777777778
"BO","BY",0.238888888888889
"BO","CA",0
"BO","CC",0.144444444444444
"BO","CG",0.05
"BO","CH",0.111111111111111
"BO","DF",0.05
"BO","DL",0.0555555555555556
"BO","DP",0.0777777777777778
"BO","EL",0.316666666666667
"BO","ER",0.122222222222222
"BO","FP",0.194444444444444
"BO","HB",0.222222222222222
"BO","PC",0.0111111111111111
"BO","PJ",0.0111111111111111
"BO","RI",0.15
"BP","BT",0.0388888888888889
"BP","BU",0.0222222222222222
"BP","BV",0.205555555555556
"BP","BY",0.0944444444444444
"BP","CA",0.0722222222222222
"BP","CC",0.211111111111111
"BP","CG",0.444444444444444
"BP","CH",0.116666666666667
"BP","DF",0.444444444444444
"BP","DL",0.0111111111111111
"BP","DP",0.0277777777777778
"BP","EL",0.255555555555556
"BP","ER",0.288888888888889
"BP","FP",0.255555555555556
"BP","HB",0.277777777777778
"BP","PC",0.0888888888888889
"BP","PJ",0.344444444444444
"BP","RI",0.1
"BT","BU",0.494444444444444
"BT","BV",0.172222222222222
"BT","BY",0.372222222222222
"BT","CA",0.0722222222222222
"BT","CC",0.0944444444444444
"BT","CG",0.0388888888888889
"BT","CH",0.322222222222222
"BT","DF",0.0944444444444444
"BT","DL",0.166666666666667
"BT","DP",0.0166666666666667
"BT","EL",0.0111111111111111
"BT","ER",0.105555555555556
"BT","FP",0.211111111111111
"BT","HB",0.122222222222222
"BT","PC",0.1
"BT","PJ",0.0722222222222222
"BT","RI",0.161111111111111
"BU","BV",0.405555555555556
"BU","BY",0.0611111111111111
"BU","CA",0.0166666666666667
"BU","CC",0.0722222222222222
"BU","CG",0.277777777777778
"BU","CH",0.0777777777777778
"BU","DF",0.0444444444444444
"BU","DL",0
"BU","DP",0.0944444444444444
"BU","EL",0.0111111111111111
"BU","ER",0.0777777777777778
"BU","FP",0.127777777777778
"BU","HB",0.111111111111111
"BU","PC",0.0277777777777778
"BU","PJ",0.272222222222222
"BU","RI",0.516666666666667
"BV","BY",0.311111111111111
"BV","CA",0.0611111111111111
"BV","CC",0.127777777777778
"BV","CG",0.1
"BV","CH",0.161111111111111
"BV","DF",0.0222222222222222
"BV","DL",0.0333333333333333
"BV","DP",0.0833333333333333
"BV","EL",0.0444444444444444
"BV","ER",0.188888888888889
"BV","FP",0.216666666666667
"BV","HB",0.127777777777778
"BV","PC",0.25
